,revisions,edited pages,revisions/page,mean contribution,first activity,last activity
PipepBot,84,62,1.35483870968,0.00404082385044,2007-07-31 11:14:43,2008-06-06 16:15:19
Cyberbot II,84,21,4.0,0.00748858546247,2013-03-26 22:03:14,2014-09-19 09:33:01
Roboto de Ajvol,83,79,1.05063291139,0.00298080371434,2007-03-15 03:37:30,2007-10-07 12:33:12
STBotD,82,79,1.03797468354,0.00588556827796,2006-11-19 12:59:40,2007-07-26 16:57:24
D'ohBot,82,80,1.025,0.00290761476461,2009-06-03 13:37:13,2010-09-07 15:38:19
Margosbot,81,81,1.0,0.0033489379211,2005-04-23 20:49:52,2005-05-03 12:32:55
PixelBot,81,78,1.03846153846,0.0050387682065,2007-11-02 12:05:31,2012-10-07 01:30:58
EmxBot,80,59,1.35593220339,0.00132822589469,2007-03-26 19:58:08,2007-07-02 03:15:11
JackieBot,80,78,1.02564102564,0.00460303109662,2011-01-05 20:15:44,2013-02-12 09:55:03
KamikazeBot,80,72,1.11111111111,0.00229815493096,2010-06-13 17:52:45,2013-01-26 00:40:58
Erik9bot,79,70,1.12857142857,0.0256763009297,2009-03-07 20:39:27,2009-09-19 17:05:04
CarsracBot,78,66,1.18181818182,0.00218038270767,2008-06-03 16:50:14,2013-05-22 07:46:36
MTSbot,76,63,1.20634920635,0.00186339051146,2006-02-08 02:34:08,2006-11-04 21:37:41
HRoestBot,76,69,1.10144927536,0.00285408278781,2010-04-27 19:39:52,2013-02-14 06:49:40
Dinamik-bot,75,70,1.07142857143,0.00368601423367,2009-11-09 05:07:02,2012-12-19 21:33:10
Rubinbot,75,72,1.04166666667,0.00307256873708,2009-01-24 14:48:29,2013-02-14 23:16:21
CitationCleanerBot,74,72,1.02777777778,0.0032622468736,2011-09-07 05:29:29,2011-09-19 13:30:37
MastiBot,72,66,1.09090909091,0.00364452985233,2009-06-17 05:43:50,2013-02-10 13:07:40
RobotG,72,61,1.18032786885,0.00688303192557,2006-06-28 08:51:51,2007-03-20 11:38:02
.anacondabot,71,67,1.05970149254,0.0033139775226,2006-08-09 03:38:39,2007-03-04 17:24:20
Amirobot,70,65,1.07692307692,0.00436958930666,2008-07-14 01:24:54,2011-11-18 12:42:03
Curpsbot-unicodify,69,67,1.02985074627,0.0047226154032,2005-09-02 16:03:22,2005-12-12 06:14:10
BOTijo,69,69,1.0,0.0149759039186,2007-10-07 18:18:50,2008-08-15 05:55:46
Rei-bot,68,68,1.0,0.00357890970192,2007-02-04 02:56:01,2008-10-22 22:20:27
Obersachsebot,68,63,1.07936507937,0.00255649124403,2008-12-20 18:58:56,2012-06-14 16:53:07
JoeBot,67,62,1.08064516129,0.00179968288963,2006-03-07 14:48:30,2006-07-24 16:38:29
BotMultichill,67,63,1.06349206349,0.00227651008676,2007-04-28 01:39:36,2010-05-23 13:58:26
Anchor Link Bot,65,56,1.16071428571,0.00198545938529,2007-06-25 18:27:51,2007-07-10 21:12:35
Gerakibot,64,60,1.06666666667,0.00113145004867,2007-05-26 09:36:00,2013-02-13 16:29:09
Maelgwnbot,64,50,1.28,0.00258562036872,2007-06-11 04:58:11,2008-08-17 13:06:13
Hmainsbot1,63,60,1.05,0.00739564015031,2012-07-22 21:00:59,2015-01-19 19:48:19
Legobot II,63,54,1.16666666667,0.00389380503506,2009-01-07 07:31:53,2012-02-10 12:02:00
Broadbot,62,62,1.0,0.00340871612023,2007-06-13 18:00:52,2010-10-01 11:04:11
SassoBot,62,57,1.08771929825,0.00309182968479,2009-01-05 05:55:23,2013-01-09 14:49:35
PDFbot,61,34,1.79411764706,0.00125470574847,2007-03-07 03:50:41,2011-01-31 21:50:45
Chlewbot,60,53,1.1320754717,0.00140103665446,2005-11-30 21:56:16,2006-12-30 05:25:01
AvocatoBot,59,56,1.05357142857,0.0025647052515,2011-10-22 06:14:49,2012-06-29 13:03:02
BOT-Superzerocool,57,49,1.16326530612,0.00342262486959,2006-04-11 03:22:44,2012-05-12 17:40:25
Thehelpfulbot,57,52,1.09615384615,0.0055673578817,2009-02-10 18:45:40,2012-11-12 09:30:08
Zwobot,55,50,1.1,0.0029667708778,2005-07-14 19:50:44,2008-02-11 23:56:22
BOTarate,55,52,1.05769230769,0.00408388633596,2007-12-15 12:09:16,2012-01-23 13:59:59
Vina-iwbot,55,53,1.03773584906,0.00263351893913,2006-01-04 05:58:45,2008-04-27 23:50:52
Commander Keane bot,55,48,1.14583333333,0.00360488593174,2005-10-16 09:04:57,2007-05-25 18:55:52
SpBot,54,53,1.01886792453,0.0063991876268,2008-05-09 19:27:25,2010-01-06 22:48:36
Jotterbot,53,36,1.47222222222,0.000869202058803,2007-11-12 06:52:27,2013-01-18 18:27:34
Lt-wiki-bot,53,41,1.29268292683,0.00114985109768,2005-08-08 10:55:16,2006-01-01 12:02:04
WeggeBot,53,52,1.01923076923,0.00171396416762,2006-05-30 22:38:10,2009-11-10 18:34:24
SundarBot,52,44,1.18181818182,0.00115955007484,2005-12-20 12:49:05,2009-02-05 10:48:11
28bot,51,44,1.15909090909,0.00274231197723,2011-09-01 09:49:02,2013-07-24 08:56:36
AvicBot,51,50,1.02,0.00390214310785,2011-07-15 23:23:30,2013-06-24 01:28:26
GhalyBot,50,40,1.25,0.000665674606095,2009-01-19 21:55:04,2013-01-15 11:30:03
Bothtotally,50,1,50.0,0.0176616036736,2008-04-17 00:59:00,2008-04-17 01:20:47
AndersBot,50,49,1.02040816327,0.00228276673647,2008-05-05 14:01:41,2010-02-24 22:11:59
STBot,49,48,1.02083333333,0.00371989749323,2006-10-09 22:07:30,2007-03-03 20:31:53
LordAnubisBOT,49,43,1.13953488372,0.00525203176154,2006-12-27 02:02:20,2008-05-09 15:49:20
JhsBot,48,44,1.09090909091,0.00206019171364,2007-02-04 07:04:54,2010-06-18 00:42:47
Wikibot,47,45,1.04444444444,0.00135218029152,2003-12-07 04:45:13,2003-12-10 00:02:06
Snowbot,47,47,1.0,0.00426798368817,2007-02-25 20:39:42,2007-03-23 13:50:32
Cerabot,47,43,1.09302325581,0.00261779527437,2012-06-21 03:54:47,2015-01-04 01:09:49
DSisyphBot,46,46,1.0,0.00383647611676,2009-04-30 14:52:52,2012-04-27 19:57:48
Ripchip Bot,46,45,1.02222222222,0.00188787834407,2010-08-21 00:05:37,2012-02-17 15:00:25
YonaBot,45,37,1.21621621622,0.00205845075823,2007-04-09 01:32:30,2007-06-08 04:05:17
Makecat-bot,45,44,1.02272727273,0.00604704711564,2012-07-24 06:38:41,2013-02-11 00:40:28
YFdyh-bot,44,44,1.0,0.0043718540114,2012-06-25 16:33:48,2013-02-13 17:45:20
Phe-bot,43,37,1.16216216216,0.0311406242248,2008-01-06 08:39:17,2008-02-16 17:44:57
Snobot,43,28,1.53571428571,0.00247842464268,2004-01-12 18:40:35,2004-01-15 20:52:29
NjardarBot,43,41,1.0487804878,0.00255156739016,2008-04-16 13:06:28,2012-09-02 19:44:48
Vagobot,42,40,1.05,0.00216311516906,2011-10-04 07:08:20,2012-09-04 14:07:54
BotKung,41,40,1.025,0.0014392004676,2007-03-23 13:55:52,2013-01-14 21:20:33
JL-Bot,40,38,1.05263157895,0.00861733582608,2007-07-06 20:56:19,2014-12-07 03:55:06
Rezabot,40,39,1.02564102564,0.00332460104427,2011-10-04 14:45:43,2013-02-08 12:28:50
CohesionBot,40,39,1.02564102564,0.00552791715223,2007-10-07 17:21:22,2009-05-04 03:29:14
MauritsBot,39,33,1.18181818182,0.00318527894343,2009-05-09 05:20:13,2010-02-03 09:57:44
BetacommandBot,39,34,1.14705882353,0.00666633161541,2006-05-28 06:24:49,2008-03-06 15:45:42
KocjoBot,39,36,1.08333333333,0.00164356439324,2005-10-06 09:12:52,2010-08-31 01:26:25
JdforresterBot,38,22,1.72727272727,0.0026124703506,2005-04-12 23:18:03,2006-12-26 14:43:22
DorganBot,38,38,1.0,0.00167452772977,2006-11-26 13:12:39,2009-03-06 10:27:58
Filedelinkerbot,38,31,1.22580645161,0.00181453362212,2014-02-23 01:12:51,2015-02-23 01:58:29
Alph Bot,37,37,1.0,0.00261947338572,2009-12-03 15:12:15,2012-02-26 14:23:33
Eubot,37,37,1.0,0.00508043715316,2008-06-10 17:24:28,2008-07-28 23:01:47
ArmbrustBot,36,36,1.0,0.00352937777343,2013-09-05 18:04:57,2015-01-24 09:56:27
CocuBot,34,33,1.0303030303,0.00248314481678,2011-06-03 09:33:24,2012-05-16 14:51:18
YiFeiBot,34,30,1.13333333333,0.00821251246439,2014-10-27 11:27:48,2015-04-01 08:52:48
Bibcode Bot,34,20,1.7,0.00333649717083,2011-04-27 17:26:56,2013-10-27 18:48:15
WinBot,34,34,1.0,0.00413929797637,2006-07-10 13:57:54,2007-12-11 16:11:47
NetBot,34,29,1.1724137931,0.000931344698078,2004-12-28 19:25:59,2006-03-16 06:29:58
A4bot,34,34,1.0,0.00152439741721,2007-01-20 16:10:07,2011-07-08 06:14:04
Gdrbot,33,30,1.1,0.0011448358222,2005-06-04 17:49:34,2008-10-08 12:24:02
Bot-Schafter,33,30,1.1,0.000512230346977,2006-10-29 12:27:02,2007-05-01 13:47:56
Robotforaday,33,14,2.35714285714,0.00388227034938,2006-02-07 00:32:21,2008-02-16 13:07:14
Ligulembot,32,23,1.39130434783,0.00705708125293,2006-01-06 13:27:23,2006-03-12 22:23:21
MetsBot,32,30,1.06666666667,0.0142175385705,2006-08-30 03:29:00,2007-11-09 06:29:34
HasharBot,32,31,1.03225806452,0.00101391484277,2004-11-10 03:53:11,2006-06-03 19:53:02
Estirabot,31,31,1.0,0.00206807283686,2007-10-25 22:15:48,2010-01-11 20:28:00
ProtectionTaggingBot,31,31,1.0,0.000780006793299,2008-12-13 01:41:48,2008-12-23 05:38:47
Kyle the bot,30,30,1.0,0.00765187547369,2006-12-28 17:11:36,2008-07-08 10:39:21
Almabot,30,28,1.07142857143,0.000731277912217,2009-01-18 01:01:37,2010-05-21 18:06:18
NTBot,30,30,1.0,0.0028174789786,2005-10-04 16:14:45,2005-10-07 07:02:25
Yonidebot,29,29,1.0,0.00198949946371,2008-09-28 17:01:11,2009-04-22 05:59:00
^demonBot2,29,27,1.07407407407,0.00166663273479,2007-02-13 19:09:30,2007-10-01 15:45:47
SEWilcoBot,29,18,1.61111111111,0.00113892062083,2005-08-13 08:37:34,2005-12-03 05:26:46
Robotam,29,3,9.66666666667,0.00272229188204,2007-03-06 15:41:21,2012-02-23 21:03:02
AkhtaBot,29,28,1.03571428571,0.00380036414925,2008-03-31 00:57:07,2009-08-13 12:30:47
BenoniBot,28,22,1.27272727273,0.000798958492118,2007-06-03 10:42:37,2008-01-10 22:09:21
Nallimbot,28,28,1.0,0.00130562652841,2008-11-09 12:07:16,2010-04-12 03:35:50
Muro Bot,28,28,1.0,0.00424404846635,2008-01-20 16:28:55,2010-04-22 13:38:08
SD5bot,27,27,1.0,0.007453478593,2012-04-02 02:31:59,2012-04-02 20:53:45
Drinibot,27,24,1.125,0.00494839793811,2006-08-06 19:48:46,2007-05-25 04:33:03
BenzolBot,26,26,1.0,0.00455364086146,2009-05-08 14:17:35,2011-03-29 18:28:55
SamatBot,26,26,1.0,0.00221060367711,2008-05-12 08:06:21,2011-01-26 20:07:57
Justincheng12345-bot,25,24,1.04166666667,0.0013813128879,2012-05-10 11:45:29,2013-01-03 04:38:40
Pusher robot,25,1,25.0,0.00563824988724,2007-01-17 20:14:58,2007-06-30 18:59:50
LemmeyBOT,24,20,1.2,0.000623840855262,2008-05-09 20:40:01,2008-05-31 22:11:40
Whobot,24,24,1.0,0.00420532344002,2005-08-25 15:05:54,2005-11-10 00:34:55
Diderobot,24,24,1.0,0.00503434065614,2005-05-06 16:37:59,2005-05-06 17:06:38
BetBot,23,22,1.04545454545,0.000651289020123,2006-10-05 15:05:05,2008-05-30 19:38:35
TinucherianBot II,23,23,1.0,0.00152058337223,2008-10-23 15:41:46,2009-11-21 17:25:04
Movses-bot,23,21,1.09523809524,0.00109030537522,2011-03-21 06:46:33,2012-03-17 10:32:05
MelonBot,23,23,1.0,0.00110086649554,2009-02-03 00:01:22,2009-04-03 21:42:29
Polbot,22,22,1.0,0.00543569058608,2008-07-10 20:51:22,2008-08-14 17:07:00
BodhisattvaBot,22,21,1.04761904762,0.00159873062766,2008-03-20 14:51:30,2011-08-24 08:41:22
Grammarbot,22,22,1.0,0.00270098452465,2005-03-04 06:05:05,2005-03-07 12:12:06
TuHan-Bot,22,22,1.0,0.00435984053796,2010-04-15 06:12:39,2012-09-08 05:37:49
DixonDBot,22,20,1.1,0.00176987665111,2010-01-29 22:46:02,2012-10-24 04:54:36
Bot-maru,22,22,1.0,0.00176443941483,2006-05-10 06:56:27,2006-05-18 06:35:54
EdoBot,22,21,1.04761904762,0.00438017462568,2010-09-13 01:50:41,2011-11-01 08:55:23
KaiserbBot,22,22,1.0,0.00176666602123,2005-12-01 04:48:01,2006-12-29 00:33:09
ChenzwBot,21,20,1.05,0.00115628906787,2008-10-22 02:04:23,2009-09-27 17:29:54
Mjbmrbot,21,21,1.0,0.00259690596309,2010-11-12 15:19:12,2011-03-23 21:47:33
Mr.Z-bot,21,20,1.05,0.0239556937409,2009-02-03 02:19:49,2015-01-18 04:02:28
Three Laws of Robotics,21,2,10.5,0.00608602992202,2006-06-10 23:44:51,2007-04-17 04:32:00
Tsca.bot,21,21,1.0,0.00259553480988,2006-02-05 15:33:04,2007-02-15 03:01:02
TechBot,20,18,1.11111111111,0.00309516090558,2008-11-10 11:19:08,2009-04-05 06:53:51
Weebot,20,7,2.85714285714,0.00647463485384,2005-05-03 07:18:24,2006-11-13 19:23:40
Robotje,20,20,1.0,0.00183723777898,2004-10-15 16:00:54,2014-08-04 15:43:03
DefaultsortBot,20,20,1.0,0.0179515872735,2009-05-25 03:43:29,2009-06-19 06:36:25
RotlinkBot,19,14,1.35714285714,0.00788954271538,2013-08-07 05:35:51,2013-08-18 18:53:39
タチコマ robot,19,18,1.05555555556,0.00110225719527,2007-07-09 18:18:29,2012-10-21 09:35:21
ToePeu.bot,18,17,1.05882352941,0.00126885575214,2007-04-25 03:30:43,2010-08-11 14:46:56
HiW-Bot,18,18,1.0,0.0012647090659,2011-09-04 10:12:33,2012-07-29 06:22:40
Hxhbot,18,18,1.0,0.00228780437572,2007-06-15 15:43:39,2007-10-18 08:01:39
Minsbot,17,17,1.0,0.00232584416518,2011-12-05 09:07:06,2012-11-25 01:21:19
MerlLinkBot,17,14,1.21428571429,0.0017828251247,2009-05-21 23:11:18,2014-04-06 02:11:58
GargoyleBot,17,17,1.0,0.00601939052526,2009-01-31 17:52:53,2010-06-06 14:34:49
AstaBOTh15,17,16,1.0625,0.00291499110404,2010-03-21 07:25:51,2011-01-29 01:52:59
VVVBot,17,17,1.0,0.0043898568721,2007-04-18 06:37:31,2008-08-05 22:32:38
MondalorBot,16,16,1.0,0.00202703772047,2009-10-22 13:46:37,2010-09-13 12:56:09
HerculeBot,16,15,1.06666666667,0.00143954494849,2009-09-16 20:29:29,2012-07-10 06:00:45
RebelRobot,16,16,1.0,0.00347169908651,2006-07-19 19:38:18,2011-03-08 10:00:26
Louperibot,15,15,1.0,0.00357355575022,2009-07-23 16:20:48,2012-11-01 10:22:42
RussAbbott,15,2,7.5,0.0107694019626,2006-06-17 20:36:39,2008-07-25 05:14:12
Sz-iwbot,15,15,1.0,0.00272674801117,2008-09-05 03:24:08,2010-02-10 15:48:52
Skumarlabot,15,14,1.07142857143,0.00228624353434,2006-11-03 06:52:50,2008-02-05 04:14:04
Syrcatbot,15,13,1.15384615385,0.00511682470502,2006-02-07 12:57:07,2006-04-28 18:50:46
SelketBot,14,14,1.0,0.00595634338467,2007-07-04 16:59:02,2011-06-22 16:02:39
Ebrambot,14,13,1.07692307692,0.00114575415822,2010-10-03 10:37:55,2011-01-08 16:28:42
Fuelbottle,14,9,1.55555555556,0.00157056382701,2004-03-22 15:45:34,2004-09-26 02:40:46
WildBot,14,13,1.07692307692,0.0013940182571,2010-01-12 07:13:06,2010-05-29 02:40:58
CountryBot,14,14,1.0,0.000695127670664,2011-03-23 19:57:56,2011-03-25 00:17:19
Darkicebot,14,12,1.16666666667,0.00105495744848,2008-02-16 01:17:14,2009-09-21 08:07:44
SpellingBot,14,14,1.0,0.00240860795496,2008-06-11 17:42:30,2008-08-22 19:38:56
FairuseBot,13,9,1.44444444444,0.00076185078227,2006-04-10 03:05:36,2009-02-24 06:21:24
Kasirbot,13,13,1.0,0.00441421887845,2011-10-24 11:48:25,2012-12-14 02:28:11
Tanhabot,13,13,1.0,0.00247416241633,2009-08-01 09:06:18,2010-12-13 15:21:00
KP Botany,13,8,1.625,0.00312133618718,2006-12-05 00:37:35,2009-04-11 06:51:54
DarafshBot,13,13,1.0,0.00137879120526,2012-11-30 00:57:56,2013-02-15 10:06:35
GimmeBot,13,13,1.0,0.000713302090124,2007-02-07 22:25:03,2012-01-24 02:33:28
Robotbeat,12,3,4.0,0.00126802722401,2005-10-25 22:40:58,2006-01-25 21:41:25
WebCiteBOT,12,12,1.0,0.000709911700254,2009-10-25 19:47:33,2009-11-23 05:16:11
Reedy Bot,12,12,1.0,0.0054823384992,2011-12-14 15:58:45,2012-01-05 03:00:03
Locobot,12,11,1.09090909091,0.00849535121033,2009-04-20 19:06:34,2009-09-20 12:57:36
AVBOT,12,6,2.0,0.00106621481418,2010-04-04 22:45:37,2010-04-05 04:25:03
Soulbot,12,12,1.0,0.00200796282056,2006-09-02 11:23:36,2009-11-09 20:30:55
ElphiBot,12,12,1.0,0.00102325630517,2012-11-03 10:10:44,2012-12-10 08:48:41
