,revisions,edited pages,revisions/page,mean contribution,first activity,last activity
WikitanvirBot,46,39,1.17948717949,0.00465256847758,2010-12-17 13:01:03,2012-05-11 02:25:22
CmdrObot,45,41,1.09756097561,0.00676615408719,2006-03-25 17:19:32,2014-05-26 11:03:15
Zorrobot,45,41,1.09756097561,0.00441312268658,2008-09-17 02:24:58,2013-01-31 09:08:12
GrouchoBot,44,37,1.18918918919,0.00478546138265,2008-12-06 16:16:19,2012-11-29 21:27:38
Legobot,44,43,1.02325581395,0.00452531937912,2012-10-06 15:02:11,2013-09-28 01:13:50
Idioma-bot,40,25,1.6,0.00244246884695,2007-03-08 15:29:42,2011-11-04 17:54:48
TobeBot,40,28,1.42857142857,0.00228587708258,2009-08-18 09:33:13,2010-09-04 01:14:23
Dexbot,40,27,1.48148148148,0.00298743663852,2012-06-05 11:31:49,2015-01-02 00:13:24
DHN-bot,38,25,1.52,0.00392597604443,2006-01-08 20:09:53,2009-11-24 18:14:29
RedBot,38,35,1.08571428571,0.00546470773534,2009-07-02 07:33:05,2012-08-12 21:08:58
SashatoBot,36,23,1.5652173913,0.00283126632044,2006-01-05 12:24:13,2010-01-16 16:55:47
DumZiBoT,35,35,1.0,0.00564180642693,2008-02-04 18:27:59,2009-05-30 00:48:07
Anchor Link Bot,34,28,1.21428571429,0.00430005881612,2007-06-24 00:46:38,2007-07-10 22:59:33
LaaknorBot,34,30,1.13333333333,0.00572302350081,2008-08-09 07:44:29,2013-02-08 21:26:29
RussBot,32,28,1.14285714286,0.00539832581769,2005-07-07 18:10:01,2014-04-07 09:04:33
Botteville,29,2,14.5,0.0129405743374,2008-04-20 01:20:32,2008-06-15 13:46:53
Erik9bot,29,25,1.16,0.0184230685292,2009-06-22 23:09:48,2009-09-11 01:43:10
DragonBot,28,27,1.03703703704,0.00285046104209,2007-10-07 11:56:55,2013-01-09 04:10:25
Numbo3-bot,27,20,1.35,0.00253756634806,2008-05-24 08:31:49,2009-11-07 02:35:14
BattyBot,25,23,1.08695652174,0.00483200973334,2012-01-25 04:47:14,2015-01-16 08:34:05
MalafayaBot,25,18,1.38888888889,0.0022277856646,2006-09-10 17:50:16,2008-05-28 21:34:04
Synthebot,25,12,2.08333333333,0.00297449851351,2007-05-02 14:23:48,2012-11-16 19:32:41
DOI bot,25,20,1.25,0.00366272897217,2008-05-01 08:02:00,2008-08-20 05:23:24
Eskimbot,25,23,1.08695652174,0.00893692261722,2005-11-01 14:31:36,2006-07-10 08:27:37
LinkFA-Bot,23,11,2.09090909091,0.000997061585357,2008-05-06 14:29:32,2010-06-06 20:44:51
OKBot,23,19,1.21052631579,0.0044017983524,2007-12-01 15:32:16,2009-01-17 10:29:04
SoxBot III,22,18,1.22222222222,0.00284191040153,2009-01-05 19:07:41,2009-04-17 14:57:34
Alexbot,22,21,1.04761904762,0.00679020822885,2008-02-02 18:18:27,2010-12-14 13:32:20
OrphanBot,21,10,2.1,0.00468760090414,2005-12-27 10:41:37,2007-06-23 06:44:37
Alphachimpbot,21,13,1.61538461538,0.0112467164152,2006-06-27 22:13:27,2006-11-13 22:14:09
PipepBot,21,12,1.75,0.008166162392,2007-08-02 15:15:32,2008-05-20 02:07:18
CarsracBot,20,18,1.11111111111,0.00226145560942,2008-07-15 07:12:40,2011-11-02 01:55:14
Bota47,20,18,1.11111111111,0.00491094660689,2005-07-19 19:18:21,2007-07-11 17:02:38
MerlIwBot,19,18,1.05555555556,0.00633582052945,2011-04-08 22:26:58,2013-02-24 12:48:25
GrinBot,19,14,1.35714285714,0.00254271865431,2005-09-02 03:47:23,2006-05-15 22:54:50
Rubinbot,19,18,1.05555555556,0.00443186833708,2009-04-14 01:46:41,2013-01-26 21:05:20
Bibcode Bot,19,9,2.11111111111,0.00582361315935,2011-04-26 19:30:40,2014-08-18 00:39:48
AlnoktaBOT,18,16,1.125,0.00215607090833,2006-12-27 06:43:56,2008-09-02 20:11:11
Guanabot,18,14,1.28571428571,0.00442640733699,2004-07-09 04:26:53,2004-09-19 06:05:48
Amirobot,17,17,1.0,0.00475625995146,2009-01-25 01:18:51,2011-11-20 20:40:31
TaBOT-zerem,17,17,1.0,0.00462459283036,2008-08-08 19:19:36,2010-07-28 08:56:33
MastiBot,17,15,1.13333333333,0.00760461352193,2009-07-21 22:59:48,2012-11-17 03:23:30
BOT-Superzerocool,16,11,1.45454545455,0.00226637459634,2006-07-22 21:16:30,2011-10-24 00:55:09
FoxBot,16,13,1.23076923077,0.00144832170634,2009-09-13 13:36:40,2012-01-15 15:17:51
.anacondabot,16,15,1.06666666667,0.00485190697966,2006-08-26 07:44:35,2007-01-15 03:03:03
Rei-bot,16,15,1.06666666667,0.00362583018291,2007-02-10 04:51:20,2008-04-09 00:44:34
BenjBot,16,16,1.0,0.00485061555462,2004-08-29 16:49:18,2004-09-19 20:39:18
YFdyh-bot,15,15,1.0,0.00347857039047,2012-07-24 02:51:43,2013-02-04 04:56:14
Fuelbottle,15,6,2.5,0.0034654469587,2004-03-22 20:12:23,2004-04-08 16:40:54
PixelBot,15,14,1.07142857143,0.00378022522417,2007-10-24 16:25:00,2012-08-21 10:15:07
DumbBOT,15,7,2.14285714286,0.00171135781627,2007-03-14 12:24:14,2012-09-14 13:27:29
SilvonenBot,14,13,1.07692307692,0.00275260133289,2008-04-02 14:44:37,2012-03-30 06:00:10
SundarBot,14,13,1.07692307692,0.00167412433574,2005-12-20 12:28:57,2007-10-16 08:33:37
Ptbotgourou,14,13,1.07692307692,0.00571866812603,2008-08-26 00:40:49,2012-08-24 17:22:51
AkhtaBot,13,12,1.08333333333,0.00621458845405,2008-04-03 16:27:34,2009-06-19 00:29:52
Rezabot,13,13,1.0,0.00470193252423,2011-10-27 02:39:23,2013-01-30 15:20:34
Dinamik-bot,13,12,1.08333333333,0.00288146492,2009-12-08 04:16:49,2012-05-22 01:46:49
Roboto de Ajvol,13,12,1.08333333333,0.00270781393516,2007-03-25 02:57:49,2008-03-26 02:38:18
RobotE,13,12,1.08333333333,0.00533648902006,2005-05-21 07:11:40,2005-10-19 18:17:26
JYBot,12,11,1.09090909091,0.00225692008749,2012-07-23 01:59:35,2012-11-28 08:02:01
TjBot,12,11,1.09090909091,0.00409471042967,2011-12-19 21:02:25,2013-02-14 04:55:34
AvocatoBot,12,12,1.0,0.00387956092727,2012-03-13 05:17:15,2012-07-08 20:12:07
Vina-iwbot,12,12,1.0,0.00409838200345,2006-01-04 00:11:00,2008-04-27 21:49:52
ImageRemovalBot,12,6,2.0,0.00348585867796,2007-11-16 14:36:47,2014-03-12 01:02:50
KamikazeBot,12,10,1.2,0.00767522824149,2010-08-01 18:28:34,2013-01-04 17:17:15
CitationCleanerBot,11,11,1.0,0.00695921538272,2011-09-11 06:12:30,2011-09-19 11:13:16
Tawkerbot4,11,9,1.22222222222,0.000782693249614,2006-06-28 15:29:16,2006-08-24 03:48:08
DrilBot,11,10,1.1,0.00884100792982,2009-05-14 01:45:37,2009-09-18 19:09:57
WinBot,11,11,1.0,0.00523450681012,2006-07-15 11:29:23,2006-09-25 06:59:49
DASHBotAV,11,7,1.57142857143,0.00178839155947,2010-09-25 12:25:09,2010-10-20 20:48:30
BOTarate,11,11,1.0,0.00331930706305,2008-01-01 18:04:38,2011-02-11 14:12:52
STBotD,11,10,1.1,0.0106175310845,2006-12-20 01:25:32,2007-07-21 13:03:24
AntiSpamBot,11,9,1.22222222222,0.0018392013474,2007-01-06 15:08:33,2007-11-07 03:11:31
Gerakibot,11,11,1.0,0.00206038416687,2007-09-28 15:08:58,2013-02-09 14:09:45
MystBot,11,11,1.0,0.00320429916125,2008-09-14 08:26:12,2012-01-28 22:57:22
SwiftBot,10,10,1.0,0.00553926018233,2006-08-22 18:56:22,2006-08-22 23:24:05
CounterVandalismBot,10,7,1.42857142857,0.00206231501125,2007-10-09 08:43:07,2007-11-07 19:45:21
28bot,10,10,1.0,0.00392905438033,2011-10-31 17:30:07,2013-08-26 07:16:41
A4bot,10,10,1.0,0.00248379665863,2007-02-08 18:24:33,2008-12-20 18:36:11
Zwobot,10,8,1.25,0.00541396764084,2005-07-21 17:22:00,2006-12-10 05:10:09
BotMultichill,10,10,1.0,0.00405928831542,2007-04-28 14:50:38,2010-10-01 22:54:55
DorganBot,10,9,1.11111111111,0.00752273567622,2006-11-26 11:19:00,2008-10-22 09:45:55
Cyberbot II,9,1,9.0,0.00436469447139,2013-03-08 22:50:15,2013-09-08 22:50:08
DASHBot,9,8,1.125,0.00185373550217,2010-08-17 21:48:50,2012-06-12 14:49:10
HRoestBot,9,8,1.125,0.00489300455667,2011-03-21 06:39:13,2012-09-25 16:28:03
D'ohBot,9,9,1.0,0.00700231191414,2009-06-24 17:43:43,2010-07-16 15:32:18
JackieBot,9,9,1.0,0.00355248532394,2011-03-09 14:29:03,2013-01-16 00:04:38
LucienBOT,9,9,1.0,0.00541744340419,2009-11-07 13:06:54,2011-05-28 20:56:19
YonaBot,9,9,1.0,0.00322314528108,2007-04-07 20:33:05,2007-05-30 13:08:33
Tsca.bot,9,9,1.0,0.0064750391039,2006-02-04 21:23:38,2007-03-31 21:13:14
AndersBot,9,8,1.125,0.0019442634514,2008-06-16 02:28:12,2010-02-16 16:55:11
Alph Bot,8,8,1.0,0.00308140443751,2009-12-06 20:00:39,2011-12-30 15:03:29
Ripchip Bot,8,8,1.0,0.00114173340498,2011-04-07 23:48:28,2011-12-18 18:14:42
Wikibot,8,8,1.0,0.00237466843992,2003-12-07 12:51:19,2003-12-09 22:10:58
EmxBot,8,4,2.0,0.00144264206011,2007-04-07 11:19:51,2007-05-24 02:54:09
Chlewbot,8,7,1.14285714286,0.00300479171769,2005-11-30 23:17:25,2006-12-30 07:09:53
WeggeBot,8,8,1.0,0.00311534228353,2006-05-31 08:35:39,2008-12-25 22:06:26
Jotterbot,7,7,1.0,0.000603613015888,2007-11-28 17:08:25,2009-10-05 03:23:01
SassoBot,7,7,1.0,0.00628564001122,2008-12-31 18:43:26,2010-10-01 19:57:36
KLBot2,7,7,1.0,0.0100675352647,2012-06-15 10:16:08,2013-04-23 18:00:14
JhsBot,7,6,1.16666666667,0.00162664652714,2007-02-03 20:15:40,2007-08-18 03:17:57
Lucasbfrbot,7,4,1.75,0.0073855571039,2009-05-13 06:53:59,2010-02-28 13:46:48
Legobot II,7,6,1.16666666667,0.00114849568331,2009-02-09 06:38:00,2011-03-13 12:01:03
Margosbot,6,6,1.0,0.00269249608919,2005-04-26 01:02:43,2005-04-30 16:11:15
DSisyphBot,6,6,1.0,0.00673349164393,2009-06-12 20:16:12,2012-03-26 13:48:02
Kyle the bot,6,6,1.0,0.0070957518107,2006-12-30 14:43:18,2008-07-02 18:04:49
Nallimbot,6,6,1.0,0.00272931124258,2008-12-07 08:28:24,2010-02-03 17:34:46
Makecat-bot,6,6,1.0,0.00636253011413,2012-10-25 02:59:10,2013-01-25 16:53:14
AvicBot,6,6,1.0,0.00180786448873,2011-07-27 23:23:03,2012-12-06 03:45:00
Thehelpfulbot,6,6,1.0,0.00443805638687,2012-04-16 11:45:13,2012-05-24 08:52:53
Lt-wiki-bot,6,5,1.2,0.0021805482873,2005-09-01 12:41:32,2005-10-15 06:20:44
BotKung,6,6,1.0,0.00450043249389,2007-06-15 23:01:02,2009-02-07 23:10:39
Grammarbot,6,6,1.0,0.0055004596817,2005-03-04 15:09:14,2005-03-06 21:19:03
Obersachsebot,6,5,1.2,0.00514021255588,2008-12-22 03:21:00,2012-01-08 09:11:45
Curpsbot-unicodify,6,6,1.0,0.00699347252579,2005-09-18 09:06:05,2005-12-13 05:53:52
DixonDBot,6,6,1.0,0.004287488829,2010-01-30 09:26:16,2010-12-23 08:41:30
Snotbot,6,6,1.0,0.00660280156703,2011-04-22 00:10:24,2012-05-24 21:58:31
GhalyBot,6,5,1.2,0.000651552161125,2009-02-06 21:30:44,2010-03-11 21:46:12
Justincheng12345-bot,6,6,1.0,0.00187371604658,2012-06-08 15:03:28,2012-12-29 10:10:56
Soulbot,6,6,1.0,0.00343695466841,2006-09-14 15:30:15,2011-10-05 12:26:12
KocjoBot,6,6,1.0,0.00187152591938,2005-10-06 14:11:17,2007-01-13 10:11:33
Commander Keane bot,6,6,1.0,0.00574065500571,2005-11-30 16:12:25,2010-08-20 03:36:54
MetsBot,5,2,2.5,0.000854386595636,2006-11-13 23:38:05,2007-08-21 13:41:15
HerculeBot,5,5,1.0,0.00308823614086,2010-06-09 19:28:58,2012-07-13 04:07:41
SamatBot,5,5,1.0,0.00560357781702,2008-05-16 04:22:41,2011-01-22 16:48:38
TinucherianBot II,5,5,1.0,0.00125209042948,2008-11-02 15:31:35,2009-07-04 16:27:11
Almabot,5,5,1.0,0.00224806965549,2009-04-27 00:55:19,2009-12-22 01:25:59
Movses-bot,5,5,1.0,0.00363097996477,2011-04-19 11:53:43,2012-03-13 17:57:13
Yonidebot,5,5,1.0,0.00202564318913,2008-10-01 13:56:20,2009-04-21 23:42:56
Broadbot,5,5,1.0,0.00329780656012,2007-06-14 09:33:12,2010-04-19 09:50:55
SporkBot,5,5,1.0,0.00882380948256,2010-09-17 02:58:10,2014-12-23 01:45:13
Alaibot,5,5,1.0,0.0198971273292,2007-01-29 07:54:13,2008-05-07 14:59:41
Phe-bot,5,5,1.0,0.0141771038858,2008-01-16 11:05:13,2008-02-09 10:08:47
Eubot,5,5,1.0,0.00725035754108,2008-06-11 20:22:46,2008-07-27 20:32:18
The Anomebot,5,3,1.66666666667,0.00513203886391,2003-09-06 14:48:18,2003-09-06 20:11:34
SpBot,5,5,1.0,0.00551333019519,2008-06-21 16:23:24,2009-03-12 00:08:53
WildBot,4,4,1.0,0.00359674782982,2010-04-10 21:21:27,2010-05-31 14:30:38
Lowercase sigmabot,4,2,2.0,0.000664512107654,2012-01-25 22:22:53,2013-02-12 06:30:54
MauritsBot,4,4,1.0,0.00362298083694,2009-05-23 05:53:51,2009-07-12 05:19:18
KP Botany,4,1,4.0,0.00269541778976,2007-08-06 01:44:31,2007-08-23 22:13:32
DcoetzeeBot,4,3,1.33333333333,0.000860623837827,2004-08-01 02:57:20,2007-09-21 23:33:57
JoeBot,4,4,1.0,0.00179399003889,2006-03-18 16:20:47,2006-10-01 01:18:26
ToePeu.bot,4,4,1.0,0.00246689933337,2007-04-24 17:33:28,2007-10-16 13:54:44
TechBot,4,4,1.0,0.00511480195191,2008-12-11 05:24:42,2009-04-05 08:56:02
ProtectionTaggingBot,4,4,1.0,0.000422240624563,2008-12-20 06:02:26,2008-12-20 15:39:09
MondalorBot,4,4,1.0,0.00347667161893,2009-11-02 15:19:26,2010-04-11 10:12:26
Kisbesbot,4,4,1.0,0.00322597624125,2008-05-13 12:06:57,2008-06-13 08:16:33
YiFeiBot,4,4,1.0,0.00429878444894,2014-11-17 13:46:53,2014-11-19 06:08:05
Hmainsbot1,4,4,1.0,0.00261468887269,2012-08-04 21:52:05,2012-12-09 06:29:09
H3llBot,4,4,1.0,0.000941441166341,2010-10-21 09:30:28,2011-09-18 13:52:25
BenzolBot,3,3,1.0,0.0124707901178,2009-05-25 14:38:07,2009-07-25 12:38:49
NongBot,3,3,1.0,0.00141507050378,2006-02-19 00:09:27,2007-01-05 23:29:34
ChenzwBot,3,3,1.0,0.00271374903815,2009-03-25 22:33:39,2009-04-02 11:33:07
Louperibot,3,3,1.0,0.00786824173576,2010-11-19 22:24:24,2011-07-06 16:14:22
Darkicebot,3,3,1.0,0.00622593490044,2009-03-06 11:25:34,2009-09-21 08:26:25
Mulder416sBot,3,3,1.0,0.00850287483414,2006-04-11 15:01:27,2006-04-11 15:08:31
RaptureBot,3,2,1.5,0.00337544027482,2010-06-14 05:06:47,2010-06-14 09:30:00
ElphiBot,3,3,1.0,0.00841292337658,2012-11-08 20:41:41,2012-12-16 22:24:18
Ligulembot,3,3,1.0,0.00765133737426,2006-02-24 07:18:04,2006-02-25 15:58:34
Bot-Schafter,3,3,1.0,0.00170993707925,2006-10-29 12:31:16,2007-02-15 21:09:14
SuperEditingDudeBot,3,1,3.0,0.000956632653061,2009-10-07 14:39:34,2009-10-09 14:28:09
Minsbot,3,3,1.0,0.0023798895818,2012-01-08 17:01:15,2012-04-14 00:48:44
LordAnubisBOT,3,3,1.0,0.00897340078954,2007-07-10 13:26:27,2007-08-10 09:53:22
Sahimrobot,3,3,1.0,0.00235582947754,2011-09-07 11:48:23,2012-03-02 00:31:18
Vagobot,3,3,1.0,0.00362871439458,2011-09-22 06:51:12,2011-11-30 07:34:11
HasharBot,3,3,1.0,0.00336896490743,2004-11-11 19:37:49,2006-06-03 14:21:29
Gdrbot,3,3,1.0,0.0041261841172,2005-06-17 11:57:40,2006-01-08 04:12:39
CocuBot,3,3,1.0,0.00572998603037,2011-06-14 14:55:34,2012-08-25 21:15:43
Peti610botH,3,3,1.0,0.00581355534772,2008-12-14 08:17:01,2009-01-25 06:23:30
Reedy Bot,3,3,1.0,0.00992988492988,2012-01-04 18:14:13,2012-01-05 03:20:43
MSBOT,3,3,1.0,0.00175290968159,2006-08-21 22:23:49,2009-04-29 16:34:54
Riad.Bot,3,3,1.0,0.00905021692256,2008-07-26 00:57:43,2008-08-01 19:00:09
Adlerbot,3,3,1.0,0.00466277356844,2009-07-03 06:47:49,2009-07-06 20:17:06
Syrcatbot,2,2,1.0,0.00459657607861,2006-04-09 14:47:19,2006-04-09 15:29:38
Ollyrobotham,2,1,2.0,0.00045756119881,2007-11-04 09:59:47,2007-11-25 11:07:52
Sodabottle,2,2,1.0,0.00210186030861,2011-01-31 09:33:10,2011-06-28 16:18:57
Ebrambot,2,2,1.0,0.00390646799487,2010-11-06 22:01:55,2010-11-14 19:23:27
TuHan-Bot,2,2,1.0,0.00435897435897,2010-04-19 04:43:46,2012-07-02 20:29:03
Byrialbot,2,1,2.0,0.0114942528736,2007-06-20 22:32:27,2007-06-21 11:26:54
WikiDreamer Bot,2,2,1.0,0.00289756621211,2008-07-16 15:30:13,2008-08-03 09:09:17
Drinibot,2,2,1.0,0.0254120879121,2006-06-12 23:24:02,2007-02-04 03:48:14
Le Pied-bot,2,2,1.0,0.00124112464988,2007-12-09 10:37:28,2007-12-09 10:40:49
Wybot,2,2,1.0,0.001237894408,2006-09-12 11:39:31,2007-09-21 06:27:04
BetBot,2,2,1.0,0.00167298745397,2007-06-30 19:03:13,2007-07-14 16:29:29
CohesionBot,2,2,1.0,0.00581146964214,2008-01-07 19:52:49,2008-01-07 19:53:37
SpellBott,2,2,1.0,0.0114139457665,2004-01-04 10:02:18,2004-01-04 12:36:13
STBot,2,2,1.0,0.0110460950561,2006-10-15 03:06:17,2006-10-16 01:43:24
PNG crusade bot,2,2,1.0,0.0014459609893,2007-04-11 04:46:54,2008-01-11 22:32:26
Robotje,2,1,2.0,0.00186741363212,2006-03-04 11:15:12,2006-03-07 09:20:23
NTBot,2,2,1.0,0.00457528328035,2005-10-05 02:42:30,2005-10-05 11:02:43
DPL bot,2,2,1.0,0.00166901300015,2012-11-27 09:25:25,2015-02-27 08:38:24
PDFbot,2,2,1.0,0.00251568799037,2007-03-07 22:57:56,2008-11-01 18:40:09
NjardarBot,2,2,1.0,0.002493037982,2008-12-06 14:14:27,2012-08-31 19:18:50
Turbothy,2,2,1.0,0.000490228529817,2010-09-24 08:09:22,2012-02-03 08:41:09
VVVBot,2,2,1.0,0.00478853513236,2007-10-29 02:11:57,2007-11-01 13:14:52
Ugur Basak Bot,2,2,1.0,0.00127463118483,2006-02-28 17:28:52,2006-04-27 16:44:48
Mjbmrbot,2,2,1.0,0.000191053899825,2010-11-07 12:36:16,2011-03-07 12:18:37
SEWilcoBot,2,1,2.0,0.00045756119881,2005-08-13 11:43:38,2005-08-24 04:46:48
MTSbot,2,2,1.0,0.00121896571167,2006-05-12 14:26:12,2006-11-04 04:18:42
Snobot,2,2,1.0,0.00196608946609,2004-01-13 02:47:45,2004-01-19 04:51:44
Locobot,2,2,1.0,0.000696702587044,2009-05-31 09:38:50,2009-09-14 03:22:45
Estirabot,2,2,1.0,0.0043245398135,2007-12-25 23:49:14,2008-03-14 00:01:00
VsBot,2,2,1.0,0.00308854967558,2008-05-14 11:13:07,2008-11-12 16:58:00
Muro Bot,2,1,2.0,0.000306654400491,2008-01-19 14:50:08,2008-01-31 17:13:01
AstaBOTh15,2,2,1.0,0.00307466669023,2010-06-06 07:10:20,2010-06-07 04:03:41
Snaevar-bot,2,2,1.0,0.00132225498079,2011-07-23 11:34:02,2012-06-01 15:22:51
HiW-Bot,2,2,1.0,0.00234741784038,2011-12-11 12:42:05,2011-12-11 20:16:20
Kbdankbot,2,2,1.0,0.00270824254749,2008-05-01 13:26:21,2008-05-14 14:42:18
BenoniBot,2,2,1.0,0.000892576605422,2007-08-27 17:38:50,2007-10-12 12:42:12
RobotG,2,2,1.0,0.0239239141092,2006-11-22 14:46:12,2007-03-09 15:28:23
Maksim-bot,2,2,1.0,0.00299908424908,2009-10-23 18:33:51,2009-12-02 21:45:32
Vini 17bot5,2,2,1.0,0.00604388594757,2008-09-09 02:12:59,2008-09-15 23:34:22
Arrogantrobot,1,1,1.0,0.00546448087432,2012-11-21 16:01:37,2012-11-21 16:01:37
XZeroBot,1,1,1.0,0.00236406619385,2009-04-13 12:33:40,2009-04-13 12:33:40
Sz-iwbot,1,1,1.0,0.00434782608696,2008-12-18 05:26:35,2008-12-18 05:26:35
BodhisattvaBot,1,1,1.0,0.00066181336863,2008-05-08 13:24:52,2008-05-08 13:24:52
AmaraBot,1,1,1.0,0.00110619469027,2011-01-01 04:41:46,2011-01-01 04:41:46
SpellingBot,1,1,1.0,0.00341296928328,2008-08-05 13:00:24,2008-08-05 13:00:24
COBot,1,1,1.0,0.00325732899023,2007-08-15 21:24:06,2007-08-15 21:24:06
Rahul Bott,1,1,1.0,0.015873015873,2013-04-02 06:09:50,2013-04-02 06:09:50
MysticOrbot,1,1,1.0,0.000153327200245,2011-01-24 23:32:30,2011-01-24 23:32:30
Petan-Bot,1,1,1.0,0.00090991810737,2011-04-23 11:33:42,2011-04-23 11:33:42
Reubot,1,1,1.0,0.00164473684211,2011-02-10 14:25:29,2011-02-10 14:25:29
Ken123BOT,1,1,1.0,0.00352112676056,2007-07-05 12:29:50,2007-07-05 12:29:50
TestEditBot,1,1,1.0,0.00093370681606,2008-08-05 09:02:49,2008-08-05 09:02:49
ChessBOT,1,1,1.0,0.00188679245283,2011-08-05 12:45:35,2011-08-05 12:45:35
McM.bot,1,1,1.0,0.0104166666667,2008-03-09 00:02:15,2008-03-09 00:02:15
OgreBot,1,1,1.0,0.000869565217391,2013-01-26 03:07:11,2013-01-26 03:07:11
WebCiteBOT,1,1,1.0,0.00299401197605,2009-10-25 19:40:51,2009-10-25 19:40:51
Tanhabot,1,1,1.0,0.00546448087432,2010-12-06 01:45:55,2010-12-06 01:45:55
Harej bot,1,1,1.0,0.00423728813559,2009-09-01 08:54:44,2009-09-01 08:54:44
WikiBotas,1,1,1.0,0.00090991810737,2008-03-06 11:26:01,2008-03-06 11:26:01
EdoBot,1,1,1.0,0.00546448087432,2010-09-18 08:44:08,2010-09-18 08:44:08
Larrybot3000,1,1,1.0,0.000153327200245,2006-12-15 20:21:07,2006-12-15 20:21:07
Kaspobot,1,1,1.0,0.00126422250316,2008-09-23 01:55:10,2008-09-23 01:55:10
SD5bot,1,1,1.0,0.000153327200245,2012-04-02 10:09:41,2012-04-02 10:09:41
Razibot,1,1,1.0,0.0102040816327,2012-11-04 07:31:15,2012-11-04 07:31:15
Saboteur,1,1,1.0,0.000228780599405,2006-03-31 02:13:46,2006-03-31 02:13:46
