,count,inflections
holi,5,Holy
90,28,90
93,232,93
hold,218,"Hold, holding, hold, holds"
95,5,95
arab====,1,Arab====
accid,1,ACCIDENT
generalis,2,generalisation
==new,1,==New
conceptu,76,"conceptualization, conceptualizing"
|beatl,1,|Beatles
coprophilia,1,coprophilia
''ar-rahman,2,''Ar-Rahman
tröt,1,tröt
wang,41,"WANG, wang"
wank,2,"wank, wanks"
virtu,335,"Virtue, virtue, Virtues, virtues"
masaru,11,Masaru
l'oeuf,2,l'oeuf
caution,79,cautions
want,502,"wants, WANTS, WANT, Want, want, wanting, wanted"
balloon-shap,1,balloon-shaped
ryang2006,5,Ryang2006
hang-ov,1,hang-over
vanish,5,vanish
hob,3,"Hob, hob"
carous,1,carouse
hoo,5,"Hoo, hoo"
travel,46,"Travelled, Traveled, travel, traveled"
classifi,50,"classifying, classifies"
how,730,"how, How"
hot,446,"HOT, Hot, hot"
hou,3,hou
hop,1,Hop
place,433,"places, placing, PLACE, placed, place, Place"
==classic,1,==Classical
perspect,17,perspective
chaitanya,3,Chaitanya
id=42,2,id=42
web|url=http,1,web|url=http
cuss,1,cuss
wrong,242,"wrongs, wrong, WRONG"
"ejaculatory,",1,"ejaculatory,"
beauti,881,"beautiful, Beautiful, beauty, Beauty"
shorey,2,SHOREY
unselfish,270,unselfish
antonym,1,antonyms
''l'amour-pass,2,''l'amour-passion
pantheism,60,pantheism
sioux,2,Sioux
cheri,1,Cheri
nympho,1,NYMPHO
childhood,58,childhood
dziemianko,1,Dziemianko
==dear,8,==DEAR
wind,1,wind
wine,78,wine
lian'ai,59,lian'ai
some1,2,some1
surrend,22,"surrender, Surrendered"
uidaodjsdsew,5,uidaodjsdsew
papiamento,2,Papiamento
mabel,9,Mabel
appar,189,apparently
*greek:,1,*Greek:
vari,340,"varies, vary, varying"
4pe9,1,4pe9
fir,1,fir
tujhashi,2,tujhashi
dablink,1,dablink
funni,3,"FUNNY, funny"
fix,4,"fixing, fix, fixed"
connel,1,CONNELL
4eva,2,"4EVA, 4eva"
hidden,1,hidden
easier,271,easier
proch,1,Proches
//www.the-love-poems.info/,1,//www.the-love-poems.info/
babyrap,1,babyraper
afekrishaleh,1,Afekrishalehou
glorifi,92,glorified
surgic,1,surgical
sove,1,Sove
prize,2,prize
ref|equ,1,ref|equation
arrog,1,arrogant
vouloir,1,vouloir
''whi,214,''Why
arrow,120,"Arrow, arrow"
printsec=frontcov,16,printsec=frontcover
f.v,14,F.V
allah,166,Allah
file:2009-valentin,1,File:2009-Valentine
yiddish,2,Yiddish
veracruz,20,Veracruz
pissi,1,pissy
whip,1,whip
goarg,1,Goarge
ru,209,ru
shame,1,shame
pokemon,2,pokemon
ry,1,RY
mason,2,"mason, Mason"
rd,1,Rd
re,1,re
===indonesian,7,===Indonesian
ro,9,ro
ri,1,Ri
“love”,29,"“Love”, “love”"
abbott,4,"abbott, Abbott"
sa=x,14,sa=X
navig,8,navigator
underfoot,1,underfoot
self-deceiv,2,self-deceiving
immort,10,"immortality, immortal"
jennif,3,"JENNIFER, Jennifer"
kayla,6,"Kayla, KAYLA, kayla"
hermeneut,3,"Hermeneutics, hermeneutics"
impostit,1,impostitions
loveeeeeeeee,1,LOVEEEEEEEEEE
ate,36,ate
district,1,DISTRICT
over-attach,4,over-attachment
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,1,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
att,1,att
italian|amar,4,Italian|amare
r.,333,R.
confus,26,"confusion, confuse, confused"
omgzorz,1,OMGZORZ
kanimo,2,kanimo
elma,1,Elmas
wast,3,"waste, WASTE"
wash,48,"wash, washes"
unperson,2,unpersonal
zh.svg|thumb|150px|,2,zh.svg|thumb|150px|
yhoissa,10,"yhoissa, Yhoissa"
für,3,für
//dictionary.reference.com/browse/lov,58,//dictionary.reference.com/browse/love
déplacent,1,déplacent
iniqu,9,iniquity
"her,",1,"her,"
evolut,14,evolution
kṛṣṇa-prema,3,Kṛṣṇa-prema
necessarili,10,necessarily
master,6,"masters, master, Masters, Mastering"
similarli,103,"similarly, Similarly"
staci,5,"Stacy, STACY"
bitter,4,Bitter
hewitt,1,Hewitt
===christin,1,===Christine
danish,2,Danish
wizard,11,Wizard
unend,2,unending
"miller,",1,"Miller,"
hadn’t,1,hadn’t
wisdom,302,"Wisdom, wisdom"
recently-inv,87,recently-invented
"2008,",1,"2008,"
jugo,1,jugo
lyndon,1,Lyndon
crawl,1,crawl
scarborough,6,Scarborough
"khooba,",1,"Khooba,"
galant,1,Galante
"lechery,",1,"lechery,"
tree,4,"Tree, tree, trees"
tongxinglian,1,tongxinglian
project,115,"project, projection, projected"
consentu,1,Consentual
kathalikkinren,1,kAthalikkinREn
recheck,71,rechecking
explicitli,2,explicitly
shiteiru,26,shiteiru
behavior,65,"behaviors, behavior, behavioral"
intelectu,2,"intelectual, INTELECTUAL"
esto,1,esto
spectrum,1,spectrum
"well,",2,"well,"
hug,109,"Hug, hug, hugging"
.accord,1,.According
100,5,100
westleigh,2,westleigh
incompat,5,incompatible
tale,19,"tale, tales"
//www.merriam-webster.com/dictionary/lov,12,//www.merriam-webster.com/dictionary/love
spageti,1,spageti
gilburt,1,Gilburt
that,6916,"that, THAT, That, Thats, thats"
affair|,1,Affair|
wikiquote-inlin,1,Wikiquote-inline
''lust,178,"''Lust, ''lust"
season,15,season
ἔρως,1,ἔρως
==jamich==,1,==Jamich==
|last=,66,|last=
simplifi,59,Simplified
sevda,1,Sevda
===ancient,157,===Ancient
child.jpg|grandmoth,6,child.jpg|Grandmother
shall,147,shall
4735943837,1,4735943837
doin,1,doin
object,455,"Object, objects, objective, object, Objects"
victoria,6,"VICTORIA, Victoria"
phileo,122,"phileo, Phileo"
mouth,3,mouth
letter,205,"Letters, Letter, letter, letters"
netlov,1,NetLove
wellb,1,wellbeing
singer,6,"Singer, singer"
"kay,",1,"Kay,"
majh,1,majhe
emotion|emot,1,emotion|emotional
unexplain,4,unexplainable
unpleas,3,unpleasant
professor,9,"professor, Professor"
camp,1,Camping
hospit,100,"hospitality, hospital"
kavita,2,kavita
bisexu,1,Bisexual
scream,2,scream
came,10,"CAME, came"
verses:,2,verses:
interpretaion,1,interpretaion
bomb,1,bomb
ፍቅር,6,ፍቅር
teresa,7,Teresa
too..,1,too..
ugly.suf,1,ugly.Sufism
0000ff,5,0000ff
openli,2,openly
asia,74,Asia
gif|200px|thumb|right|th,1,gif|200px|thumb|right|The
shirley,1,SHIRLEY
thinketh,10,thinketh
thai,6,Thai
lubu,17,lubu
vishal,2,Vishal
//it.slashdot.org/comments.pl,3,//it.slashdot.org/comments.pl
11111,1,11111
frankav,1,frankavalli
cupid,110,Cupid
theme,247,"themes, theme"
rick,1,Rick
rich,3,"RICH, Rich"
psyøk,1,PsyØk
plate,1,plate
محبت,5,محبت
james|title=a,2,James|title=A
|title=what,3,|title=What
npov-sect,1,NPOV-section
plato,206,"plato, Plato"
foremost,3,"Foremost, foremost"
moga,2,moga
fiedler,1,FIEDLER
"author=ackerman,",2,"author=Ackerman,"
net,1,net
mélang,1,mélange
nuestra,1,nuestra
ner,1,ner
nhebuk,1,nhebuk
sa'di,17,Sa'di
them.,9,them.
mcsmartsmart,1,McSmartSmart
"them,",1,"them,"
saul,10,Saul
respond,95,"respond, responds"
.in,12,".In, .in"
fair,1,faire
''de,80,"''de, ''De"
.if,1,.if
metta|,1,metta|
s'tebya,1,s'tebya
result,113,"resulting, result, results"
respons,401,"responsibility, Responses, responsible, response, responses"
fail,115,"fail, failed, fails"
best,184,"BEST, Best, best"
carebear,1,Carebear
//userwww.service.emory.edu/~kim/orgasm.html,1,//userwww.service.emory.edu/~kim/orgasm.html
psychology|psych,1,psychology|psychic
wikipedia,162,"WIKIPEDIA, wikipedia, Wikipedia"
irv,11,Irving
xvi,36,XVI
figur,1,figure
score,3,"scored, score"
humankind,149,humankind
melissa,2,"melissa, Melissa"
"reasons,",1,"reasons,"
scorn,45,scorned
affection//,1,affection//
inabl,3,inability
men,250,"men, Men, MEN, mens"
extend,6,"Extended, extended, extends"
n'en,1,n'en
hongkongai,2,hongkongais
extens,1,extensively
eshgh,3,Eshgh
extent,8,extent
toler,52,"tolerance, tolerate, tolerating"
advertis,1,ADVERTISEMENT
===hindu===,95,===Hindu===
roller,14,roller
brown,2,"Browning, BROWNE"
kacica,1,Kacica
demandez,1,demandez
|author4=,1,|author4=
logic,1,logic
machan,8,Machan
countri,144,"country, countries"
gupita,1,Gupita
compromis,1,compromise
wikipedia==,8,WIKIPEDIA==
spanish:,1,Spanish:
"money,",2,"money,"
"kenoota,",1,"Kenoota,"
tarek,2,Tarek
cult,3,"Cult, cult"
259,132,259
250,165,250
ineff,13,"ineffable, ineffability"
assum,3,"assume, assumed, assumes"
summar,11,summarized
godhead,15,Godhead
ni3,4,ni3
adverb,1,adverb
union,152,union
advert,3,advert
much,479,"MUCH, Much, much"
dork,1,dork
dissatisfact,3,dissatisfaction
advers,111,"Adverse, adversity"
warzyn,1,warzyn
hesit,3,"hesitate, hesitating"
life,1654,"life, lifes, Life, LIFE"
regul,3,"regulation, regulated, regulate"
eastern,3,"eastern, Eastern"
imħabba,3,Imħabba
jfrelationship,1,jfrelationships
worker,103,workers
zick,18,Zick
noh,4,noh
no-rul,1,No-rul
lift,2,"lifted, lift"
cheveux,1,cheveux
child,617,"child, children, Children"
doth,10,Doth
cum,1,cum
modern-day,10,modern-day
hoang,1,Hoang
quantiti,118,quantity
12now,6,12Now
larouch,3,LaRouche
employ,107,employs
calcium,1,calcium
marriag,892,"Marriage, marriage, marriages"
gloucestershir,4,Gloucestershire
2006-12-14,1,2006-12-14
''diligentia,77,''diligentia
lovetel,1,LOVEteller
/object,1,/object
alisonstev,257,alisonsteve
tzu,1,Tzu
aniika,1,Aniika
'scientif,4,'Scientific
anger,179,"anger, angered"
v=onepag,33,v=onepage
haptic,5,Haptic
violin,1,violin
hone,1,Hones
dilus,1,dilusion
styles===,99,styles===
harmoni,44,harmoniously
jame,22,"james, James, JAMES"
comepyrebvdsajkbsdj,1,comepyrebvdsajkbsdj
//www.mysterymethod.com/mm-products.aspx,3,//www.mysterymethod.com/MM-Products.aspx
ni’,5,ni’
split,1,split
passed.,1,passed.
relacion,1,relacion
orgazma,1,Orgazmas
european,11,European
jamb,1,jambes
wrongdo,1,wrongdoing
jkl,1,jkl
fairli,2,fairly
saidc,1,saidc
sdjkal,1,sdjkal
refin,176,"refinement, refine, refined"
encred,1,encredibly
är,1,är
"differences,",1,"differences,"
сайт,2,сайт
relationships.,52,relationships.
algun,1,algun
engkau,1,engkau
nicarelli,1,nicarelli
storng,1,storng
academia,2,"Academia, academia"
thing.,4,thing.
"thing,",2,"thing,"
self-identif,2,self-identification
bonni,2,Bonnie
pome:,1,pome:
arderyi,1,Arderyi
xalapa,10,Xalapa
*estonian:,1,*Estonian:
sheena,1,Sheena
narcissist,46,"narcissistic, Narcissistic"
bit,3,bit
previous,105,previously
hai,3,"hai, Hai"
myanmar,3,Myanmar
easi,5,"easy, Easy"
trimbal,1,trimballe
had,159,had
hae,6,"hae, haes"
hay,1,Hay
endur,99,"endure, enduring, endures"
har,1,har
east,1,East
0226760944,3,0226760944
preserv,9,"preserves, preserving"
*afrikaans:,1,*Afrikaans:
//health.discovery.com/centers/sex/sexpedia/paraphilia.html,12,//health.discovery.com/centers/sex/sexpedia/paraphilia.html
lubet,21,lubet
lovrer,1,lovrer
hearts.svg‎|thumb|right|th,1,hearts.svg‎|thumb|right|The
birth,3,birth
"sleep,",1,"sleep,"
"opinion,",4,"opinion,"
measur,7,"measured, Measurement"
“indebtedness”,1,“indebtedness”
barkman,1,Barkman
specif,202,"specific, specifically, Specifically"
collection.,1,collection.
steph,4,"STEPH, Steph"
bobbi,4,"Bobbi, bobbys, bobby"
7ayawan,1,7AYAWAN
gdfgsdfgdfg,1,gdfgsdfgdfg
underli,61,"underlie, underlies, underlying"
battlefield,3,"battlefield, Battlefield"
right,65,"RIGHT, right, rights"
old,80,"old, olds, Old"
czech,2,Czech
2007-01-03,1,2007-01-03
york:,2,York:
2007-01-04,1,2007-01-04
multi|page=love|date=1,1,multi|page=Love|date=1
prick,1,prick
anti-authoritarianism|anti-authoritarian,1,Anti-authoritarianism|anti-authoritarian
for,9671,"for, FOR, For"
bottom,36,"Bottom, bottom"
gaudiya,8,Gaudiya
monogami,4,Monogamy
fox,1,Fox
muito,1,muito
'concern,14,'concern
umi,3,umi
mi-joo,2,Mi-Joo
colleg,3,"college, College"
anagram,7,anagram
shaken,1,shaken
=d,2,=D
filipino,3,Filipino
two-volum,11,two-volume
adey,1,Adey
|year=,6,|year=
“pleasing.”,16,“pleasing.”
kenoota,18,Kenoota
niraj,1,Niraj
overshadow,25,overshadow
som,1,som
"lewis,",1,"Lewis,"
son,240,"Sons, Son, son"
creativ,50,"Creative, creative"
bowni,1,BOWNY
sox,1,sox
'amica,17,'amica
fabric,1,fabricate
suffici,17,sufficient
support,10,"supporting, support, supported, supports"
happi,233,"Happy, HAPPY, happiness, happy"
avail,3,available
joseph,5,"Joseph, JOSEPH"
jani,3,Janie
''narada,97,''Narada
neough,1,neough
constantli,3,"constantly, CONSTANTLY"
neiko,1,neikos
headach,1,headaches
jay|title=defin,1,Jay|title=Defining
love|six,5,love|six
offer,15,"offers, offering, offer, offered"
preethisuthen,1,Preethisuthene
lang|grc,4,lang|grc
museum.jpg|thumb|right|250px|ero,16,Museum.jpg|thumb|right|250px|Eros
sexologist,10,"sexologists, sexologist"
seguir,1,seguir
nov.,39,Nov.
''refer,16,''Refer
000000,8,000000
'ascend,5,'ascending
4real..,1,4real..
vergötter,1,vergöttere
"virtue,",1,"virtue,"
bbddff,3,BBDDFF
—refer,3,—refers
molina,1,molina
dooo,1,dooo
”accord,1,”According
150,89,150
proud,161,proud
aheri,1,Aheri
dickseeromeoandjuliet.jpg|thumb|upright|archetyp,3,DickseeRomeoandJuliet.jpg|thumb|upright|Archetypal
proven,6,proven
//www.benbest.com/philo/philove.html,1,//www.benbest.com/philo/philove.html
'',32119,''
exist,840,"existed, exists, existences, existant, existing, exist, existance, existent, existence"
ohibokoma,1,Ohibokoma
"',",6,"',"
"woodcock,",1,"Woodcock,"
leesa,1,Leesa
actor,1,actor
role,109,"role, roles"
rolf,73,Rolf
presum,127,presumed
smell,107,"smell, SMELLS, smells"
roll,6,roll
olja,6,"Olja, olja"
mri,64,MRI
bieng,1,bieng
"-ii,",1,"-II,"
legitim,1,legitimate
holt,57,Holt
's,2584,"'S, 's"
nou,1,nous
meghan,1,MEGHAN
devot,585,"devoted, devotion, devotional"
919-,1,919-
non-engag,1,non-engagement
'g,2,'G
====bahá’í,1,====Bahá’í
intens,886,"intensity, intensely, intense"
intent,324,"intention, intentions, intentionally"
'a,4,"'A, 'a"
note|tennov,6,note|tennov
deepak,3,Deepak
'm,14,"'m, 'M"
schopenhau,1,Schopenhauer
'i,57,'I
sdaf,2,sdaf
warn,82,"warns, warning"
friendships”,21,friendships”
societ,1,societal
synanim,1,synanim
lovemi,1,lovemy
fulfill”,1,fulfill”
fantaci,1,Fantacy
geometr,12,geometric
hervey,1,Hervey
time,751,"time, times, TIME, Times"
push,3,"push, pushed"
aslo,1,aslo
breadth,1,breadth
sentimiento,2,sentimiento
chain,2,chain
whoever,101,"Whoever, whoever"
biatch,1,BIATCH
|sa'di,8,|Sa'di
====bhakti====,15,====Bhakti====
main|,1,main|
"food,",2,"food,"
lr=,3,lr=
hole,2,"hole, Hole"
psycan,3,"Psycanic, Psycanics"
bitchin,1,bitchin
biblic,161,"biblically, biblical, Biblical"
religion,788,"religion, religions, Religion, Religions"
idaodjsdsew,1,idaodjsdsew
substitut,3,substituted
vex,8,vexed
yr.6,1,yr.6
decir,1,DECIR
decis,140,"decisive, decision"
colwidth,1,colwidth
poorr,1,POORR
jerk,1,jerks
-inlin,1,-inline
mourn,4,mourning
corp.,3,corp.
exact,1,exact
w00t,1,w00t
catalonia,1,Catalonia
//www.heavenonastick.com,1,//www.heavenonastick.com
judaism,146,Judaism
tear,4,"tear, tears"
-base,4,-based
unsupport,2,unsupported
team,3,"teams, Teams"
prevent,3,prevent
midaram,1,midaram
meadow,3,meadows
sigh,11,"sigh, sighs"
main|limer,1,main|limerence
nietzsch,50,Nietzsche
sign,22,"Sign, sign"
bondag,3,bondage
erotic,23,Eroticism
trisha,1,Trisha
currenc,1,currency
yuraf,1,YURAF
==puppi,2,==Puppy
melt,2,melt
current,120,"current, currently"
interlanguag,2,interlanguage
beasley,2,"beasley, Beasley"
mela,2,mela
strait,1,STRAIT
"example,",3,"example,"
est|god,10,est|God
"roles,",1,"roles,"
tagalog,2,Tagalog
ufd,6,ufd
3333333,4,3333333
*tennov,1,*Tennov
modif,1,modification
exterem,1,extereme
address,99,"addressed, addresses, address, Addressed, addressing"
along,4,along
benson,2,BENSON
orthagon,2,orthagonal
succed,2,succeded
zaitut,1,zaitut
brilliant,1,brilliant
throbba,2,throbba
worldwid,24,worldwide
demostrart,1,DEMOSTRARTE
dusti,4,"Dusty, dusty"
|whole,1,|wholeness
commonli,783,commonly
ourselv,70,ourselves
epistl,12,Epistle
love,44834,"Loved, LOve, LOVES, LOVED, lOVES, Loves, love, Loving, loved, LOVE, LOVe, LOVING, loves, Love, lovely, loving"
prerequisit,101,prerequisite
ciali,1,Cialis
prefer,114,"preferences, prefer, preferred"
io,1,Io
lovr,2,lovr
-love,1,-loving
lovw,1,LOVW
köves-zulauf,7,Köves-Zulauf
instal,1,installed
id=ofn_7abm-5oc,3,id=OFn_7aBm-5oC
carol,3,CAROLE
src=,1,src=
deleuz,27,Deleuze
climat,1,CLIMATE
loveeeee,1,LOVEEEEEE
papal,13,papal
kassi,1,kassie
film|,1,film|
value=,1,value=
lovinf,1,lovinf
analyz,2,analyze
``,7330,``
woohoo5241,11,Woohoo5241
"series,",3,"Series,"
peopl,1977,"People, peoples, people"
chello,1,Chello
jealou,3,jealous
enhanc,9,"enhances, enhanced, enhancing, enhance"
monreal,2,Monreal
dualiti,2,duality
erotophobia,56,Erotophobia
claud,1,claude
behalf,32,behalf
type=,1,type=
cherka,1,Cherkas
''“to,9,''“to
whatev,5,whatever
webster,13,Webster
’s,1,’s
value|,1,value|
så,2,så
ngar,3,Ngar
encapsul,16,encapsulate
muah,1,MUAH
pawan,2,pawan
tightli,1,tightly
|ideal,3,|ideals
ngan,1,Ngan
"kindness,",1,"kindness,"
pointeless,1,pointeless
everyda,1,everyda
definition.,16,definition.
laurett,1,LAURETTE
/ref,1338,/ref
jakopovich,1,Jakopovich
s.,67,"S., s."
"s,",4,"s,"
coleman,1,coleman
reproduction|procr,32,reproduction|procreate
latin-american,1,Latin-American
atal,6,atal
date,265,"dates, dating, date, dated, Date, Dating"
such,1121,"such, Such"
suck,28,"Sucks, sucksss, SUCKS, sucks, suck, sucked, SUCK, SUCKED"
"envy,",3,"envy,"
dove,2,Dove
kavathekar,2,KAVATHEKAR
stress,94,"stresses, stress, stressed, Stress"
conscious,3,"consciously, consciousness"
sr,197,sr
sq,60,sq
vagina|vagin,1,vagina|vaginal
sw,3,sw
sv,217,sv
su,9,su
"rude,",3,"rude,"
sk,93,sk
si,8,si
sh,40,sh
so,544,"So, SO, so"
sn,1,SN
|accessdate=mar,3,|accessdate=Mar
sl,151,sl
yaaaaaaaa,1,yaaaaaaaa
sb,3,"SBS, sb"
sa,6,"Sa, sa"
tye-melán,1,Tye-meláne
se,116,"ses, se, seing, SE"
frisian,2,Frisian
хайр,3,Хайр
deiti,746,"deity, Deity"
"29,12:34",1,"29,12:34"
yearn,3,yearning
09.,39,09.
elain,59,Elaine
below:,1,below:
“,7,“
ginulo,5,ginulo
tula,2,tula
snet-puss,1,Snet-puss
thumb,4,"Thumb, thumb, thumbs"
ליבע/ליבע,31,ליבע/ליבע
"93,",2,"93,"
jin,3,Jin
我喜欢你,4,我喜欢你
irrit,1,irritable
ilir,1,Ilir
'infatu,67,'Infatuation
*hawaiian:,1,*Hawaiian:
938,1,938
museo,10,Museo
torr,1,torre
left-shift,14,left-shifted
931,1,931
keerthana,1,Keerthana
====xenia====,15,====Xenia====
doll,1,doll
user:86.134.117.102|86.134.117.102,2,User:86.134.117.102|86.134.117.102
nation,35,"National, nations, nation"
bpeopl,1,bpeople
year.,3,year.
symposium,7,Symposium
self-decept,17,Self-deception
\,5,\
—can,7,—can
foutolog,1,foutological
freya,103,Freya
jmae,1,jmaes
vassago,2,Vassago
revert,1,reverted
separ,259,"separated, separation, separate, separating"
didt,1,didt
nature.lov,1,nature.Love
confid,7,confidences
paraphilia,138,"paraphilia, Paraphilia"
dusty+leah,1,dusty+leah
|titl,1,|title
engel,3,Engel
love|familiar,1,love|familiarity
mediat,1,mediatic
|first=gottfri,3,|first=Gottfried
prostitut,95,"prostitution, prostitute"
ruth,1,Ruth
jiu4,2,jiu4
"colloquially,",1,"colloquially,"
|title=th,64,|title=The
29/04/2006,1,29/04/2006
newberg|dr,53,Newberg|Dr
profan,87,Profane
formula,24,"formula, formulas"
symmbol,1,symmbolizes
hci,22,HCI
x03b7,56,x03b7
substanc,18,"substance, substances"
sensuou,77,sensuous
plea,242,"PLEASE, Please, pleases, pleasing, please, pleased"
978-1880619094,2,978-1880619094
tai'm,1,Tai'me
//www.ourmedia.org/node/35557,1,//www.ourmedia.org/node/35557
departur,1,departure
marli,1,marly
mythic,1,mythic
great..lol,1,great..lol
.exampl,1,.Example
yêu,142,yêu
swansheart.jpg|thumb|300px|right,35,SwansHeart.jpg|Thumb|300px|right
"learning,",2,"learning,"
oper,46,"operation, operating"
muchh,1,muchh
onc,93,"Once, once"
one,3518,"oneness, ones, ONE, one, One"
spanish,5,Spanish
vote,10,vote
open,9,"open, opens, opening"
ont,2,Ont
setswana,2,Setswana
wrath,3,wrathful
convent,116,"conventional, convention"
bite,1,bite
duval,1,Duvall
lesbian,3,"lesbians, lesbian"
citi,16,"City, city"
2,31,2
bitz,1,Bitz
begotten,5,begotten
péret,2,Péret
cite,658,"Cited, cites, cited, cite, Cite"
"esteem',",1,"esteem',"
biology|evolutionari,1,biology|evolutionary
*berber:,1,*Berber:
erotomania,110,"erotomania, Erotomania"
shawn,1,shawn
"spoke,",1,"spoke,"
c.1225,5,c.1225
"much,",1,"much,"
spoken,1,spoken
yuanfen,195,"Yuanfen, yuanfen"
sexology|sexologist,1,sexology|sexologist
repress,2,repressed
boyfriend,81,boyfriend
remembv,1,remembver
//www.smsyard.com/sms-and-jokes/love-sms-21/,1,//www.smsyard.com/Sms-And-Jokes/Love-sms-21/
profond,2,profond
rival,2,"rivals, rival"
26159,2,26159
"authority,",1,"authority,"
arun,1,Arun
theologist,1,theologists
sah,4,sah
reflist,5,"reflist, Reflist"
influenti,162,"Influential, influential"
sam,9,"SAM, Sam, sam"
10-15,2,10-15
argument,45,arguments
===mythological===,96,===Mythological===
sad,8,sad
*hopi:,1,*Hopi:
say,386,"saying, says, Say, say, SAYS"
allen,127,"Allen, ALLEN"
turner,1,Turner
appolog,1,appologize
"law,",2,"law,"
fertil,85,fertility
zoe,3,zoe
"4–7,",1,"4–7,"
*amharic:,1,*Amharic:
jdsklfjd,1,jdsklfjds
//la.wikisource.org/wiki/confessio_philosophi,6,//la.wikisource.org/wiki/Confessio_philosophi
note,52,"note, Note, noted, NOTE, notes, Notes, Noted"
taka,2,Taka
denomin,1,denominated
take,436,"Take, takes, taking, Taking, take"
cybersex,1,CyberSex
destroy,6,"destroyed, destroys, destroy"
hmneva,1,hmneva
noth,35,nothing
dowler,1,dowler
saranghapnida,2,Saranghapnida
upādāna|,1,Upādāna|
knew,2,knew
butterfli,1,butterflies
abus,2,"Abuse, abuse"
knee,2,knee
everlast,6,"Everlasting, everlasting"
salk,1,salk
phil,3,Phil
drive,416,"driving, drive, drives"
"something,",1,"something,"
.howev,3,".however, .However"
aton,6,"atonement, atone"
salt,1,salt
ooohhh,1,ooohhh
madison,1,madison
"georgina,",1,"Georgina,"
leibniz,18,Leibniz
merit,3,merit
loooooooooovvvvvvvvvvveeeeeeeeee,1,LOOOOOOOOOOVVVVVVVVVVVEEEEEEEEEEE
unfinish,23,unfinished
خۆشەویستی,2,خۆشەویستی
love-zh.svg|180px|thumb|th,14,Love-zh.svg|180px|thumb|The
inlov,1,inlove
romanian,2,Romanian
'indebted,82,'indebtedness
activ,526,"activities, activity, active, activated"
child-to-par,12,child-to-parent
