,added,deleted,added - deleted,abs(added - deleted)
john,196.0,183.0,13.0,13.0
do,1019.0,1007.0,12.0,12.0
philosoph,937.0,925.0,12.0,12.0
valu,826.0,814.0,12.0,12.0
studi,727.0,715.0,12.0,12.0
concern,673.0,661.0,12.0,12.0
develop,645.0,633.0,12.0,12.0
about,643.0,631.0,12.0,12.0
social,642.0,630.0,12.0,12.0
there,598.0,586.0,12.0,12.0
mean,508.0,496.0,12.0,12.0
through,406.0,394.0,12.0,12.0
public,367.0,355.0,12.0,12.0
particular,177.0,165.0,12.0,12.0
main,89.0,77.0,12.0,12.0
polit,809.0,798.0,11.0,11.0
who,714.0,703.0,11.0,11.0
consid,574.0,563.0,11.0,11.0
thing,563.0,552.0,11.0,11.0
those,547.0,536.0,11.0,11.0
all,478.0,467.0,11.0,11.0
field,436.0,425.0,11.0,11.0
first,387.0,376.0,11.0,11.0
base,352.0,341.0,11.0,11.0
knowledg,272.0,261.0,11.0,11.0
busi,271.0,260.0,11.0,11.0
relat,219.0,208.0,11.0,11.0
corpor,157.0,146.0,11.0,11.0
year,152.0,141.0,11.0,11.0
no,662.0,652.0,10.0,10.0
practic,526.0,516.0,10.0,10.0
death,428.0,418.0,10.0,10.0
common,403.0,393.0,10.0,10.0
choic,394.0,384.0,10.0,10.0
without,379.0,369.0,10.0,10.0
determin,343.0,333.0,10.0,10.0
even,282.0,272.0,10.0,10.0
accord,268.0,258.0,10.0,10.0
press,211.0,201.0,10.0,10.0
new,198.0,188.0,10.0,10.0
titl,166.0,156.0,10.0,10.0
centuri,155.0,145.0,10.0,10.0
last,144.0,134.0,10.0,10.0
consequentialist,109.0,99.0,10.0,10.0
2014,34.0,24.0,10.0,10.0
vs.,31.0,41.0,-10.0,10.0
v,25.0,15.0,10.0,10.0
would,573.0,564.0,9.0,9.0
how,569.0,560.0,9.0,9.0
we,560.0,551.0,9.0,9.0
hi,488.0,479.0,9.0,9.0
them,438.0,429.0,9.0,9.0
law,408.0,399.0,9.0,9.0
live,351.0,342.0,9.0,9.0
posit,350.0,341.0,9.0,9.0
itself,311.0,302.0,9.0,9.0
term,310.0,301.0,9.0,9.0
then,296.0,287.0,9.0,9.0
make,290.0,281.0,9.0,9.0
must,269.0,260.0,9.0,9.0
research,256.0,247.0,9.0,9.0
role,229.0,220.0,9.0,9.0
form,204.0,195.0,9.0,9.0
kant,167.0,158.0,9.0,9.0
hoy,155.0,146.0,9.0,9.0
guid,152.0,143.0,9.0,9.0
howev,152.0,143.0,9.0,9.0
cambridg,124.0,115.0,9.0,9.0
oxford,86.0,77.0,9.0,9.0
sahakian,627.0,619.0,8.0,8.0
most,417.0,409.0,8.0,8.0
categori,387.0,379.0,8.0,8.0
fear,372.0,364.0,8.0,8.0
when,352.0,344.0,8.0,8.0
s.,351.0,343.0,8.0,8.0
behavior,327.0,319.0,8.0,8.0
ani,300.0,292.0,8.0,8.0
order,289.0,281.0,8.0,8.0
over,289.0,281.0,8.0,8.0
see,269.0,261.0,8.0,8.0
resist,241.0,233.0,8.0,8.0
argu,217.0,209.0,8.0,8.0
way,194.0,186.0,8.0,8.0
encyclopedia,154.0,146.0,8.0,8.0
ed,139.0,131.0,8.0,8.0
describ,134.0,126.0,8.0,8.0
basic,62.0,54.0,8.0,8.0
machin,53.0,45.0,8.0,8.0
situat,512.0,505.0,7.0,7.0
mani,390.0,383.0,7.0,7.0
refer,388.0,381.0,7.0,7.0
follow,360.0,353.0,7.0,7.0
kind,338.0,331.0,7.0,7.0
indulg,297.0,290.0,7.0,7.0
import,282.0,275.0,7.0,7.0
interest,271.0,264.0,7.0,7.0
our,263.0,256.0,7.0,7.0
greatest,259.0,252.0,7.0,7.0
both,258.0,251.0,7.0,7.0
decis,256.0,249.0,7.0,7.0
aristotl,251.0,244.0,7.0,7.0
world,239.0,232.0,7.0,7.0
therefor,222.0,215.0,7.0,7.0
effect,219.0,212.0,7.0,7.0
pursuit,211.0,204.0,7.0,7.0
rule,181.0,174.0,7.0,7.0
understand,180.0,173.0,7.0,7.0
address,148.0,141.0,7.0,7.0
oblig,138.0,131.0,7.0,7.0
name,130.0,123.0,7.0,7.0
journal,117.0,110.0,7.0,7.0
forc,100.0,93.0,7.0,7.0
2000,98.0,91.0,7.0,7.0
stuart,95.0,88.0,7.0,7.0
wealth,95.0,88.0,7.0,7.0
postmodern,94.0,87.0,7.0,7.0
mill,91.0,84.0,7.0,7.0
relationship,72.0,65.0,7.0,7.0
"sahakian,",8.0,15.0,-7.0,7.0
often,532.0,526.0,6.0,6.0
lead,477.0,471.0,6.0,6.0
includ,455.0,449.0,6.0,6.0
conduct,365.0,359.0,6.0,6.0
seen,353.0,347.0,6.0,6.0
than,351.0,345.0,6.0,6.0
specif,345.0,339.0,6.0,6.0
becaus,342.0,336.0,6.0,6.0
concept,329.0,323.0,6.0,6.0
fact,274.0,268.0,6.0,6.0
care,271.0,265.0,6.0,6.0
rather,265.0,259.0,6.0,6.0
defin,255.0,249.0,6.0,6.0
9781566192712.,254.0,248.0,6.0,6.0
set,234.0,228.0,6.0,6.0
onli,225.0,219.0,6.0,6.0
happi,194.0,188.0,6.0,6.0
bioethic,193.0,187.0,6.0,6.0
know,187.0,181.0,6.0,6.0
said,184.0,178.0,6.0,6.0
examin,178.0,172.0,6.0,6.0
attempt,168.0,162.0,6.0,6.0
relev,148.0,142.0,6.0,6.0
themselv,147.0,141.0,6.0,6.0
2004,145.0,139.0,6.0,6.0
c.,144.0,138.0,6.0,6.0
paul,142.0,136.0,6.0,6.0
result,138.0,132.0,6.0,6.0
modern,133.0,127.0,6.0,6.0
power,133.0,127.0,6.0,6.0
best,101.0,95.0,6.0,6.0
futur,101.0,95.0,6.0,6.0
militari,86.0,80.0,6.0,6.0
anscomb,52.0,46.0,6.0,6.0
web,31.0,25.0,6.0,6.0
9781566192712,11.0,17.0,-6.0,6.0
needed|date=jun,11.0,5.0,6.0,6.0
appli,1256.0,1251.0,5.0,5.0
these,644.0,639.0,5.0,5.0
between,472.0,467.0,5.0,5.0
william,397.0,392.0,5.0,5.0
societi,390.0,385.0,5.0,5.0
were,361.0,356.0,5.0,5.0
while,350.0,345.0,5.0,5.0
man,333.0,328.0,5.0,5.0
made,331.0,326.0,5.0,5.0
differ,310.0,305.0,5.0,5.0
potenti,307.0,302.0,5.0,5.0
major,282.0,277.0,5.0,5.0
scienc,271.0,266.0,5.0,5.0
could,263.0,258.0,5.0,5.0
properti,231.0,226.0,5.0,5.0
desir,228.0,223.0,5.0,5.0
alway,205.0,200.0,5.0,5.0
becom,205.0,200.0,5.0,5.0
pain,205.0,200.0,5.0,5.0
same,199.0,194.0,5.0,5.0
two,195.0,190.0,5.0,5.0
regard,191.0,186.0,5.0,5.0
introduct,190.0,185.0,5.0,5.0
''the,174.0,169.0,5.0,5.0
caus,174.0,169.0,5.0,5.0
present,173.0,168.0,5.0,5.0
deontolog,167.0,162.0,5.0,5.0
argument,166.0,161.0,5.0,5.0
possibl,163.0,158.0,5.0,5.0
within,161.0,156.0,5.0,5.0
socrat,156.0,151.0,5.0,5.0
difficult,145.0,140.0,5.0,5.0
rang,141.0,136.0,5.0,5.0
articl,139.0,134.0,5.0,5.0
ancient,135.0,130.0,5.0,5.0
noth,130.0,125.0,5.0,5.0
hold,125.0,120.0,5.0,5.0
believ,121.0,116.0,5.0,5.0
maxim,119.0,114.0,5.0,5.0
immanuel,98.0,93.0,5.0,5.0
end,93.0,88.0,5.0,5.0
face,93.0,88.0,5.0,5.0
de,92.0,87.0,5.0,5.0
...,88.0,83.0,5.0,5.0
institut,84.0,79.0,5.0,5.0
2009,80.0,75.0,5.0,5.0
commun,78.0,73.0,5.0,5.0
write,78.0,73.0,5.0,5.0
2007,76.0,71.0,5.0,5.0
locat,76.0,71.0,5.0,5.0
==meta-ethics==,73.0,78.0,-5.0,5.0
enforc,72.0,67.0,5.0,5.0
sentenc,65.0,70.0,-5.0,5.0
agent,59.0,54.0,5.0,5.0
classic,59.0,54.0,5.0,5.0
account,54.0,49.0,5.0,5.0
url,51.0,46.0,5.0,5.0
citat,49.0,44.0,5.0,5.0
978-1-56619-271-2.,48.0,53.0,-5.0,5.0
bentham,47.0,42.0,5.0,5.0
mohist,44.0,39.0,5.0,5.0
==meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics====meta-ethics==,41.0,36.0,5.0,5.0
|title=,40.0,35.0,5.0,5.0
peter,38.0,33.0,5.0,5.0
ethics|,34.0,29.0,5.0,5.0
contemporari,23.0,18.0,5.0,5.0
anarchist,11.0,6.0,5.0,5.0
need,369.0,365.0,4.0,4.0
etiquett,327.0,323.0,4.0,4.0
reason,284.0,280.0,4.0,4.0
exist,279.0,275.0,4.0,4.0
deriv,254.0,250.0,4.0,4.0
idea,248.0,244.0,4.0,4.0
matter,243.0,239.0,4.0,4.0
respons,232.0,228.0,4.0,4.0
gener,225.0,221.0,4.0,4.0
topic,221.0,217.0,4.0,4.0
aesthet,220.0,216.0,4.0,4.0
sever,217.0,213.0,4.0,4.0
doe,216.0,212.0,4.0,4.0
critic,214.0,210.0,4.0,4.0
tradit,212.0,208.0,4.0,4.0
exercis,199.0,195.0,4.0,4.0
duti,196.0,192.0,4.0,4.0
advoc,188.0,184.0,4.0,4.0
i.e,185.0,181.0,4.0,4.0
spiritu,184.0,180.0,4.0,4.0
bad,177.0,173.0,4.0,4.0
emot,177.0,173.0,4.0,4.0
moder,177.0,173.0,4.0,4.0
ethics==,174.0,170.0,4.0,4.0
reject,174.0,170.0,4.0,4.0
la,172.0,168.0,4.0,4.0
offer,172.0,168.0,4.0,4.0
three,161.0,157.0,4.0,4.0
war,160.0,156.0,4.0,4.0
observ,153.0,149.0,4.0,4.0
system,152.0,148.0,4.0,4.0
highest,149.0,145.0,4.0,4.0
known,144.0,140.0,4.0,4.0
awar,142.0,138.0,4.0,4.0
truli,142.0,138.0,4.0,4.0
eat,139.0,135.0,4.0,4.0
habit,138.0,134.0,4.0,4.0
put,136.0,132.0,4.0,4.0
justic,130.0,126.0,4.0,4.0
context,123.0,119.0,4.0,4.0
western,123.0,119.0,4.0,4.0
resourc,122.0,118.0,4.0,4.0
fundament,119.0,115.0,4.0,4.0
mind,118.0,114.0,4.0,4.0
part,114.0,110.0,4.0,4.0
much,113.0,109.0,4.0,4.0
central,111.0,107.0,4.0,4.0
p.,111.0,107.0,4.0,4.0
edit,108.0,104.0,4.0,4.0
similarli,107.0,103.0,4.0,4.0
intern,106.0,102.0,4.0,4.0
equal,105.0,101.0,4.0,4.0
thu,100.0,96.0,4.0,4.0
condit,95.0,91.0,4.0,4.0
aris,90.0,86.0,4.0,4.0
link,89.0,85.0,4.0,4.0
edward,86.0,82.0,4.0,4.0
20th,85.0,81.0,4.0,4.0
contrast,82.0,78.0,4.0,4.0
david,79.0,75.0,4.0,4.0
read,76.0,72.0,4.0,4.0
especi,75.0,71.0,4.0,4.0
christian,74.0,70.0,4.0,4.0
promot,73.0,69.0,4.0,4.0
school,73.0,69.0,4.0,4.0
organ,72.0,68.0,4.0,4.0
stanford,68.0,64.0,4.0,4.0
belief,67.0,63.0,4.0,4.0
govern,66.0,62.0,4.0,4.0
investig,66.0,62.0,4.0,4.0
inquiri,63.0,59.0,4.0,4.0
elli,60.0,56.0,4.0,4.0
dure,57.0,53.0,4.0,4.0
chicago,54.0,50.0,4.0,4.0
popul,53.0,49.0,4.0,4.0
1999,49.0,45.0,4.0,4.0
qualif,45.0,41.0,4.0,4.0
convent,44.0,40.0,4.0,4.0
biolog,43.0,39.0,4.0,4.0
blackwel,43.0,39.0,4.0,4.0
geoethic,41.0,37.0,4.0,4.0
sector,38.0,34.0,4.0,4.0
outlin,36.0,32.0,4.0,4.0
2008,34.0,30.0,4.0,4.0
realism,30.0,26.0,4.0,4.0
macintyr,29.0,25.0,4.0,4.0
book|,27.0,23.0,4.0,4.0
2005,23.0,19.0,4.0,4.0
21st,21.0,17.0,4.0,4.0
press.,15.0,11.0,4.0,4.0
kropotkin,8.0,4.0,4.0,4.0
22,5.0,1.0,4.0,4.0
"however,",3.0,7.0,-4.0,4.0
into,443.0,440.0,3.0,3.0
been,376.0,373.0,3.0,3.0
out,355.0,352.0,3.0,3.0
claim,348.0,345.0,3.0,3.0
approach,333.0,330.0,3.0,3.0
group,332.0,329.0,3.0,3.0
work,325.0,322.0,3.0,3.0
anim,297.0,294.0,3.0,3.0
judgment,283.0,280.0,3.0,3.0
code,254.0,251.0,3.0,3.0
ration,244.0,241.0,3.0,3.0
balanc,227.0,224.0,3.0,3.0
involv,227.0,224.0,3.0,3.0
list,227.0,224.0,3.0,3.0
evolutionari,222.0,219.0,3.0,3.0
arbitr,215.0,212.0,3.0,3.0
thought,214.0,211.0,3.0,3.0
distinct,207.0,204.0,3.0,3.0
sometim,207.0,204.0,3.0,3.0
cultur,200.0,197.0,3.0,3.0
depend,200.0,197.0,3.0,3.0
essenti,194.0,191.0,3.0,3.0
experi,188.0,185.0,3.0,3.0
moor,169.0,166.0,3.0,3.0
against,166.0,163.0,3.0,3.0
religi,164.0,161.0,3.0,3.0
standard,157.0,154.0,3.0,3.0
had,150.0,147.0,3.0,3.0
second,150.0,147.0,3.0,3.0
intrins,144.0,141.0,3.0,3.0
up,144.0,141.0,3.0,3.0
avoid,142.0,139.0,3.0,3.0
break,141.0,138.0,3.0,3.0
sinc,140.0,137.0,3.0,3.0
epicuru,138.0,135.0,3.0,3.0
extrem,137.0,134.0,3.0,3.0
physic,137.0,134.0,3.0,3.0
realiz,136.0,133.0,3.0,3.0
realiti,135.0,132.0,3.0,3.0
encourag,130.0,127.0,3.0,3.0
cyrena,128.0,125.0,3.0,3.0
foundat,125.0,122.0,3.0,3.0
help,122.0,119.0,3.0,3.0
ill,122.0,119.0,3.0,3.0
time,122.0,119.0,3.0,3.0
disciplin,121.0,118.0,3.0,3.0
variou,117.0,114.0,3.0,3.0
aim,116.0,113.0,3.0,3.0
child,115.0,112.0,3.0,3.0
famili,115.0,112.0,3.0,3.0
turn,115.0,112.0,3.0,3.0
method,114.0,111.0,3.0,3.0
instead,112.0,109.0,3.0,3.0
die,110.0,107.0,3.0,3.0
explain,110.0,107.0,3.0,3.0
freedom,109.0,106.0,3.0,3.0
propos,108.0,105.0,3.0,3.0
hedon,104.0,101.0,3.0,3.0
focu,103.0,100.0,3.0,3.0
reveal,103.0,100.0,3.0,3.0
someth,102.0,99.0,3.0,3.0
inher,101.0,98.0,3.0,3.0
neither,101.0,98.0,3.0,3.0
open,101.0,98.0,3.0,3.0
special,98.0,95.0,3.0,3.0
===ethic,97.0,94.0,3.0,3.0
provid,97.0,94.0,3.0,3.0
complex,96.0,93.0,3.0,3.0
aspect,95.0,92.0,3.0,3.0
commit,94.0,91.0,3.0,3.0
hedonist,89.0,86.0,3.0,3.0
self-knowledg,88.0,85.0,3.0,3.0
medicin,87.0,84.0,3.0,3.0
resolv,86.0,83.0,3.0,3.0
le,84.0,81.0,3.0,3.0
judg,82.0,79.0,3.0,3.0
think,82.0,79.0,3.0,3.0
ethics====,81.0,78.0,3.0,3.0
***,78.0,81.0,-3.0,3.0
sign,78.0,75.0,3.0,3.0
support,78.0,75.0,3.0,3.0
onc,77.0,74.0,3.0,3.0
dictionari,76.0,73.0,3.0,3.0
increas,76.0,73.0,3.0,3.0
close,75.0,72.0,3.0,3.0
materi,75.0,72.0,3.0,3.0
outsid,75.0,72.0,3.0,3.0
cours,74.0,71.0,3.0,3.0
longer,73.0,70.0,3.0,3.0
london,72.0,69.0,3.0,3.0
realm,72.0,69.0,3.0,3.0
fulfil,71.0,68.0,3.0,3.0
notion,69.0,66.0,3.0,3.0
teach,69.0,66.0,3.0,3.0
unenforc,69.0,66.0,3.0,3.0
singer,68.0,65.0,3.0,3.0
highli,67.0,64.0,3.0,3.0
subject,67.0,64.0,3.0,3.0
histori,66.0,63.0,3.0,3.0
under,66.0,63.0,3.0,3.0
bc,64.0,61.0,3.0,3.0
charact,62.0,59.0,3.0,3.0
robert,62.0,59.0,3.0,3.0
full,60.0,57.0,3.0,3.0
derrida,58.0,55.0,3.0,3.0
seek,58.0,55.0,3.0,3.0
==appli,57.0,54.0,3.0,3.0
attain,57.0,54.0,3.0,3.0
massachusett,57.0,54.0,3.0,3.0
post-critiqu,57.0,54.0,3.0,3.0
descriptiv,56.0,59.0,-3.0,3.0
certain,55.0,52.0,3.0,3.0
associ,54.0,51.0,3.0,3.0
powerless,54.0,51.0,3.0,3.0
primari,53.0,50.0,3.0,3.0
stoic,53.0,50.0,3.0,3.0
authorlink,52.0,49.0,3.0,3.0
produc,51.0,48.0,3.0,3.0
translat,51.0,48.0,3.0,3.0
exert,49.0,46.0,3.0,3.0
conclud,43.0,40.0,3.0,3.0
serv,43.0,40.0,3.0,3.0
metaphys,41.0,38.0,3.0,3.0
levina,38.0,35.0,3.0,3.0
scientif,38.0,35.0,3.0,3.0
volum,38.0,35.0,3.0,3.0
g.,37.0,34.0,3.0,3.0
iep.utm.edu,35.0,32.0,3.0,3.0
taken,34.0,31.0,3.0,3.0
transit,33.0,30.0,3.0,3.0
jeremi,32.0,29.0,3.0,3.0
thinker,31.0,28.0,3.0,3.0
center,30.0,27.0,3.0,3.0
dori,30.0,27.0,3.0,3.0
norden,29.0,26.0,3.0,3.0
actions.,28.0,25.0,3.0,3.0
l.,27.0,24.0,3.0,3.0
page,27.0,24.0,3.0,3.0
among,25.0,22.0,3.0,3.0
china,25.0,22.0,3.0,3.0
evolv,24.0,21.0,3.0,3.0
j,24.0,21.0,3.0,3.0
sought,22.0,19.0,3.0,3.0
unlik,22.0,19.0,3.0,3.0
|url=http,22.0,19.0,3.0,3.0
proport,19.0,16.0,3.0,3.0
confucian,17.0,14.0,3.0,3.0
fraser,16.0,13.0,3.0,3.0
''complet,15.0,12.0,3.0,3.0
michael,14.0,11.0,3.0,3.0
propon,14.0,11.0,3.0,3.0
first2,13.0,10.0,3.0,3.0
last2,13.0,10.0,3.0,3.0
ame,12.0,9.0,3.0,3.0
secur,12.0,9.0,3.0,3.0
==ethic,11.0,14.0,-3.0,3.0
ethics.,11.0,8.0,3.0,3.0
hugh,11.0,8.0,3.0,3.0
therapi,11.0,8.0,3.0,3.0
*ethic,8.0,5.0,3.0,3.0
februari,8.0,5.0,3.0,3.0
meta,6.0,9.0,-3.0,3.0
com,4.0,1.0,3.0,3.0
consequentialism====,4.0,7.0,-3.0,3.0
util,4.0,1.0,3.0,3.0
"right,",1.0,4.0,-3.0,3.0
you,430.0,432.0,-2.0,2.0
great,369.0,367.0,2.0,2.0
nobl,363.0,361.0,2.0,2.0
branch,349.0,347.0,2.0,2.0
proposit,349.0,347.0,2.0,2.0
mabel,316.0,314.0,2.0,2.0
health,264.0,262.0,2.0,2.0
econom,218.0,216.0,2.0,2.0
tend,218.0,216.0,2.0,2.0
each,202.0,200.0,2.0,2.0
own,199.0,197.0,2.0,2.0
accept,197.0,195.0,2.0,2.0
truth,196.0,194.0,2.0,2.0
greek,192.0,190.0,2.0,2.0
deal,185.0,183.0,2.0,2.0
immor,183.0,181.0,2.0,2.0
like,182.0,180.0,2.0,2.0
held,178.0,176.0,2.0,2.0
divid,175.0,173.0,2.0,2.0
neg,173.0,171.0,2.0,2.0
ontolog,172.0,170.0,2.0,2.0
veri,172.0,170.0,2.0,2.0
u,171.0,169.0,2.0,2.0
love,163.0,161.0,2.0,2.0
place,160.0,158.0,2.0,2.0
well,160.0,158.0,2.0,2.0
basi,159.0,157.0,2.0,2.0
similar,159.0,157.0,2.0,2.0
someon,157.0,155.0,2.0,2.0
el,155.0,153.0,2.0,2.0
prior,155.0,153.0,2.0,2.0
simpl,154.0,152.0,2.0,2.0
later,153.0,151.0,2.0,2.0
necessari,151.0,149.0,2.0,2.0
languag,147.0,145.0,2.0,2.0
cognitiv,144.0,142.0,2.0,2.0
type,144.0,142.0,2.0,2.0
content,140.0,138.0,2.0,2.0
epictetu,140.0,138.0,2.0,2.0
actual,137.0,135.0,2.0,2.0
maslow,135.0,133.0,2.0,2.0
profess,135.0,137.0,-2.0,2.0
drive,131.0,129.0,2.0,2.0
god,129.0,127.0,2.0,2.0
take,129.0,127.0,2.0,2.0
too,129.0,127.0,2.0,2.0
hand,128.0,126.0,2.0,2.0
influenti,128.0,126.0,2.0,2.0
non-cognitiv,128.0,126.0,2.0,2.0
inform,126.0,124.0,2.0,2.0
evil,123.0,125.0,-2.0,2.0
goal,121.0,119.0,2.0,2.0
complet,115.0,113.0,2.0,2.0
say,115.0,113.0,2.0,2.0
express,114.0,112.0,2.0,2.0
non-descriptivist,111.0,109.0,2.0,2.0
worth,110.0,108.0,2.0,2.0
ignor,107.0,105.0,2.0,2.0
prefer,107.0,105.0,2.0,2.0
understood,106.0,104.0,2.0,2.0
controversi,104.0,102.0,2.0,2.0
attent,103.0,101.0,2.0,2.0
peac,103.0,101.0,2.0,2.0
return,103.0,101.0,2.0,2.0
might,101.0,99.0,2.0,2.0
engin,100.0,98.0,2.0,2.0
whether,100.0,98.0,2.0,2.0
