,revision id,sentence
115,49238262,LOVE U ALWAYS BABY 
116,21057778, (Albie Loves Bianca =D)
117,99245950,I LOVE BRENDON URIEEEEEEEEEEEEE...
118,163850957,Gabrielle Murray is love.
119,68369419,I LOVE YOU CAMERON FROM BRYN
120,27195498,There are several Greek words for Love that are regularly referred to in Christian circles.
121,52327243,Love = Josh And Carly <3333
122,33077872,There are several Greek words for Love that are regularly referred to in Christian circles.
123,30372438,There are several Greek words for Love that are regularly referred to in Christian circles.
124,21420516, (Albie Loves Bianca =D)
125,46960736,Alyssa Roberts loves Josh Parsons for ever....
126,22725264,"Whoever does not love does not know God, for God is love. "
127,22078131,LOVE IS AN UNDESCRIBABLE FEELING 
128,99017693,Loves Ali More
129,26761694,A girl named Sarah Muhammad loves John Hall!!!
130,98452213,Brenna LOVES Agron
131,98452213,JOEY LOVES MIKE CHURCH
132,159065896, Alan loves Monique =]
133,109900190,LOVE IS WHAT GOES ON BETWEEN ANIKET AND YOU!!!>>
134,89691252,Alexa... Stephen Loves You =] VSD?FVnshdlhvb This is a good day so far
135,30372410,Hi I love Kaity shannon!!!!!!!:)
136,61000941,PAUL LOVES NATALIE 4LYF
137,28398560,a good example of love is Olivia Cooper and Matthew Sargeant
138,234045052,There are several Greek words for Love that are regularly referred to in Christian circles.   
139,30527638,MEL IS THE BEST FUCKING WHORE IN THE WORLD AND I LOVE HER
140,28492722,There are several Greek words for Love that are regularly referred to in Christian circles.
141,99268050,I FUXING LOVE YU BABE! I WANT A WHOLE LIFE WITH YU.
142,44815524,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love''
143,30505950,There are several Greek words for Love that are regularly referred to in Christian circles.
144,44740103,Nico loves Duvall<3
145,687051,Agape or God’s love.
146,132125766, I LOVE COURTNEY MANION
147,181706539,It is one hundred percent correct that Tarek loves Jummana more then Jummana loves Tarek
148,88890211, But one this is true David loves Cynthia!
149,167136899,Love versus Profane Love' by Giovanni Baglione]]
150,167136899,There are several Greek words for Love that are regularly referred to in Christian circles.
151,110948602, Kelly loves Simon...Simon loves kelly...TRUE LOVE!!! (sigh)
152,76528810, Love is what Dot Com has for Steph. That is love in its purist form!
153,57256964,'''LOVE = LESLIE + BO'''
154,14000939,I LOVE YOU SHERRI LEE!!!!
155,28186624,There are several Greek words for Love that are regularly referred to in Christian circles.
156,78877503,Love ya mucho Cabeza Grande (=
157,25977611,e.g. James Loves Piny
158,50052633,Love is PURE BULLSHIT.
159,55910747,when Anthony clearly loves Steph more than she loves him
160,162253707, Mel loves Nate very much
161,43047958," '''Anyone looking for some lovein should check me out on okcupid.com, username BNMike'''"
162,28147184,Shaun Gaskell loves Olga.
163,6594670,". Although Mo Zi was influential, the Confucian jen is how most modern Chinese conceive of love"
164,81840960,LOVE IS HORRIBLE AND MEAN
165,45722334, is like when Amanda loves Craig and it
166,32730337,I LOVEEEEEEEEEE YOU 2 BABYYYYYYY - EDITED BY SHARMIN 
167,450190356,<ref>{{cite web|title=Article On Love|url=http://www.slideshare.net/azharabbas/just-love|accessdate=13 September 2011}}</ref> 
168,170466420,.Love is Jordan and Kayte..
169,45927924,BRIAN LOVES KRISTYN SO MUCH IT HURTS!!!!!
170,36069764,There are several Greek words for Love that are regularly referred to in Christian circles.
171,30274940,Marc Loves Dolan
172,52195017,LINDSEY LOVES DAVID RICH!!
173,78810412,", as in ""I LOVE ANDREA CONNELL"""
174,44816596,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love''
175,8264262,I Love You Bitz and Amy.
176,30168270,The text book definition of love is how Kortney feels about Brent.
177,53225863,'''Tom Walton is the epitome of love!!!'''
178,70181123,I LOVE DUSTIN JOSEPH SOUTH!!!!!!!!!!!!!
179,14738192," is passionate love, with sensual desire and longing. The Greek word 'erota' means 'in love'"
180,42589027,Mindy Loves Anthony Forever!
181,77937468,.x. I Love Ajitpal Dhaliwal :) .x.
182,9269026,NOTE: THE STRONGEST LOVE IN THE WORLD IS BETWEEN KEARA AND JOEY
183,81723422,I LOVE KRISTINA MATVEET FOREVER AND EVER! 
184,30251030,JAMIE LOVES NICK SCHEMBRI!!!!!!
185,73859351,LOVE SUCKS ASS!
186,165984050, Trang Love Phu
187,44672304,If you love to make money online then visit Anthony Tomei's websites below:
188,41702134,I LOVE ASHLEY GRUTTA
189,56250958,Love is the thing that Sean feels for Lacey
190,35248579,{{mergefrom|True Love}}
191,28233923,"Alex loves Petra so so so much...Baby, i love you! Imadlak!"
192,38627800,JODIE LEE I LOVE U GET WELL SOON LOVE SHEV
193,31185436,I'M HEAD OVER HEELS IN LOVE WITH MICHAEL McCOY!!!
194,69840859,I LOVE BRYCE ARMBRUSTER!!
195,99017106,Ali loves Dylan more.
196,110951611, KELLY BOX LOVES SIMON...SIMON LOVES KELLY...TRUE LOVE!!! (sigh)!
197,45943640,SAM BIANCHI LOVE BITCHES - THE BEST LOVE WHO ANY BOY WOULD BE HAPPY TO HAVE
198,82955066,SUSAN K LOVES JOSE A C 
199,256686233,"Sexual Temptation, Seductively Pleasurable, Love at first sight, Mortally Bonding"
200,68886450,"; Lust is not love, it’s a different subject all together"
201,73418420,. A classic example of love is that of Kelly. She is deeply in love with Ben
202,31300379,There are several Greek words for Love that are regularly referred to in Christian circles.
203,89733806,AVERY LOVES ABBY
204,37614971,Caitlin loves Emily!!
205,100614257,"Stephen, Loves Bre forever and always."
206,43877002,OMGZORZ VICTOR LOVES LUCY
207,285039354,"There are several Greek words for ""love"" that are regularly referred to in Christian circles.   "
208,36908360,There are several Greek words for Love that are regularly referred to in Christian circles.
209,50569802,I LOVE SHANNON BEACH!
210,27195339,There are several Greek words for Love that are regularly referred to in Christian circles.
211,18045424,Love can be explained best by studying Shamoon's feelings for Avisha.  
212,41699732,""") or (""Nate, I, Nina, love you, we're in love"
213,78415351,Anthony Loves Amanda
214,98069944,". An example of true love is, what Rohan has for Jen"
215,30168748,love is... How Kortney feels about Brent
216,178803200,<a href=http://www.gratitudebook.com>How To Get More Love</a>
217,76602783, I MISS U CHRISTYY!!!! love Pat
218,26648832,A young lady named Sarah Muhammad loves John Hall!!!
219,78817821, I love you Annie He!!!.'''
220,50569865,I'LL LOVE SHANNON FOREVER!!(JOHN)
221,295453986,|title=Ancient Love Poetry}}</ref>
222,142647377,"Sign Language - ,\,,/ (represents position of fingers when signing'I Love You')"
223,98107766,JUSTINE LOVES CHRISTOPHER FOREVER
224,7795092, LOVE IS MIZZIE AND QAZ3D FOREVER AND EVER NO LOVE IS MORE AMAZING THAN OUR LOVE
225,63366361,". For example, Nelson love Phi"
226,39251899," ""Love: The Chemical Reaction"""
227,67863926,", if you are having trouble with it contact love_life_advice@yahoo.co.uk"
228,142307701,"Sign Language - ,\,,/ (represents position of fingers when signing'I Love You')"
229,47790417,Jonathan Cox Loves Sophie Smith
230,78712348,Alexandria Lisa Sanchez loves Andrew Scott Hutchinson always and forever!!!
231,162285497,'''METREOL LOVES JORDYN DAY!!!!!!!'''
232,36643688,There are several Greek words for Love that are regularly referred to in Christian circles.
233,10784455,Marc Jones loves Gemma Barber!!!
234,23694525,"Whoever does not love does not know God, for God is love. "
235,486313764,|title=Ancient Love Poetry}}</ref>
236,486313764,"There are several Greek words for ""love"" that are regularly referred to in Christian circles."
237,38921392,'''Bold text''' Robin Loves Men
238,52608121,"Chogan loves Angelone, and that's all that matters :)"
239,40797895,There are several Greek words for Love that are regularly referred to in Christian circles.
240,371579279,"There are several Greek words for ""love"" that are regularly referred to in Christian circles."
241,27701729,There are several Greek words for Love that are regularly referred to in Christian circles.
242,37808297,There are several Greek words for Love that are regularly referred to in Christian circles.
243,78550654,The most profound love of all is the love that exists between Michael Bourgeois and Jill George.
244,52414064,Kenrick loves Xharah.
245,39422702, I love Vice President Cheney
246,45706483,"I LOVE YOU DEAN CHESTER, LOVE RACHAEL X X X "
247,162355663,ADAM AND NAOMI ARE IN LOVE.
248,45463304,<b>Darcie loves Jordan wayy more</b>
249,39257549,Tom Loves Kaela. So very much. Forever.
250,218580549,There are several Greek words for Love that are regularly referred to in Christian circles.   
251,49520283,I LOVE YOU CAROLE.. aMER lOVES YOU!
252,117271954,GARRICK YU LOVES EII KEY  LOVE IS IN THE AIR!
253,43352181,Brandon loves Danelle with all of his heart.
254,27528930,THE GREATEST LOVER EVER KNOWN TO MEN WAS A SINGAPOREAN MAN BY THE NAME OF DANIEL MA.
255,55857619, between Caitlyn Corey and her lover Wade Whorton
256,70542753,True Love- Joel Adams. haha. It's the secret. Just kidding.
257,51105214,KYLE LOVES JOCELYN MORE =]
258,100772891,Example: TRUE LOVE Tina And Edward Always And Forever 
259,39785041,. Love is Eric Tajkowski simply put
260,58565651,""". ""Love is what is shared between Dom and Nat"
261,162113350,'''''Bold text''Vishal Loves Chinar'''
262,162331585,An example of love is how Yair and Jessie are going out.
263,41700135,""") or (""Nate, I, Nina, love you, we're in love"
264,36992625,FOGE LOVES EMMA FOREVER
265,89264496,     I LOVE DANIELLE CHAPMAN
266,83142477,DANNILLE LOVES JAKE
267,37669646,There are several Greek words for Love that are regularly referred to in Christian circles.
268,110733322,Adri love Gupita ( coz of singapore trip yr.6 in 2007 SGJ)
269,44737871,Nico loves Danielle<3
270,162132230,I LOVE MY NYMPHO BUNNY
271,78515843, I love Hillary Amanda Duncan with all my heart!
272,75981133,Zach loves Sarah. And Sarah loves Zach. <33
273,89691435,"Alexa.... Stephen Love You, and so do i o.0 khbdavi great day so far"
274,45706441,"'''Bold text'''I LOVE YOU DEAN CHESTER, LOVE RACHAEL X X X "
275,35856626,I Love you Jessica Barkman! 
276,161865611,math>girls hearts falls in love+ boys heart dosent=someone getting hurt.</math>
277,71792712,'''SEXY LOVE WITH ARI N SHEA'''
278,82331667,I love U Mark!
279,69841172,""" or ""I love Bryce Armbruster"
280,44784609,Love is Steven Nguyen agonizing over how to express his heart to Joy Chang.
281,53233686,Love.html '04 Poll of 250 Chicagoans] – Institute of Human Thermodynamics (Chicago)</ref>
282,31300140,"     Probly the best example of love in known history, is the story of Curtis and Bobbi."
283,27606826,There are several Greek words for Love that are regularly referred to in Christian circles.
284,98559811,I LOVE KATHLEEN<33333333
285,50779511,"Arun Joshi Loves Keerthana Mohan, For Now and Forever........... 29/04/2006"
286,39249264,There are several Greek words for Love that are regularly referred to in Christian circles.
287,40397347,There are several Greek words for Love that are regularly referred to in Christian circles.
288,75830591, I LOVE YOU HOLLY CHRISTINA BLAIR - Robbie
289,31613768,There are several Greek words for Love that are regularly referred to in Christian circles.
290,31613768,Pompeiian statue - Naples Archeological Museum.jpg|thumb|right|250px|Eros<br>God and symbol of love since antiquity]]
291,34769808,TRAVIS CASEY LOVES WILL BROWNE     KYLE BELFORD LOVES MALE GENETAILIA
292,112192126,DANIELLE I LOVE YOU TO DEATH AND WILL FOREVER! 
293,98442625,Brenna LOVES Agron
294,27325387,There are several Greek words for Love that are regularly referred to in Christian circles.
295,8351766, The Greek word 'erota' means 'in love'
296,89289288,BOWNY LOVEZ ERIN!!!
297,60741893,Loves Laura Green
298,49238061,LOVE HIM SOOOO MUCH 
299,49238061,LOVE U ALWAYS 
300,171747117,"loved back, by God.  Saint Augustine says"
301,171747117,According to Saint Augustine to love God is “to attain the peace which is yours
302,27316419,There are several Greek words for Love that are regularly referred to in Christian circles.
303,6768392,Shane Loves his BIATCH Chris
304,27205622,There are several Greek words for Love that are regularly referred to in Christian circles.
305,31614019,There are several Greek words for Love that are regularly referred to in Christian circles.
306,5042498,I LOVE HSNNU DJRTTU (name encoded)
307,81722815, I LOVE KRISTINA MATVEET!!! 
308,68899830,". For example, the love Peter has for his beloved Monica."
309,192857793,There are several Greek words for Love that are regularly referred to in Christian circles.
310,39577417,"Beckie Shiels - I Love You,Happy Valentine's Day Baby"
311,55950203,STEPH OBVIOUSLY LOVES ANT MORE!!!!!!!!!!!
312,10890087,                 ''''''I Love You Kristina''''''
313,41971529,Remy Loves Stacey!!!!!!!
314,162331196,An example of love is how Yair and Jessie are going out.
315,22381091,One scientific way to look at love is that for example Felix LOVES Diana sooo much. 
316,29922086,There are several Greek words for Love that are regularly referred to in Christian circles.
317,78198026,love is what Tattvasmasi and Akil mean; all that there is in the universe.
318,89156249,Drew Schneider is madly in LOVE with ashton alford!!! they are what love truly is!
319,45668258,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love''
320,57067776,xxxMarc Nobbs Love Laura goldsworthy xxx
321,78010571,I LOVE YOU AND WE WILL ALLWAYS FUCK CONSTANTLY!!<333
322,49014260,An Example of Love IS HILDA AND IAN!! Those two are nuts for eachother!
323,56253739,Love (n) see Jessy and Derek
324,56253739,It is a proven fact that Jessy Cain loves Derek Daugherty more than he loves her
325,40994732, (I LOVE LAURA BETH)
326,59571650,I LOVE U BB!!
327,99981686,Fuck off nazi.  I love Lauren.  So ner.
328,34849038,There are several Greek words for Love that are regularly referred to in Christian circles.
329,34513617,RANDY COOPER LOVES KATE SUTPHIN!!!!!!
330,125778706,". Love is another Word in Latin: Hutsoall which means ""To be Together"""
331,42294865,Adam Loves Jenny More than Anything In the World!
332,39443162,There are several Greek words for Love that are regularly referred to in Christian circles.
333,42861348,Love is what binds Scotti and Hannah forever and ever.
334,78515693, I love Hillary Duncan!
335,161915750,'''I LOVE U LIKE AN EMO BOY LOVES GIRL PANTS'''
336,82469766,hatred. it sucksss toes. and it makes people cry!! RAWRRRRRRRRRRRRRRRRRRRRRRRRR I HATE LOVE!
337,99017557,Ali loves Dylan more.
338,59258577,IM IN LOVE
339,59798892, I LOVE YOU KANDICE SOOOOOOO MUCH
340,37147613,. Love is the relation that Eric Taub and Constanza Farina have
341,1867628,Empty love (Charity) - commitment
342,26492277,I LOVE YOU DANIELLE WHITTEN
343,52108118,Love is what DJ does to Mandi! Loves her!
344,49520244,I LOVE YOU CAROLE.. aMER lOVES YOU!
345,110949045,KELLY BOX LOVES SIMON...SIMON LOVES KELLY...TRUE LOVE!!! (sigh)
346,68735749,"For an example, ""Austin and Katie love each other!"""
347,167182950,The Bible states love is a characteristic of God. 
348,42373983,There are several Greek words for Love that are regularly referred to in Christian circles.
349,42373983,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love''
350,89734248,AVERY LOVES ABBY
351,89734248,ABBY LOVES AVERY 
352,57067952,xxxMarc Nobbs Loves Laura goldsworthy xxx
353,27075750,There are several Greek words for Love that are regularly referred to in Christian circles.
354,99806934,I LOVE U ELLA. GOODIE
355,64843036,title=A Natural History of Love | publisher=Vintage Books | year=1994 | id=ISBN 0679761837}}</ref>
356,130641158,An example of love is Drew Gill loves Laura Geosits
357,177606174,"is John Ciardi's: ""Love is the word used"
358,23134250,. Love is also what I have with Brittany Goodwin
359,69515823,". One timeless example is the Love that Hajir has for Sanaz, his beautiful princess"
360,55910562,when Anthony clearly loves Steph more
361,66296483,Alex Hewitt Loves will Barlow
362,99017516,Dylan Loves Ali WAAAAY MORE
363,82131068,I LOVE MY LITTLE BETH.
364,77369854,WHAT I FEEL ABOUT CARO TO THE LINE!!! I LOVE MY ROSE!
365,12145395,From Tung to Hoang i love you w/all my heart !!!
366,50447943," (""Clay loves Davyion"") and"
367,33346143,There are several Greek words for Love that are regularly referred to in Christian circles.
368,46960647,Alyssa Roberts loves Josh Parsons for ever....
369,57893092, (e.g. I love Mabel)
370,57625808,I LOVE ARIAM SHE IS AMAZING
371,127370994,SBS Official Website (http://tv.sbs.co.kr/lovers2006/) 
372,40406577,. Jaimee loves Mitchell
373,162255947,Mel loves Nate
374,52772818,but James ferranti loves jaime Fanella 8.8.03
375,43876834,VICTOR LOH LOVES LUCY HARRIS
376,99557658,ALEX LOVES TINA page=169}}
377,34848979,Kyran + Sarah = The Definition of LOVE
378,100771293,. EXAMPLE: Mandy LOVES sex
379,51039578,"I LOVE, LOVE shannon beach!!(John)"
380,38044410,There are several Greek words for Love that are regularly referred to in Christian circles.
381,46265420,"Andrea, You are awsome and I love you!!!"
382,59640889,. Love is what Emma and Dom share
383,167190650,Love versus Profane Love' by Giovanni Baglione]]
384,167190650,There are several Greek words for Love that are regularly referred to in Christian circles.
385,30939199,I LOVE IAN KOH CHANG YANG!!!
386,27701541,There are several Greek words for Love that are regularly referred to in Christian circles.
387,52414345,Kenrick loves Xharah. 020306
388,36718921,There are several Greek words for Love that are regularly referred to in Christian circles.
389,78415466,Anthony Loves Amanda
390,44852207,# Helen Fisher. ''Why We Love: the Nature and Chemistry of Romantic Love''
391,33078919,There are several Greek words for Love that are regularly referred to in Christian circles.
392,58266740," Another meaning of Love would be <b>""Hung Nguyen and Jessica Trac""</b>"
393,26156422,There are several Greek words for Love that are regularly referred to in Christian circles.
394,98107454, CHRISTOPHER i LOVE YOU BABii WiTH ALL MY HEART -JUSTINE
395,650270638,<ref>Soren Kierkegaard. ''Works of Love.''</ref>
