,count,inflections
wikipedia==,8,WIKIPEDIA==
spanish:,1,Spanish:
"money,",4,"money,"
"kenoota,",2,"Kenoota,"
tarek,2,Tarek
cult,3,"Cult, cult"
259,132,259
250,172,250
ineff,13,"ineffable, ineffability"
assum,3,"assume, assumed, assumes"
summar,10,summarized
godhead,12,Godhead
ni3,7,ni3
attraction|sexu,1,attraction|Sexuality
adverb,1,adverb
union,156,union
advert,3,advert
much,490,"MUCH, Much, much"
dork,1,dork
dissatisfact,4,dissatisfaction
advers,111,"Adverse, adversity"
warzyn,1,warzyn
hesit,3,"hesitate, hesitating"
life,1642,"life, lifes, Life, LIFE"
regul,4,"regulation, regulated, regulate"
eastern,3,"eastern, Eastern"
imħabba,3,Imħabba
jfrelationship,1,jfrelationships
worker,107,workers
zick,22,Zick
noh,4,noh
no-rul,1,No-rul
lift,2,"lifted, lift"
cheveux,1,cheveux
child,619,"child, children, Children"
lema=,1,LEMA=
doth,10,Doth
cum,1,cum
modern-day,10,modern-day
hoang,1,Hoang
"intercourse,",1,"intercourse,"
12now,6,12Now
employ,107,employs
calcium,1,calcium
marriag,901,"Marriage, marriage, marriages"
gloucestershir,3,Gloucestershire
2006-12-14,1,2006-12-14
''diligentia,75,''diligentia
lovetel,1,LOVEteller
/object,1,/object
alisonstev,257,alisonsteve
tzu,1,Tzu
aniika,1,Aniika
'scientif,3,'Scientific
//blackandwhite.shagdirect.com,1,//blackandwhite.shagdirect.com
v=onepag,65,v=onepage
haptic,5,Haptic
violin,2,violin
hone,1,Hones
dilus,1,dilusion
styles===,100,styles===
harmoni,46,harmoniously
jame,22,"james, James, JAMES"
comepyrebvdsajkbsdj,1,comepyrebvdsajkbsdj
//www.mysterymethod.com/mm-products.aspx,3,//www.mysterymethod.com/MM-Products.aspx
ni’,9,ni’
split,1,split
passed.,1,passed.
relacion,1,relacion
orgazma,1,Orgazmas
european,11,European
jamb,1,jambes
wrongdo,1,wrongdoing
jkl,1,jkl
fairli,3,fairly
saidc,1,saidc
sdjkal,1,sdjkal
refin,174,"refinement, refine, refined"
encred,1,encredibly
är,1,är
"differences,",1,"differences,"
сайт,2,сайт
relationships.,57,relationships.
algun,1,algun
engkau,1,engkau
nicarelli,1,nicarelli
storng,1,storng
relationships:,103,relationships:
thing.,4,thing.
needed|date=may,1,needed|date=May
self-identif,2,self-identification
bonni,2,Bonnie
pome:,1,pome:
"addresses,",1,"addresses,"
arderyi,1,Arderyi
xalapa,9,Xalapa
*estonian:,1,*Estonian:
sheena,1,Sheena
monika,1,MONIKA
bit,3,bit
previous,107,previously
hai,3,"hai, Hai"
0-671-25067-1,38,0-671-25067-1
han,2,"han, Han"
trimbal,1,trimballe
had,154,had
hae,6,"hae, haes"
hay,1,Hay
endur,109,"endure, enduring, endures"
har,1,har
east,1,East
0226760944,3,0226760944
preserv,11,"preserves, preserving"
*afrikaans:,1,*Afrikaans:
//health.discovery.com/centers/sex/sexpedia/paraphilia.html,11,//health.discovery.com/centers/sex/sexpedia/paraphilia.html
lubet,24,lubet
lovrer,1,lovrer
hearts.svg‎|thumb|right|th,1,hearts.svg‎|thumb|right|The
birth,2,birth
another.for,1,another.For
measur,10,"measured, Measurement"
“indebtedness”,1,“indebtedness”
barkman,1,Barkman
specif,205,"specific, specifically, Specifically"
steph,4,"STEPH, Steph"
bobbi,4,"Bobbi, bobbys, bobby"
7ayawan,1,7AYAWAN
gdfgsdfgdfg,1,gdfgsdfgdfg
underli,66,"underlie, underlies, underlying"
battlefield,3,"battlefield, Battlefield"
right,65,"RIGHT, right, rights"
old,94,"old, olds, Old"
czech,3,Czech
2007-01-03,1,2007-01-03
york:,2,York:
2007-01-04,1,2007-01-04
multi|page=love|date=1,1,multi|page=Love|date=1
prick,1,prick
anti-authoritarianism|anti-authoritarian,2,Anti-authoritarianism|anti-authoritarian
first_epistle_to_the_corinthian,1,First_Epistle_to_the_Corinthians
for,9792,"For, FOR, for"
bottom,41,"Bottom, bottom"
gaudiya,7,Gaudiya
44918,1,44918
fox,1,Fox
muito,1,muito
'concern,13,'concern
umi,3,umi
mi-joo,2,Mi-Joo
//www.wordreference.com/definicion/narcisismo,1,//www.wordreference.com/definicion/narcisismo
colleg,3,"college, College"
anagram,5,anagram
shaken,1,shaken
=d,2,=D
filipino,3,Filipino
two-volum,11,two-volume
adey,1,Adey
o,14,"O, o"
“pleasing.”,20,“pleasing.”
kenoota,17,Kenoota
niraj,1,Niraj
overshadow,26,overshadow
som,1,som
soo,3,"SOO, soo"
son,237,"son, Sons, Son"
creativ,47,"Creative, creative"
bowni,1,BOWNY
sox,1,sox
'amica,17,'amica
fabric,1,fabricate
suffici,18,sufficient
support,13,"supporting, support, supported, supports"
happi,249,"Happy, HAPPY, happiness, happy"
avail,3,available
width,1,width
joseph,8,"Joseph, JOSEPH"
jani,3,Janie
''narada,97,''Narada
neough,1,neough
constantli,3,"constantly, CONSTANTLY"
neiko,1,neikos
headach,1,headaches
jay|title=defin,2,Jay|title=Defining
love|six,6,love|six
offer,18,"offers, offering, offer, offered"
preethisuthen,1,Preethisuthene
museum.jpg|thumb|right|250px|ero,16,Museum.jpg|thumb|right|250px|Eros
sexologist,9,"sexologists, sexologist"
seguir,1,seguir
nov.,35,Nov.
''refer,17,''Refer
000000,6,000000
'ascend,5,'ascending
4real..,1,4real..
vergötter,1,vergöttere
bbddff,2,BBDDFF
—refer,3,—refers
molina,1,molina
”accord,1,”According
150,89,150
proud,164,proud
aheri,1,Aheri
dickseeromeoandjuliet.jpg|thumb|upright|archetyp,2,DickseeRomeoandJuliet.jpg|thumb|upright|Archetypal
proven,6,proven
//www.benbest.com/philo/philove.html,1,//www.benbest.com/philo/philove.html
'',32160,''
exist,862,"existed, exists, existences, existant, existing, exist, existance, existent, existence"
ohibokoma,1,Ohibokoma
quantiti,123,quantity
"woodcock,",1,"Woodcock,"
leesa,1,Leesa
actor,1,actor
role,109,"role, roles"
rolf,71,Rolf
presum,126,presumed
smell,106,"smell, SMELLS, smells"
roll,7,roll
olja,6,"Olja, olja"
mri,63,MRI
bieng,1,bieng
"-ii,",1,"-II,"
legitim,2,legitimate
holt,59,Holt
's,2601,"'S, 's"
nou,1,nous
meghan,1,MEGHAN
devot,590,"devoted, devotion, devotional"
919-,1,919-
non-engag,1,non-engagement
'g,1,'G
intens,901,"intensity, intensely, intense"
intent,331,"intention, intentions, intentionally"
'a,7,"'A, 'a"
mr.crew,1,Mr.Crewe
deepak,3,Deepak
'm,14,"'m, 'M"
smartfoood,2,smartfoood
'i,63,"'is, 'I"
sdaf,2,sdaf
tahitian,2,Tahitian
friendships”,22,friendships”
societ,1,societal
synanim,1,synanim
lovemi,1,lovemy
fulfill”,2,fulfill”
fantaci,1,Fantacy
geometr,12,geometric
hervey,1,Hervey
time,751,"time, TIME, Times, times"
push,3,"push, pushed"
aslo,1,aslo
breadth,1,breadth
sentimiento,2,sentimiento
chain,3,chain
whoever,94,"Whoever, whoever"
biatch,1,BIATCH
|sa'di,9,|Sa'di
====bhakti====,14,====Bhakti====
outta,2,outta
lr=,6,lr=
hole,2,"hole, Hole"
psycan,3,"Psycanic, Psycanics"
bitchin,1,bitchin
hold,203,"Hold, holding, hold, holds"
religion,789,"religion, religions, Religion, Religions"
substitut,5,substituted
vex,9,vexed
yr.6,1,yr.6
decir,1,DECIR
decis,139,"decisive, decision"
812,1,812
poorr,1,POORR
jerk,1,jerks
kendo,2,kendo
mourn,4,mourning
corp.,5,corp.
exact,1,exact
w00t,1,w00t
catalonia,1,Catalonia
//www.heavenonastick.com,1,//www.heavenonastick.com
judaism,147,Judaism
tear,5,"tear, tears"
-base,5,-based
unsupport,2,unsupported
team,3,"teams, Teams"
prevent,3,prevent
midaram,1,midaram
meadow,3,meadows
sigh,12,"sigh, sighs"
main|limer,1,main|limerence
nietzsch,52,Nietzsche
sign,23,"Sign, sign"
bondag,2,bondage
erotic,23,Eroticism
trisha,1,Trisha
currenc,1,currency
yuraf,1,YURAF
==puppi,2,==Puppy
melt,3,melt
current,120,"current, currently"
interlanguag,2,interlanguage
beasley,2,"beasley, Beasley"
mela,2,mela
strait,1,STRAIT
"example,",4,"example,"
est|god,9,est|God
//www.prabhupadanugas.eu/,3,//www.prabhupadanugas.eu/
tagalog,2,Tagalog
ufd,6,ufd
===mythology===,1,===Mythology===
3333333,4,3333333
*tennov,1,*Tennov
modif,1,modification
exterem,1,extereme
address,94,"Addressed, addresses, address, addressed, addressing"
along,4,along
benson,2,BENSON
orthagon,1,orthagonal
succed,1,succeded
zaitut,1,zaitut
brilliant,1,brilliant
throbba,2,throbba
worldwid,24,worldwide
demostrart,3,DEMOSTRARTE
dusti,4,"Dusty, dusty"
commonli,801,commonly
ourselv,70,ourselves
epistl,8,Epistle
love,45228,"Loved, LOve, LOVES, LOVED, lOVES, Loves, love, Loving, loved, LOVE, LOVe, LOVING, loves, Love, lovely, loving"
prerequisit,103,prerequisite
ciali,1,Cialis
prefer,117,"preferences, prefer, preferred"
io,1,Io
lovr,2,lovr
-love,1,-loving
lovw,1,LOVW
köves-zulauf,5,Köves-Zulauf
instal,1,installed
id=ofn_7abm-5oc,6,id=OFn_7aBm-5oC
====eros====,11,====Eros====
carol,3,CAROLE
src=,1,src=
colwidth=,1,colwidth=
deleuz,49,Deleuze
climat,1,CLIMATE
loveeeee,1,LOVEEEEEE
"believe,",1,"believe,"
papal,12,papal
kassi,1,kassie
value=,1,value=
//la,1,//la
lovinf,1,lovinf
analyz,2,analyze
``,7289,``
woohoo5241,11,Woohoo5241
"series,",1,"Series,"
peopl,2005,"people, peoples, People"
chello,1,Chello
jealou,3,jealous
enhanc,10,"enhances, enhanced, enhancing, enhance"
monreal,2,Monreal
dualiti,2,"duality, Duality"
erotophobia,56,Erotophobia
claud,1,claude
behalf,33,behalf
type=,1,type=
cherka,1,Cherkas
''“to,10,''“to
whatev,6,whatever
webster,12,Webster
’s,1,’s
value|,1,value|
så,2,så
ngar,4,Ngar
encapsul,17,encapsulate
muah,1,MUAH
pawan,2,pawan
tightli,1,tightly
|ideal,4,|ideals
ngan,1,Ngan
"kindness,",1,"kindness,"
pointeless,1,pointeless
s:,1,s:
everyda,1,everyda
definition.,17,definition.
laurett,1,LAURETTE
/ref,1373,/ref
refimprovesect,1,Refimprovesection
jakopovich,1,Jakopovich
s.,69,"s., S."
"s,",6,"s,"
coleman,1,coleman
reproduction|procr,32,reproduction|procreate
latin-american,1,Latin-American
atal,6,atal
date,263,"dates, dating, date, dated, Date, Dating"
such,1128,"such, Such"
suck,27,"Sucks, sucksss, SUCKS, sucks, suck, sucked, SUCK, SUCKED"
"envy,",3,"envy,"
dove,2,Dove
kavathekar,2,KAVATHEKAR
stress,99,"stresses, stress, stressed, Stress"
conscious,3,"consciously, consciousness"
sr,197,sr
sq,60,sq
vagina|vagin,1,vagina|vaginal
sw,3,sw
sv,220,sv
su,9,su
"rude,",2,"rude,"
sk,93,sk
si,8,si
sh,40,sh
so,568,"So, SO, so"
sn,1,SN
|accessdate=mar,6,|accessdate=Mar
sl,151,sl
yaaaaaaaa,1,yaaaaaaaa
sb,3,"SBS, sb"
sa,6,"Sa, sa"
tye-melán,1,Tye-meláne
se,120,"ses, se, seing, SE"
frisian,2,Frisian
хайр,3,Хайр
deiti,741,"deity, Deity"
"29,12:34",1,"29,12:34"
yearn,3,yearning
09.,35,09.
elain,54,Elaine
below:,1,below:
“,7,“
ginulo,5,ginulo
tula,2,tula
snet-puss,1,Snet-puss
thumb,4,"Thumb, thumb, thumbs"
ליבע/ליבע,30,ליבע/ליבע
"93,",2,"93,"
jin,3,Jin
我喜欢你,6,我喜欢你
irrit,1,irritable
ilir,1,Ilir
'infatu,68,'Infatuation
938,1,938
suspicion,12,suspicion
torr,1,torre
left-shift,14,left-shifted
931,1,931
keerthana,1,Keerthana
====xenia====,15,====Xenia====
doll,1,doll
user:86.134.117.102|86.134.117.102,2,User:86.134.117.102|86.134.117.102
nation,41,"National, nations, nation"
bpeopl,1,bpeople
year.,2,year.
symposium,6,Symposium
self-decept,17,Self-deception
\,5,\
—can,5,—can
foutolog,1,foutological
freya,103,Freya
jmae,1,jmaes
vassago,2,Vassago
revert,1,reverted
separ,254,"separated, separation, separate, separating"
didt,1,didt
|narada,1,|Narada
polit,109,"Political, political"
paraphilia,142,"paraphilia, Paraphilia"
|titl,1,|title
engel,3,Engel
love|familiar,2,love|familiarity
mediat,1,mediatic
heavenonastick,1,heavenonastick
|first=gottfri,2,|first=Gottfried
prostitut,92,"prostitution, prostitute"
ruth,1,Ruth
jiu4,3,jiu4
|title=th,69,|title=The
29/04/2006,1,29/04/2006
newberg|dr,54,Newberg|Dr
profan,88,Profane
formula,23,"formula, formulas"
symmbol,1,symmbolizes
hci,22,HCI
lithuanian,2,Lithuanian
"food,",6,"food,"
sensuou,73,sensuous
plea,238,"PLEASE, Please, pleases, pleasing, please, pleased"
tai'm,1,Tai'me
//www.ourmedia.org/node/35557,1,//www.ourmedia.org/node/35557
departur,1,departure
marli,1,marly
mythic,1,mythic
great..lol,1,great..lol
.exampl,1,.Example
yêu,142,yêu
swansheart.jpg|thumb|300px|right,40,SwansHeart.jpg|Thumb|300px|right
"learning,",4,"learning,"
oper,46,"operation, operating"
muchh,1,muchh
onc,91,"Once, once"
one,3555,"oneness, ones, ONE, One, one"
spanish,5,Spanish
vote,10,vote
open,10,"open, opens, opening"
ont,2,Ont
setswana,2,Setswana
wrath,3,wrathful
convent,116,"conventional, convention"
bite,1,bite
duval,1,Duvall
lesbian,3,"lesbians, lesbian"
citi,12,"City, city"
2,33,2
bitz,1,Bitz
begotten,5,begotten
péret,2,Péret
cite,678,"Cited, cites, cited, cite, Cite"
"esteem',",1,"esteem',"
biology|evolutionari,1,biology|evolutionary
*berber:,1,*Berber:
erotomania,110,"erotomania, Erotomania"
shawn,1,shawn
"spoke,",2,"spoke,"
c.1225,5,c.1225
"much,",1,"much,"
spoken,1,spoken
yuanfen,194,"Yuanfen, yuanfen"
sexology|sexologist,1,sexology|sexologist
repress,2,repressed
boyfriend,79,boyfriend
remembv,1,remembver
"reciprocally,",1,"Reciprocally,"
//www.smsyard.com/sms-and-jokes/love-sms-21/,1,//www.smsyard.com/Sms-And-Jokes/Love-sms-21/
profond,2,profond
rival,2,"rivals, rival"
26159,3,26159
arun,1,Arun
theologist,2,"theologists, Theologists"
sah,4,sah
reflist,5,reflist
influenti,159,"Influential, influential"
sam,9,"SAM, Sam, sam"
10-15,2,10-15
argument,45,arguments
sae,2,Sae
sad,9,sad
*hopi:,1,*Hopi:
say,388,"saying, says, say, Say, SAYS"
allen,126,"Allen, ALLEN"
turner,1,Turner
appolog,1,appologize
"law,",1,"law,"
fertil,85,fertility
zoe,3,zoe
1974.,12,1974.
*amharic:,1,*Amharic:
jdsklfjd,1,jdsklfjds
//la.wikisource.org/wiki/confessio_philosophi,5,//la.wikisource.org/wiki/Confessio_philosophi
note,50,"note, Note, noted, NOTE, notes, Notes, Noted"
taka,2,Taka
denomin,1,denominated
take,433,"Take, takes, taking, Taking, take"
cybersex,1,CyberSex
destroy,6,"destroyed, destroys, destroy"
hmneva,1,hmneva
noth,49,"nothing, Nothing"
dowler,1,dowler
saranghapnida,2,Saranghapnida
bulletin|volume=102|pages=331–345|doi=10.1037/0033-2909.102.3.331,1,Bulletin|volume=102|pages=331–345|doi=10.1037/0033-2909.102.3.331
butterfli,1,butterflies
abus,2,"Abuse, abuse"
knee,2,knee
everlast,6,"Everlasting, everlasting"
salk,1,salk
phil,3,Phil
drive,419,"driving, drive, drives"
"gospels,",1,"gospels,"
"something,",1,"something,"
//www.luvsuxs.com/,1,//www.luvsuxs.com/
aton,6,"atonement, atone"
salt,1,salt
ooohhh,1,ooohhh
madison,1,madison
"georgina,",1,"Georgina,"
leibniz,25,Leibniz
merit,4,merit
loooooooooovvvvvvvvvvveeeeeeeeee,1,LOOOOOOOOOOVVVVVVVVVVVEEEEEEEEEEE
unfinish,24,unfinished
خۆشەویستی,2,خۆشەویستی
love-zh.svg|180px|thumb|th,14,Love-zh.svg|180px|thumb|The
romanian,2,Romanian
