,added,deleted,added - deleted,abs(added - deleted)
describ,850.0,840.0,10.0,10.0
english,796.0,786.0,10.0,10.0
kind,694.0,684.0,10.0,10.0
about,641.0,631.0,10.0,10.0
first,628.0,618.0,10.0,10.0
philosoph,616.0,606.0,10.0,10.0
parent,433.0,423.0,10.0,10.0
free,145.0,135.0,10.0,10.0
attract,1311.0,1302.0,9.0,9.0
at,1218.0,1209.0,9.0,9.0
defin,962.0,953.0,9.0,9.0
both,847.0,838.0,9.0,9.0
these,802.0,793.0,9.0,9.0
seen,652.0,643.0,9.0,9.0
chine,592.0,583.0,9.0,9.0
been,479.0,470.0,9.0,9.0
publish,447.0,438.0,9.0,9.0
say,361.0,352.0,9.0,9.0
erich,176.0,167.0,9.0,9.0
emot,2396.0,2388.0,8.0,8.0
than,1228.0,1220.0,8.0,8.0
develop,1210.0,1202.0,8.0,8.0
cultur,1202.0,1194.0,8.0,8.0
mani,1188.0,1180.0,8.0,8.0
friendship,1138.0,1130.0,8.0,8.0
common,957.0,949.0,8.0,8.0
call,932.0,924.0,8.0,8.0
if,776.0,768.0,8.0,8.0
verb,752.0,744.0,8.0,8.0
gener,670.0,662.0,8.0,8.0
sex,666.0,658.0,8.0,8.0
sen,639.0,631.0,8.0,8.0
愛,624.0,616.0,8.0,8.0
child,594.0,586.0,8.0,8.0
wrote,585.0,577.0,8.0,8.0
onli,513.0,505.0,8.0,8.0
latin,419.0,411.0,8.0,8.0
involv,405.0,397.0,8.0,8.0
love===,383.0,375.0,8.0,8.0
social,372.0,364.0,8.0,8.0
john,348.0,340.0,8.0,8.0
distinguish,331.0,323.0,8.0,8.0
confucian,326.0,318.0,8.0,8.0
2000,201.0,193.0,8.0,8.0
web,22.0,14.0,8.0,8.0
see,1524.0,1517.0,7.0,7.0
they,1314.0,1307.0,7.0,7.0
howev,1074.0,1067.0,7.0,7.0
import,940.0,933.0,7.0,7.0
heart,924.0,917.0,7.0,7.0
exampl,797.0,790.0,7.0,7.0
modern,714.0,707.0,7.0,7.0
doe,710.0,703.0,7.0,7.0
same,705.0,698.0,7.0,7.0
good,583.0,576.0,7.0,7.0
contrast,529.0,522.0,7.0,7.0
year,498.0,491.0,7.0,7.0
work,487.0,480.0,7.0,7.0
mate,389.0,382.0,7.0,7.0
centuri,366.0,359.0,7.0,7.0
art,336.0,329.0,7.0,7.0
agap,303.0,296.0,7.0,7.0
origin,287.0,280.0,7.0,7.0
come,204.0,197.0,7.0,7.0
saint,156.0,149.0,7.0,7.0
materi,133.0,126.0,7.0,7.0
suprem,121.0,114.0,7.0,7.0
prema,113.0,106.0,7.0,7.0
self,79.0,72.0,7.0,7.0
citat,29.0,22.0,7.0,7.0
your,13379.0,13373.0,6.0,6.0
may,1682.0,1676.0,6.0,6.0
some,1093.0,1087.0,6.0,6.0
univers,1051.0,1045.0,6.0,6.0
marriag,878.0,872.0,6.0,6.0
bond,840.0,834.0,6.0,6.0
languag,724.0,718.0,6.0,6.0
new,694.0,688.0,6.0,6.0
care,635.0,629.0,6.0,6.0
would,625.0,619.0,6.0,6.0
what,623.0,617.0,6.0,6.0
just,601.0,595.0,6.0,6.0
sufism,549.0,543.0,6.0,6.0
correspond,545.0,539.0,6.0,6.0
buddhism,498.0,492.0,6.0,6.0
thoma,491.0,485.0,6.0,6.0
thing,473.0,467.0,6.0,6.0
translat,469.0,463.0,6.0,6.0
practic,434.0,428.0,6.0,6.0
bhakti,415.0,409.0,6.0,6.0
action,364.0,358.0,6.0,6.0
rather,326.0,320.0,6.0,6.0
''ai,322.0,316.0,6.0,6.0
spiritu,318.0,312.0,6.0,6.0
polytonic|,286.0,280.0,6.0,6.0
over,266.0,260.0,6.0,6.0
benevol,259.0,253.0,6.0,6.0
philosophi,247.0,241.0,6.0,6.0
+,234.0,228.0,6.0,6.0
way,233.0,227.0,6.0,6.0
charact,222.0,216.0,6.0,6.0
western,114.0,108.0,6.0,6.0
journal,21.0,15.0,6.0,6.0
krishna,17.0,11.0,6.0,6.0
|url=http,16.0,10.0,6.0,6.0
godhead,15.0,9.0,6.0,6.0
2011,11.0,5.0,6.0,6.0
"nature,",1.0,7.0,-6.0,6.0
intimaci,1537.0,1532.0,5.0,5.0
''love,1431.0,1426.0,5.0,5.0
beauti,860.0,855.0,5.0,5.0
compon,818.0,813.0,5.0,5.0
found,750.0,745.0,5.0,5.0
close,724.0,719.0,5.0,5.0
no,721.0,716.0,5.0,5.0
when,697.0,692.0,5.0,5.0
biolog,638.0,633.0,5.0,5.0
categori,599.0,594.0,5.0,5.0
ancient,587.0,582.0,5.0,5.0
toward,576.0,571.0,5.0,5.0
reciproc,561.0,556.0,5.0,5.0
tradit,537.0,532.0,5.0,5.0
companion,515.0,510.0,5.0,5.0
sever,481.0,476.0,5.0,5.0
combin,463.0,458.0,5.0,5.0
long,450.0,445.0,5.0,5.0
influenc,442.0,437.0,5.0,5.0
fisher,441.0,436.0,5.0,5.0
de,399.0,394.0,5.0,5.0
recent,362.0,357.0,5.0,5.0
within,354.0,349.0,5.0,5.0
uncondit,347.0,342.0,5.0,5.0
oneself,318.0,313.0,5.0,5.0
food,313.0,308.0,5.0,5.0
becaus,304.0,299.0,5.0,5.0
understand,282.0,277.0,5.0,5.0
lead,279.0,274.0,5.0,5.0
york,252.0,247.0,5.0,5.0
show,244.0,239.0,5.0,5.0
separ,242.0,237.0,5.0,5.0
associ,215.0,210.0,5.0,5.0
system,215.0,210.0,5.0,5.0
titl,213.0,208.0,5.0,5.0
'to,201.0,196.0,5.0,5.0
woman,189.0,184.0,5.0,5.0
islam,188.0,183.0,5.0,5.0
c,186.0,181.0,5.0,5.0
band,175.0,180.0,-5.0,5.0
interpret,171.0,166.0,5.0,5.0
love==,160.0,165.0,-5.0,5.0
m.,102.0,97.0,5.0,5.0
ultim,74.0,69.0,5.0,5.0
behavior,45.0,40.0,5.0,5.0
samuel,8.0,3.0,5.0,5.0
"',",6.0,1.0,5.0,5.0
affect,1729.0,1725.0,4.0,4.0
express,1459.0,1455.0,4.0,4.0
experi,748.0,744.0,4.0,4.0
usual,742.0,738.0,4.0,4.0
alway,720.0,716.0,4.0,4.0
soul,607.0,603.0,4.0,4.0
although,594.0,590.0,4.0,4.0
sometim,573.0,569.0,4.0,4.0
devot,559.0,555.0,4.0,4.0
stage,555.0,551.0,4.0,4.0
bibl,532.0,528.0,4.0,4.0
phenomenon,520.0,516.0,4.0,4.0
indic,485.0,481.0,4.0,4.0
poetri,469.0,465.0,4.0,4.0
isbn,468.0,464.0,4.0,4.0
becom,460.0,456.0,4.0,4.0
level,457.0,453.0,4.0,4.0
roman,455.0,451.0,4.0,4.0
j.,445.0,441.0,4.0,4.0
much,439.0,435.0,4.0,4.0
frequent,437.0,433.0,4.0,4.0
japanes,427.0,423.0,4.0,4.0
take,424.0,420.0,4.0,4.0
pleasur,421.0,417.0,4.0,4.0
appli,411.0,407.0,4.0,4.0
variou,411.0,407.0,4.0,4.0
mother,406.0,402.0,4.0,4.0
bodi,403.0,399.0,4.0,4.0
helen,394.0,390.0,4.0,4.0
valu,381.0,377.0,4.0,4.0
object,376.0,372.0,4.0,4.0
veri,374.0,370.0,4.0,4.0
creat,373.0,369.0,4.0,4.0
sinc,373.0,369.0,4.0,4.0
fact|date=februari,368.0,364.0,4.0,4.0
scientif,360.0,356.0,4.0,4.0
ai,340.0,336.0,4.0,4.0
enlighten,319.0,315.0,4.0,4.0
evolutionari,319.0,315.0,4.0,4.0
those,316.0,312.0,4.0,4.0
hinduism,308.0,304.0,4.0,4.0
reduc,308.0,304.0,4.0,4.0
''the,305.0,301.0,4.0,4.0
''ero,297.0,293.0,4.0,4.0
e,295.0,291.0,4.0,4.0
press,281.0,277.0,4.0,4.0
histori,280.0,276.0,4.0,4.0
divin,279.0,275.0,4.0,4.0
factor,270.0,266.0,4.0,4.0
main,268.0,264.0,4.0,4.0
|commit,268.0,264.0,4.0,4.0
brain,266.0,262.0,4.0,4.0
e.g,266.0,262.0,4.0,4.0
name,263.0,259.0,4.0,4.0
unselfish,257.0,253.0,4.0,4.0
repres,251.0,247.0,4.0,4.0
organ,244.0,240.0,4.0,4.0
caus,243.0,239.0,4.0,4.0
command,232.0,228.0,4.0,4.0
br,225.0,229.0,-4.0,4.0
still,218.0,214.0,4.0,4.0
''agap,216.0,212.0,4.0,4.0
everyth,213.0,209.0,4.0,4.0
happi,208.0,204.0,4.0,4.0
attitud,179.0,175.0,4.0,4.0
attempt,177.0,173.0,4.0,4.0
kama,169.0,165.0,4.0,4.0
13,157.0,161.0,-4.0,4.0
growth,156.0,152.0,4.0,4.0
opposit,150.0,146.0,4.0,4.0
four,149.0,145.0,4.0,4.0
''storg,147.0,143.0,4.0,4.0
goal,140.0,136.0,4.0,4.0
compassion,121.0,117.0,4.0,4.0
equal,119.0,115.0,4.0,4.0
rati,114.0,110.0,4.0,4.0
lewi,109.0,105.0,4.0,4.0
increas,96.0,92.0,4.0,4.0
sexuality|sexu,86.0,82.0,4.0,4.0
kāma,83.0,79.0,4.0,4.0
''koi,52.0,48.0,4.0,4.0
basi,44.0,40.0,4.0,4.0
februari,44.0,48.0,-4.0,4.0
s.,44.0,40.0,4.0,4.0
|love,30.0,34.0,-4.0,4.0
2012,24.0,20.0,4.0,4.0
aquina,14.0,10.0,4.0,4.0
"heart,",14.0,10.0,4.0,4.0
"time,",11.0,7.0,4.0,4.0
vaishnava,10.0,6.0,4.0,4.0
/br,9.0,5.0,4.0,4.0
krishna-prema,8.0,4.0,4.0,4.0
radic,7.0,3.0,4.0,4.0
caravaggio,6.0,2.0,4.0,4.0
swedish,6.0,2.0,4.0,4.0
|publisher=,6.0,2.0,4.0,4.0
"patient,",5.0,1.0,4.0,4.0
fact|dat,4.0,8.0,-4.0,4.0
"food,",2.0,6.0,-4.0,4.0
"organizations,",2.0,6.0,-4.0,4.0
will,991.0,988.0,3.0,3.0
similar,874.0,871.0,3.0,3.0
without,834.0,831.0,3.0,3.0
sternberg,803.0,800.0,3.0,3.0
famili,766.0,763.0,3.0,3.0
well,737.0,734.0,3.0,3.0
into,734.0,731.0,3.0,3.0
follow,709.0,706.0,3.0,3.0
felt,701.0,698.0,3.0,3.0
subject,683.0,680.0,3.0,3.0
how,669.0,666.0,3.0,3.0
we,664.0,661.0,3.0,3.0
were,645.0,642.0,3.0,3.0
tend,642.0,639.0,3.0,3.0
truth,629.0,626.0,3.0,3.0
base,612.0,609.0,3.0,3.0
triangular,606.0,603.0,3.0,3.0
accord,602.0,599.0,3.0,3.0
even,569.0,566.0,3.0,3.0
expect,543.0,540.0,3.0,3.0
share,502.0,499.0,3.0,3.0
difficult,486.0,483.0,3.0,3.0
make,483.0,480.0,3.0,3.0
dictionari,471.0,468.0,3.0,3.0
depend,449.0,446.0,3.0,3.0
literatur,448.0,445.0,3.0,3.0
consist,435.0,432.0,3.0,3.0
help,429.0,426.0,3.0,3.0
selfless,429.0,426.0,3.0,3.0
might,425.0,422.0,3.0,3.0
''like,423.0,420.0,3.0,3.0
notion,408.0,405.0,3.0,3.0
motiv,401.0,398.0,3.0,3.0
drive,386.0,383.0,3.0,3.0
great,381.0,378.0,3.0,3.0
promot,375.0,372.0,3.0,3.0
mind,374.0,371.0,3.0,3.0
individu,369.0,366.0,3.0,3.0
certain,344.0,341.0,3.0,3.0
later,342.0,339.0,3.0,3.0
compar,340.0,337.0,3.0,3.0
true,340.0,337.0,3.0,3.0
suffer,337.0,334.0,3.0,3.0
noun,335.0,332.0,3.0,3.0
ani,329.0,326.0,3.0,3.0
jewish,326.0,323.0,3.0,3.0
ideal,325.0,322.0,3.0,3.0
after,312.0,309.0,3.0,3.0
american,311.0,308.0,3.0,3.0
affection,305.0,302.0,3.0,3.0
virtu,305.0,302.0,3.0,3.0
appreci,304.0,301.0,3.0,3.0
initi,289.0,286.0,3.0,3.0
man,288.0,285.0,3.0,3.0
testament,288.0,285.0,3.0,3.0
him,280.0,277.0,3.0,3.0
simpli,280.0,277.0,3.0,3.0
principl,278.0,275.0,3.0,3.0
|intimaci,267.0,264.0,3.0,3.0
altruist,264.0,261.0,3.0,3.0
affair,263.0,260.0,3.0,3.0
delight,261.0,258.0,3.0,3.0
rare,250.0,247.0,3.0,3.0
fall,249.0,246.0,3.0,3.0
consumm,248.0,245.0,3.0,3.0
accompani,241.0,238.0,3.0,3.0
mutual,238.0,235.0,3.0,3.0
psychologist,237.0,234.0,3.0,3.0
selfish,237.0,234.0,3.0,3.0
read,229.0,226.0,3.0,3.0
merci,228.0,225.0,3.0,3.0
identifi,223.0,220.0,3.0,3.0
know,219.0,216.0,3.0,3.0
contempl,217.0,214.0,3.0,3.0
idea,217.0,214.0,3.0,3.0
belov,216.0,213.0,3.0,3.0
condit,214.0,211.0,3.0,3.0
link,212.0,209.0,3.0,3.0
crush,209.0,206.0,3.0,3.0
regard,209.0,206.0,3.0,3.0
themselv,204.0,201.0,3.0,3.0
hold,203.0,200.0,3.0,3.0
said,201.0,198.0,3.0,3.0
hand,194.0,191.0,3.0,3.0
middl,189.0,186.0,3.0,3.0
specif,188.0,185.0,3.0,3.0
chapter,187.0,184.0,3.0,3.0
niv,181.0,178.0,3.0,3.0
order,181.0,178.0,3.0,3.0
mozi,180.0,177.0,3.0,3.0
major,178.0,175.0,3.0,3.0
surah,178.0,175.0,3.0,3.0
function,172.0,169.0,3.0,3.0
essenc,171.0,168.0,3.0,3.0
author,161.0,158.0,3.0,3.0
lord,160.0,157.0,3.0,3.0
protect,157.0,154.0,3.0,3.0
union,137.0,134.0,3.0,3.0
loyalti,127.0,124.0,3.0,3.0
peck,120.0,117.0,3.0,3.0
torah,120.0,117.0,3.0,3.0
cf,118.0,115.0,3.0,3.0
ethic,116.0,113.0,3.0,3.0
attraction|attract,115.0,112.0,3.0,3.0
phileo,115.0,112.0,3.0,3.0
gospel,114.0,111.0,3.0,3.0
20th,113.0,110.0,3.0,3.0
esteem,112.0,109.0,3.0,3.0
gita,108.0,105.0,3.0,3.0
rang,108.0,105.0,3.0,3.0
carita,105.0,102.0,3.0,3.0
g,102.0,105.0,-3.0,3.0
overton,95.0,92.0,3.0,3.0
|religi,95.0,92.0,3.0,3.0
salvat,92.0,89.0,3.0,3.0
address,91.0,88.0,3.0,3.0
thought-termin,91.0,88.0,3.0,3.0
varieti,90.0,87.0,3.0,3.0
wikt,87.0,84.0,3.0,3.0
belief,83.0,80.0,3.0,3.0
apostl,82.0,79.0,3.0,3.0
mascaró,82.0,79.0,3.0,3.0
releas,75.0,72.0,3.0,3.0
xenia,68.0,65.0,3.0,3.0
persian,66.0,63.0,3.0,3.0
ellen,63.0,60.0,3.0,3.0
''k,60.0,57.0,3.0,3.0
1956,57.0,54.0,3.0,3.0
volum,56.0,53.0,3.0,3.0
p.,53.0,50.0,3.0,3.0
clarifi,51.0,48.0,3.0,3.0
artist,50.0,47.0,3.0,3.0
himself,36.0,33.0,3.0,3.0
limb,27.0,24.0,3.0,3.0
perenni,26.0,23.0,3.0,3.0
movement,21.0,18.0,3.0,3.0
sculptur,19.0,16.0,3.0,3.0
septemb,17.0,14.0,3.0,3.0
“to,17.0,14.0,3.0,3.0
kamadeva,16.0,13.0,3.0,3.0
accessd,12.0,9.0,3.0,3.0
radha,12.0,9.0,3.0,3.0
templ,12.0,9.0,3.0,3.0
sa'di,11.0,8.0,3.0,3.0
st.,11.0,8.0,3.0,3.0
1984,10.0,7.0,3.0,3.0
duti,10.0,7.0,3.0,3.0
iniqu,9.0,12.0,-3.0,3.0
a.d.,8.0,5.0,3.0,3.0
gaudiya,8.0,5.0,3.0,3.0
perfectli,8.0,5.0,3.0,3.0
/b,7.0,10.0,-3.0,3.0
86,7.0,10.0,-3.0,3.0
govinda,7.0,4.0,3.0,3.0
qur'an,7.0,4.0,3.0,3.0
meher,6.0,3.0,3.0,3.0
"feelings,",5.0,8.0,-3.0,3.0
pari,5.0,2.0,3.0,3.0
usag,5.0,2.0,3.0,3.0
2014,4.0,1.0,3.0,3.0
"attraction,",4.0,1.0,3.0,3.0
org,4.0,1.0,3.0,3.0
mytholog,1434.0,1432.0,2.0,2.0
definit,1333.0,1331.0,2.0,2.0
religi,826.0,824.0,2.0,2.0
element,794.0,792.0,2.0,2.0
religion,752.0,750.0,2.0,2.0
scienc,734.0,732.0,2.0,2.0
commonli,659.0,657.0,2.0,2.0
through,657.0,655.0,2.0,2.0
philia,654.0,652.0,2.0,2.0
intens,608.0,606.0,2.0,2.0
ndash,608.0,606.0,2.0,2.0
physic,587.0,585.0,2.0,2.0
imag,576.0,574.0,2.0,2.0
relat,531.0,529.0,2.0,2.0
song,527.0,525.0,2.0,2.0
chemistri,523.0,521.0,2.0,2.0
so,519.0,517.0,2.0,2.0
model,510.0,508.0,2.0,2.0
give,503.0,501.0,2.0,2.0
sacrific,475.0,473.0,2.0,2.0
hous,473.0,471.0,2.0,2.0
2005,459.0,457.0,2.0,2.0
friend,459.0,457.0,2.0,2.0
maintain,447.0,445.0,2.0,2.0
strong,440.0,438.0,2.0,2.0
activ,439.0,437.0,2.0,2.0
itself,408.0,406.0,2.0,2.0
id,404.0,406.0,-2.0,2.0
known,400.0,398.0,2.0,2.0
deed,377.0,375.0,2.0,2.0
lian,377.0,375.0,2.0,2.0
respons,372.0,370.0,2.0,2.0
compass,355.0,353.0,2.0,2.0
degre,334.0,332.0,2.0,2.0
discus,334.0,332.0,2.0,2.0
shown,333.0,331.0,2.0,2.0
r.,325.0,323.0,2.0,2.0
partner,322.0,320.0,2.0,2.0
deep,321.0,319.0,2.0,2.0
dure,321.0,319.0,2.0,2.0
do,320.0,318.0,2.0,2.0
chemic,316.0,314.0,2.0,2.0
though,313.0,311.0,2.0,2.0
throughout,313.0,311.0,2.0,2.0
arous,312.0,310.0,2.0,2.0
text,308.0,306.0,2.0,2.0
''philia,296.0,294.0,2.0,2.0
hunger,287.0,285.0,2.0,2.0
thirst,287.0,285.0,2.0,2.0
edit,281.0,279.0,2.0,2.0
grace,281.0,279.0,2.0,2.0
versu,279.0,277.0,2.0,2.0
due,275.0,273.0,2.0,2.0
sufi,265.0,263.0,2.0,2.0
learn,263.0,261.0,2.0,2.0
interest,261.0,259.0,2.0,2.0
oxytocin,259.0,257.0,2.0,2.0
written,258.0,256.0,2.0,2.0
yourself,255.0,253.0,2.0,2.0
money,254.0,252.0,2.0,2.0
physiolog,248.0,246.0,2.0,2.0
fame,241.0,239.0,2.0,2.0
few,241.0,239.0,2.0,2.0
her,239.0,237.0,2.0,2.0
should,239.0,237.0,2.0,2.0
where,232.0,230.0,2.0,2.0
research,230.0,228.0,2.0,2.0
1986,229.0,227.0,2.0,2.0
review,229.0,227.0,2.0,2.0
school,229.0,227.0,2.0,2.0
son,229.0,227.0,2.0,2.0
93,228.0,226.0,2.0,2.0
me,227.0,229.0,-2.0,2.0
instead,226.0,224.0,2.0,2.0
|ero,223.0,225.0,-2.0,2.0
societi,222.0,220.0,2.0,2.0
posit,220.0,218.0,2.0,2.0
mirror,218.0,216.0,2.0,2.0
requir,218.0,216.0,2.0,2.0
intim,216.0,214.0,2.0,2.0
willing,216.0,214.0,2.0,2.0
evil,213.0,211.0,2.0,2.0
third,213.0,211.0,2.0,2.0
==cultur,208.0,206.0,2.0,2.0
them,207.0,205.0,2.0,2.0
neurosci,206.0,204.0,2.0,2.0
wiktionari,206.0,204.0,2.0,2.0
despit,202.0,200.0,2.0,2.0
guest,202.0,200.0,2.0,2.0
host,202.0,200.0,2.0,2.0
insid,202.0,200.0,2.0,2.0
le,202.0,200.0,2.0,2.0
complex,199.0,197.0,2.0,2.0
faith,199.0,197.0,2.0,2.0
illustr,199.0,197.0,2.0,2.0
latter,199.0,197.0,2.0,2.0
courtli,198.0,196.0,2.0,2.0
earli,198.0,196.0,2.0,2.0
keep,198.0,196.0,2.0,2.0
pure,198.0,196.0,2.0,2.0
simpl,197.0,195.0,2.0,2.0
among,196.0,194.0,2.0,2.0
ngf,194.0,192.0,2.0,2.0
corinthian,193.0,191.0,2.0,2.0
path,193.0,191.0,2.0,2.0
yuanfen,193.0,191.0,2.0,2.0
aspect,192.0,190.0,2.0,2.0
etc,190.0,192.0,-2.0,2.0
further,188.0,186.0,2.0,2.0
plural,183.0,181.0,2.0,2.0
institut,182.0,180.0,2.0,2.0
sentiment,178.0,176.0,2.0,2.0
bodhisattva,176.0,174.0,2.0,2.0
hormon,176.0,174.0,2.0,2.0
''agapo,174.0,172.0,2.0,2.0
concern,174.0,172.0,2.0,2.0
patient,173.0,175.0,-2.0,2.0
return,171.0,169.0,2.0,2.0
rate,166.0,164.0,2.0,2.0
chang,164.0,162.0,2.0,2.0
u,163.0,161.0,2.0,2.0
best,162.0,160.0,2.0,2.0
1998,161.0,159.0,2.0,2.0
neighbor,159.0,157.0,2.0,2.0
wide,157.0,155.0,2.0,2.0
===ancient,155.0,153.0,2.0,2.0
n't,154.0,152.0,2.0,2.0
commun,151.0,149.0,2.0,2.0
had,150.0,148.0,2.0,2.0
wikipedia,150.0,148.0,2.0,2.0
''oxford,148.0,146.0,2.0,2.0
anthropolog,147.0,145.0,2.0,2.0
depth,147.0,145.0,2.0,2.0
encompass,145.0,143.0,2.0,2.0
|heart,145.0,147.0,-2.0,2.0
opinion,142.0,144.0,-2.0,2.0
reason,141.0,139.0,2.0,2.0
===love,140.0,142.0,-2.0,2.0
neg,140.0,138.0,2.0,2.0
aşk,132.0,130.0,2.0,2.0
anim,131.0,129.0,2.0,2.0
distinct,131.0,129.0,2.0,2.0
|kama,131.0,133.0,-2.0,2.0
theory|attach,130.0,128.0,2.0,2.0
greatli,128.0,126.0,2.0,2.0
provid,128.0,126.0,2.0,2.0
focus,127.0,125.0,2.0,2.0
argu,126.0,124.0,2.0,2.0
undefin,126.0,128.0,-2.0,2.0
whi,126.0,124.0,2.0,2.0
quit,123.0,121.0,2.0,2.0
spirituality|spiritu,123.0,125.0,-2.0,2.0
central,121.0,119.0,2.0,2.0
hate,121.0,119.0,2.0,2.0
rapid,121.0,119.0,2.0,2.0
back,119.0,117.0,2.0,2.0
determin,119.0,117.0,2.0,2.0
today,119.0,117.0,2.0,2.0
paraphilia,118.0,116.0,2.0,2.0
presum,118.0,116.0,2.0,2.0
nerv,117.0,115.0,2.0,2.0
hese,115.0,113.0,2.0,2.0
india,115.0,113.0,2.0,2.0
'affect,112.0,110.0,2.0,2.0
seriou,112.0,110.0,2.0,2.0
6:5,109.0,107.0,2.0,2.0
aristotl,104.0,102.0,2.0,2.0
born,104.0,102.0,2.0,2.0
pragma,104.0,102.0,2.0,2.0
ludu,103.0,101.0,2.0,2.0
comparison,100.0,98.0,2.0,2.0
language|english,100.0,102.0,-2.0,2.0
attachment===,99.0,97.0,2.0,2.0
point-of-view,98.0,96.0,2.0,2.0
styles===,98.0,100.0,-2.0,2.0
affin,96.0,94.0,2.0,2.0
p,96.0,94.0,2.0,2.0
then,95.0,93.0,2.0,2.0
chariti,94.0,92.0,2.0,2.0
hippo|saint,94.0,92.0,2.0,2.0
denot,92.0,90.0,2.0,2.0
appropri,91.0,89.0,2.0,2.0
mammal,90.0,88.0,2.0,2.0
account,88.0,86.0,2.0,2.0
polit,88.0,86.0,2.0,2.0
whoever,88.0,86.0,2.0,2.0
amat,87.0,85.0,2.0,2.0
diliger,87.0,85.0,2.0,2.0
fact,85.0,83.0,2.0,2.0
sublim,84.0,82.0,2.0,2.0
husband,82.0,80.0,2.0,2.0
immun,82.0,80.0,2.0,2.0
''infatu,78.0,76.0,2.0,2.0
''romant,78.0,76.0,2.0,2.0
space,78.0,76.0,2.0,2.0
version,78.0,76.0,2.0,2.0
love|greek,77.0,75.0,2.0,2.0
ad,75.0,73.0,2.0,2.0
''amor,74.0,72.0,2.0,2.0
''on,74.0,72.0,2.0,2.0
''de,73.0,71.0,2.0,2.0
away,72.0,70.0,2.0,2.0
baglione.jpg|right|thumb|200px|'sacr,72.0,70.0,2.0,2.0
ni,72.0,70.0,2.0,2.0
limerence|,70.0,68.0,2.0,2.0
mohism,65.0,63.0,2.0,2.0
phrase,65.0,63.0,2.0,2.0
''wo,64.0,62.0,2.0,2.0
circl,64.0,62.0,2.0,2.0
愛人,64.0,66.0,-2.0,2.0
'consumm,63.0,65.0,-2.0,2.0
commonly-us,63.0,61.0,2.0,2.0
enemi,62.0,60.0,2.0,2.0
===interperson,59.0,57.0,2.0,2.0
anthropologist,59.0,57.0,2.0,2.0
戀,57.0,55.0,2.0,2.0
===imperson,56.0,54.0,2.0,2.0
addit,56.0,54.0,2.0,2.0
情,56.0,58.0,-2.0,2.0
