,count added,count deleted,added - deleted,abs(added - deleted)
first2,82.0,68.0,14.0,14.0
last2,82.0,68.0,14.0,14.0
some,706.0,693.0,13.0,13.0
human,583.0,570.0,13.0,13.0
more,491.0,478.0,13.0,13.0
action,436.0,423.0,13.0,13.0
see,264.0,251.0,13.0,13.0
rate,209.0,196.0,13.0,13.0
ha,511.0,499.0,12.0,12.0
their,511.0,499.0,12.0,12.0
if,387.0,375.0,12.0,12.0
conduct,298.0,286.0,12.0,12.0
been,264.0,252.0,12.0,12.0
behaviour,221.0,209.0,12.0,12.0
new,196.0,184.0,12.0,12.0
these,488.0,477.0,11.0,11.0
peopl,460.0,449.0,11.0,11.0
when,296.0,285.0,11.0,11.0
correl,246.0,235.0,11.0,11.0
empathi,184.0,173.0,11.0,11.0
press|location=,80.0,69.0,11.0,11.0
may,550.0,540.0,10.0,10.0
norm,493.0,483.0,10.0,10.0
societi,453.0,443.0,10.0,10.0
differ,378.0,368.0,10.0,10.0
defin,369.0,359.0,10.0,10.0
at,358.0,348.0,10.0,10.0
sen,316.0,306.0,10.0,10.0
r.,302.0,292.0,10.0,10.0
respons,224.0,214.0,10.0,10.0
found,208.0,198.0,10.0,10.0
oxford,198.0,188.0,10.0,10.0
note,119.0,109.0,10.0,10.0
one,737.0,728.0,9.0,9.0
system,418.0,409.0,9.0,9.0
posit,397.0,388.0,9.0,9.0
but,375.0,366.0,9.0,9.0
includ,359.0,350.0,9.0,9.0
those,326.0,317.0,9.0,9.0
haidt,174.0,165.0,9.0,9.0
isbn,145.0,136.0,9.0,9.0
dictionari,88.0,79.0,9.0,9.0
world,74.0,65.0,9.0,9.0
centuri,66.0,57.0,9.0,9.0
code,1194.0,1186.0,8.0,8.0
exampl,544.0,536.0,8.0,8.0
rule,358.0,350.0,8.0,8.0
who,334.0,326.0,8.0,8.0
psycholog,295.0,287.0,8.0,8.0
relationship,292.0,284.0,8.0,8.0
our,289.0,281.0,8.0,8.0
about,269.0,261.0,8.0,8.0
certain,266.0,258.0,8.0,8.0
believ,233.0,225.0,8.0,8.0
effect,231.0,223.0,8.0,8.0
research,222.0,214.0,8.0,8.0
justic,203.0,195.0,8.0,8.0
level,198.0,190.0,8.0,8.0
first,158.0,150.0,8.0,8.0
democraci,128.0,120.0,8.0,8.0
brain,106.0,98.0,8.0,8.0
|url=,54.0,46.0,8.0,8.0
first3,41.0,33.0,8.0,8.0
last3,41.0,33.0,8.0,8.0
what,540.0,533.0,7.0,7.0
natur,343.0,336.0,7.0,7.0
within,323.0,316.0,7.0,7.0
all,321.0,314.0,7.0,7.0
will,307.0,300.0,7.0,7.0
territori,292.0,285.0,7.0,7.0
live,258.0,251.0,7.0,7.0
complex,252.0,245.0,7.0,7.0
secular,251.0,244.0,7.0,7.0
refer,248.0,241.0,7.0,7.0
god,238.0,231.0,7.0,7.0
object,237.0,230.0,7.0,7.0
no,236.0,229.0,7.0,7.0
immor,235.0,228.0,7.0,7.0
than,232.0,225.0,7.0,7.0
fact,225.0,218.0,7.0,7.0
christian,222.0,215.0,7.0,7.0
among,208.0,201.0,7.0,7.0
form,190.0,183.0,7.0,7.0
nation,182.0,175.0,7.0,7.0
observ,177.0,170.0,7.0,7.0
anim,166.0,159.0,7.0,7.0
virtu,152.0,145.0,7.0,7.0
evolut,150.0,143.0,7.0,7.0
conserv,144.0,137.0,7.0,7.0
show,144.0,137.0,7.0,7.0
liber,142.0,135.0,7.0,7.0
intuit,133.0,126.0,7.0,7.0
2008,129.0,122.0,7.0,7.0
paul,125.0,118.0,7.0,7.0
were,120.0,113.0,7.0,7.0
2012,98.0,91.0,7.0,7.0
intent,84.0,77.0,7.0,7.0
locat,83.0,76.0,7.0,7.0
/sup,10.0,3.0,7.0,7.0
sup,10.0,17.0,-7.0,7.0
there,530.0,524.0,6.0,6.0
belief,427.0,421.0,6.0,6.0
ani,372.0,366.0,6.0,6.0
concept,363.0,357.0,6.0,6.0
use,350.0,344.0,6.0,6.0
polit,312.0,306.0,6.0,6.0
same,301.0,295.0,6.0,6.0
base,278.0,272.0,6.0,6.0
hi,252.0,246.0,6.0,6.0
wa,238.0,232.0,6.0,6.0
feel,222.0,216.0,6.0,6.0
argu,206.0,200.0,6.0,6.0
consid,204.0,198.0,6.0,6.0
view,198.0,192.0,6.0,6.0
d.,192.0,186.0,6.0,6.0
set,177.0,171.0,6.0,6.0
absolut,163.0,157.0,6.0,6.0
origin,161.0,155.0,6.0,6.0
look,155.0,149.0,6.0,6.0
homicid,153.0,147.0,6.0,6.0
evolv,151.0,145.0,6.0,6.0
increas,144.0,138.0,6.0,6.0
reason,132.0,126.0,6.0,6.0
treat,131.0,125.0,6.0,6.0
act,126.0,120.0,6.0,6.0
express,121.0,115.0,6.0,6.0
prosper,121.0,115.0,6.0,6.0
health,113.0,107.0,6.0,6.0
emot,111.0,105.0,6.0,6.0
jonathan,88.0,82.0,6.0,6.0
macmillan,86.0,80.0,6.0,6.0
neuron,83.0,77.0,6.0,6.0
le,76.0,70.0,6.0,6.0
name,71.0,65.0,6.0,6.0
faith,70.0,64.0,6.0,6.0
fair,67.0,61.0,6.0,6.0
ed,40.0,34.0,6.0,6.0
blackburn,39.0,33.0,6.0,6.0
|url=http,19.0,13.0,6.0,6.0
would,483.0,478.0,5.0,5.0
how,435.0,430.0,5.0,5.0
you,384.0,379.0,5.0,5.0
s.,335.0,330.0,5.0,5.0
exist,300.0,295.0,5.0,5.0
hold,278.0,273.0,5.0,5.0
sociolog,256.0,251.0,5.0,5.0
surviv,237.0,232.0,5.0,5.0
becaus,218.0,213.0,5.0,5.0
most,209.0,204.0,5.0,5.0
even,207.0,202.0,5.0,5.0
standard,201.0,196.0,5.0,5.0
depend,189.0,184.0,5.0,5.0
provid,178.0,173.0,5.0,5.0
while,178.0,173.0,5.0,5.0
u,175.0,170.0,5.0,5.0
claim,173.0,168.0,5.0,5.0
delinqu,154.0,149.0,5.0,5.0
c.,150.0,145.0,5.0,5.0
though,150.0,145.0,5.0,5.0
biolog,146.0,141.0,5.0,5.0
into,146.0,141.0,5.0,5.0
variou,138.0,133.0,5.0,5.0
actual,136.0,131.0,5.0,5.0
'moral,134.0,129.0,5.0,5.0
activ,132.0,127.0,5.0,5.0
tradit,124.0,119.0,5.0,5.0
reciproc,122.0,117.0,5.0,5.0
journal=journ,119.0,114.0,5.0,5.0
had,117.0,112.0,5.0,5.0
higher,100.0,95.0,5.0,5.0
scienc,89.0,84.0,5.0,5.0
meta-analysi,81.0,76.0,5.0,5.0
modern,78.0,73.0,5.0,5.0
regard,77.0,72.0,5.0,5.0
cognit,76.0,71.0,5.0,5.0
jess,75.0,70.0,5.0,5.0
press,71.0,66.0,5.0,5.0
result,71.0,66.0,5.0,5.0
a.,70.0,65.0,5.0,5.0
smith,70.0,65.0,5.0,5.0
2011,69.0,64.0,5.0,5.0
divorc,68.0,63.0,5.0,5.0
t.,67.0,62.0,5.0,5.0
model,66.0,61.0,5.0,5.0
john,61.0,56.0,5.0,5.0
//moses.creighton.edu/jrs/2005/2005-11.html|,60.0,55.0,5.0,5.0
''the,58.0,53.0,5.0,5.0
in-group,57.0,52.0,5.0,5.0
reprint,57.0,52.0,5.0,5.0
section-stub,57.0,52.0,5.0,5.0
western,51.0,46.0,5.0,5.0
engag,49.0,44.0,5.0,5.0
short,43.0,38.0,5.0,5.0
2001|publisher=,41.0,36.0,5.0,5.0
blackburn|first=,41.0,36.0,5.0,5.0
introduction|last=,41.0,36.0,5.0,5.0
|year=,38.0,33.0,5.0,5.0
lowest,37.0,32.0,5.0,5.0
2007|publisher=,35.0,30.0,5.0,5.0
21st,34.0,29.0,5.0,5.0
compass,34.0,29.0,5.0,5.0
march,34.0,29.0,5.0,5.0
|publisher=,22.0,17.0,5.0,5.0
do,413.0,409.0,4.0,4.0
sometim,266.0,262.0,4.0,4.0
anoth,265.0,261.0,4.0,4.0
particular,263.0,259.0,4.0,4.0
question,249.0,245.0,4.0,4.0
through,225.0,221.0,4.0,4.0
common,222.0,218.0,4.0,4.0
share,206.0,202.0,4.0,4.0
onli,203.0,199.0,4.0,4.0
command,199.0,195.0,4.0,4.0
might,178.0,174.0,4.0,4.0
deriv,169.0,165.0,4.0,4.0
green,163.0,159.0,4.0,4.0
evid,162.0,158.0,4.0,4.0
accord,161.0,157.0,4.0,4.0
forc,158.0,154.0,4.0,4.0
scientif,158.0,154.0,4.0,4.0
author,157.0,153.0,4.0,4.0
judgment,155.0,151.0,4.0,4.0
pedestrian,155.0,151.0,4.0,4.0
like,141.0,137.0,4.0,4.0
biologist,139.0,135.0,4.0,4.0
distinct,135.0,131.0,4.0,4.0
veri,130.0,126.0,4.0,4.0
woman,127.0,123.0,4.0,4.0
take,126.0,122.0,4.0,4.0
philosoph,123.0,119.0,4.0,4.0
degre,122.0,118.0,4.0,4.0
properti,121.0,117.0,4.0,4.0
suggest,119.0,115.0,4.0,4.0
each,118.0,114.0,4.0,4.0
role,118.0,114.0,4.0,4.0
categori,116.0,112.0,4.0,4.0
need,116.0,112.0,4.0,4.0
rel,116.0,112.0,4.0,4.0
understand,114.0,110.0,4.0,4.0
without,112.0,108.0,4.0,4.0
whi,111.0,107.0,4.0,4.0
me,108.0,104.0,4.0,4.0
abil,107.0,103.0,4.0,4.0
chang,105.0,101.0,4.0,4.0
ideal,103.0,99.0,4.0,4.0
both,102.0,98.0,4.0,4.0
evil,100.0,96.0,4.0,4.0
harm,100.0,96.0,4.0,4.0
approach,98.0,94.0,4.0,4.0
much,95.0,91.0,4.0,4.0
essenti,89.0,85.0,4.0,4.0
howev,89.0,85.0,4.0,4.0
toward,87.0,83.0,4.0,4.0
b,86.0,82.0,4.0,4.0
unit,84.0,80.0,4.0,4.0
mind,82.0,78.0,4.0,4.0
stage,82.0,78.0,4.0,4.0
recogn,78.0,74.0,4.0,4.0
my,76.0,72.0,4.0,4.0
societ,74.0,70.0,4.0,4.0
journal|url=http,73.0,69.0,4.0,4.0
problem,72.0,68.0,4.0,4.0
robert,72.0,68.0,4.0,4.0
topic,72.0,68.0,4.0,4.0
popular,64.0,60.0,4.0,4.0
quantifi,64.0,60.0,4.0,4.0
fit,62.0,58.0,4.0,4.0
i.e.,62.0,58.0,4.0,4.0
m,61.0,57.0,4.0,4.0
review,60.0,56.0,4.0,4.0
4,56.0,52.0,4.0,4.0
2010,52.0,48.0,4.0,4.0
attitud,52.0,48.0,4.0,4.0
death,52.0,48.0,4.0,4.0
web,52.0,48.0,4.0,4.0
'ethic,51.0,47.0,4.0,4.0
|journal=,49.0,45.0,4.0,4.0
2009,47.0,43.0,4.0,4.0
atheist,47.0,43.0,4.0,4.0
mirror,46.0,42.0,4.0,4.0
read,46.0,42.0,4.0,4.0
s.|last=paul,43.0,39.0,4.0,4.0
identifi,41.0,37.0,4.0,4.0
oxford|isbn=,41.0,37.0,4.0,4.0
hinduism,40.0,36.0,4.0,4.0
marc,40.0,36.0,4.0,4.0
pursu,40.0,36.0,4.0,4.0
slaveri,40.0,36.0,4.0,4.0
contain,39.0,35.0,4.0,4.0
least,39.0,35.0,4.0,4.0
suit,38.0,34.0,4.0,4.0
//books.google.com/book,35.0,31.0,4.0,4.0
young,35.0,31.0,4.0,4.0
stimul,34.0,30.0,4.0,4.0
|first=,28.0,24.0,4.0,4.0
5,24.0,20.0,4.0,4.0
network,24.0,20.0,4.0,4.0
''complet,22.0,18.0,4.0,4.0
miller,22.0,18.0,4.0,4.0
zuckerman,22.0,18.0,4.0,4.0
monin,20.0,16.0,4.0,4.0
title=,18.0,14.0,4.0,4.0
|last2=,17.0,13.0,4.0,4.0
section,12.0,16.0,-4.0,4.0
"example,",10.0,6.0,4.0,4.0
|date=juli,6.0,2.0,4.0,4.0
simon|year=,5.0,1.0,4.0,4.0
cn|date=juli,2.0,6.0,-4.0,4.0
stub,1.0,5.0,-4.0,4.0
appli,358.0,355.0,3.0,3.0
seen,278.0,275.0,3.0,3.0
mani,241.0,238.0,3.0,3.0
he,217.0,214.0,3.0,3.0
wherea,173.0,170.0,3.0,3.0
determin,169.0,166.0,3.0,3.0
term,169.0,166.0,3.0,3.0
protect,163.0,160.0,3.0,3.0
sinc,162.0,159.0,3.0,3.0
where,160.0,157.0,3.0,3.0
2006,154.0,151.0,3.0,3.0
neg,152.0,149.0,3.0,3.0
although,151.0,148.0,3.0,3.0
select,146.0,143.0,3.0,3.0
time,145.0,142.0,3.0,3.0
interest,137.0,134.0,3.0,3.0
relat,137.0,134.0,3.0,3.0
doi,134.0,131.0,3.0,3.0
gari,134.0,131.0,3.0,3.0
g.,131.0,128.0,3.0,3.0
address,129.0,126.0,3.0,3.0
notion,128.0,125.0,3.0,3.0
decis,127.0,124.0,3.0,3.0
over,124.0,121.0,3.0,3.0
die,120.0,117.0,3.0,3.0
encyclopedia,119.0,116.0,3.0,3.0
histori,118.0,115.0,3.0,3.0
e.g,112.0,109.0,3.0,3.0
tribal,111.0,108.0,3.0,3.0
trompenaar,111.0,108.0,3.0,3.0
held,109.0,106.0,3.0,3.0
help,109.0,106.0,3.0,3.0
proper,108.0,105.0,3.0,3.0
support,108.0,105.0,3.0,3.0
branch,107.0,104.0,3.0,3.0
j.,107.0,104.0,3.0,3.0
respect,106.0,103.0,3.0,3.0
last,105.0,102.0,3.0,3.0
work,105.0,102.0,3.0,3.0
psychologist,104.0,101.0,3.0,3.0
3,100.0,97.0,3.0,3.0
import,100.0,97.0,3.0,3.0
amor,99.0,96.0,3.0,3.0
avoid,99.0,96.0,3.0,3.0
stanford,99.0,96.0,3.0,3.0
child,98.0,95.0,3.0,3.0
attempt,92.0,89.0,3.0,3.0
hellfir,91.0,88.0,3.0,3.0
past,90.0,87.0,3.0,3.0
k.,89.0,86.0,3.0,3.0
permiss,86.0,83.0,3.0,3.0
function,85.0,82.0,3.0,3.0
posse,85.0,82.0,3.0,3.0
f.,84.0,81.0,3.0,3.0
proscript,84.0,81.0,3.0,3.0
1996,82.0,79.0,3.0,3.0
famili,82.0,79.0,3.0,3.0
j,81.0,78.0,3.0,3.0
thing,81.0,78.0,3.0,3.0
membership,79.0,76.0,3.0,3.0
care,78.0,75.0,3.0,3.0
connect,76.0,73.0,3.0,3.0
still,76.0,73.0,3.0,3.0
synonym,76.0,73.0,3.0,3.0
2,74.0,71.0,3.0,3.0
explain,73.0,70.0,3.0,3.0
abus,72.0,69.0,3.0,3.0
number,71.0,68.0,3.0,3.0
across,69.0,66.0,3.0,3.0
empir,69.0,66.0,3.0,3.0
graham,69.0,66.0,3.0,3.0
chimpanze,67.0,64.0,3.0,3.0
bibl,64.0,61.0,3.0,3.0
criminolog,64.0,61.0,3.0,3.0
here,61.0,58.0,3.0,3.0
close,60.0,57.0,3.0,3.0
establish,60.0,57.0,3.0,3.0
purpos,60.0,57.0,3.0,3.0
conflict,56.0,53.0,3.0,3.0
phenomenon,56.0,53.0,3.0,3.0
dilemma,55.0,52.0,3.0,3.0
p.,54.0,51.0,3.0,3.0
report,54.0,51.0,3.0,3.0
deontolog,53.0,50.0,3.0,3.0
point,53.0,50.0,3.0,3.0
2001,52.0,49.0,3.0,3.0
unawar,52.0,49.0,3.0,3.0
kant,51.0,48.0,3.0,3.0
kohlberg,48.0,45.0,3.0,3.0
20,47.0,44.0,3.0,3.0
cooper,47.0,44.0,3.0,3.0
violent,45.0,42.0,3.0,3.0
i.e,44.0,41.0,3.0,3.0
thoma,44.0,41.0,3.0,3.0
2000,42.0,39.0,3.0,3.0
society|title=cross-n,42.0,39.0,3.0,3.0
walter,42.0,39.0,3.0,3.0
barna,41.0,38.0,3.0,3.0
inc,41.0,38.0,3.0,3.0
jean,41.0,38.0,3.0,3.0
likelihood,40.0,37.0,3.0,3.0
decept,39.0,36.0,3.0,3.0
testament,39.0,36.0,3.0,3.0
domain,37.0,34.0,3.0,3.0
american,36.0,33.0,3.0,3.0
1937,35.0,32.0,3.0,3.0
flew,35.0,32.0,3.0,3.0
marriag,35.0,32.0,3.0,3.0
7,34.0,31.0,3.0,3.0
out-group,33.0,30.0,3.0,3.0
10,32.0,29.0,3.0,3.0
york,32.0,29.0,3.0,3.0
motiv,31.0,28.0,3.0,3.0
reduc,31.0,28.0,3.0,3.0
d,29.0,26.0,3.0,3.0
12,28.0,25.0,3.0,3.0
generos,28.0,25.0,3.0,3.0
peter,28.0,25.0,3.0,3.0
apologist,26.0,23.0,3.0,3.0
counterpunch,26.0,23.0,3.0,3.0
instanc,26.0,23.0,3.0,3.0
2013,25.0,22.0,3.0,3.0
|pages=,23.0,20.0,3.0,3.0
|volume=,23.0,20.0,3.0,3.0
account,22.0,19.0,3.0,3.0
area,22.0,19.0,3.0,3.0
jewish,21.0,18.0,3.0,3.0
|accessdate=2012-05-06,21.0,18.0,3.0,3.0
credenti,20.0,17.0,3.0,3.0
hitchens|first=,20.0,17.0,3.0,3.0
neural,20.0,17.0,3.0,3.0
philadelphia|isbn=,20.0,17.0,3.0,3.0
978-0-306-81608-6|page=,19.0,16.0,3.0,3.0
christopher|year=,19.0,16.0,3.0,3.0
nonbeliever|last=,19.0,16.0,3.0,3.0
london,18.0,15.0,3.0,3.0
self-licens,18.0,15.0,3.0,3.0
newton,17.0,14.0,3.0,3.0
|doi=,17.0,14.0,3.0,3.0
eastern,16.0,13.0,3.0,3.0
first4,16.0,13.0,3.0,3.0
last4,16.0,13.0,3.0,3.0
ethics===,15.0,12.0,3.0,3.0
brown,13.0,16.0,-3.0,3.0
slave-own,13.0,10.0,3.0,3.0
web|last=colley|first=caleb|title=i,12.0,9.0,3.0,3.0
bzdok,11.0,8.0,3.0,3.0
label|b|b|non,11.0,8.0,3.0,3.0
peggi,11.0,8.0,3.0,3.0
non-cognitiv,10.0,7.0,3.0,3.0
ways.,10.0,7.0,3.0,3.0
universalist,9.0,6.0,3.0,3.0
"s,",6.0,3.0,3.0,3.0
"virtue,",6.0,9.0,-3.0,3.0
westminst,6.0,3.0,3.0,3.0
cn,4.0,1.0,3.0,3.0
17:46,1.0,4.0,-3.0,3.0
commun,440.0,438.0,2.0,2.0
gener,404.0,402.0,2.0,2.0
law,324.0,322.0,2.0,2.0
whether,228.0,226.0,2.0,2.0
call,178.0,176.0,2.0,2.0
accept,174.0,172.0,2.0,2.0
usual,160.0,158.0,2.0,2.0
practic,156.0,154.0,2.0,2.0
doe,154.0,152.0,2.0,2.0
regul,150.0,148.0,2.0,2.0
should,149.0,147.0,2.0,2.0
2007,147.0,145.0,2.0,2.0
conform,142.0,140.0,2.0,2.0
thu,142.0,140.0,2.0,2.0
altruism,140.0,138.0,2.0,2.0
member,136.0,134.0,2.0,2.0
especi,132.0,130.0,2.0,2.0
simpl,132.0,130.0,2.0,2.0
descript,130.0,128.0,2.0,2.0
jensen,128.0,126.0,2.0,2.0
known,127.0,125.0,2.0,2.0
them,127.0,125.0,2.0,2.0
so,126.0,124.0,2.0,2.0
explan,124.0,122.0,2.0,2.0
l.,117.0,115.0,2.0,2.0
encourag,115.0,113.0,2.0,2.0
perspect,112.0,110.0,2.0,2.0
simpli,111.0,109.0,2.0,2.0
judaism,109.0,107.0,2.0,2.0
guilt,106.0,104.0,2.0,2.0
either,105.0,103.0,2.0,2.0
consequ,104.0,102.0,2.0,2.0
order,104.0,102.0,2.0,2.0
tendenc,102.0,100.0,2.0,2.0
made,98.0,96.0,2.0,2.0
consist,96.0,94.0,2.0,2.0
1,95.0,93.0,2.0,2.0
bad,95.0,93.0,2.0,2.0
aspect,94.0,92.0,2.0,2.0
love,94.0,92.0,2.0,2.0
2005,93.0,91.0,2.0,2.0
adolesc,93.0,91.0,2.0,2.0
tend,93.0,91.0,2.0,2.0
true,93.0,91.0,2.0,2.0
expect,92.0,90.0,2.0,2.0
measur,92.0,90.0,2.0,2.0
quarterli,92.0,90.0,2.0,2.0
rise,91.0,89.0,2.0,2.0
subject,91.0,89.0,2.0,2.0
then,91.0,89.0,2.0,2.0
crimin,90.0,88.0,2.0,2.0
contrast,88.0,86.0,2.0,2.0
applic,87.0,85.0,2.0,2.0
opposit,87.0,85.0,2.0,2.0
conclus,86.0,84.0,2.0,2.0
empress,86.0,84.0,2.0,2.0
war,86.0,84.0,2.0,2.0
revel,85.0,83.0,2.0,2.0
give,84.0,82.0,2.0,2.0
imag,83.0,81.0,2.0,2.0
celia,81.0,79.0,2.0,2.0
possibl,81.0,79.0,2.0,2.0
abort,80.0,78.0,2.0,2.0
night,80.0,78.0,2.0,2.0
associ,79.0,77.0,2.0,2.0
dimens,79.0,77.0,2.0,2.0
driver,79.0,77.0,2.0,2.0
ingroup/outgroup,79.0,77.0,2.0,2.0
car,78.0,76.0,2.0,2.0
out,78.0,76.0,2.0,2.0
v.,78.0,76.0,2.0,2.0
et,77.0,75.0,2.0,2.0
statement,77.0,75.0,2.0,2.0
two,77.0,75.0,2.0,2.0
penalti,76.0,74.0,2.0,2.0
reput,76.0,74.0,2.0,2.0
ultim,76.0,74.0,2.0,2.0
impos,75.0,73.0,2.0,2.0
44,74.0,72.0,2.0,2.0
anthropolog,74.0,72.0,2.0,2.0
whatev,73.0,71.0,2.0,2.0
|custom,73.0,75.0,-2.0,2.0
fon,72.0,70.0,2.0,2.0
survey,71.0,69.0,2.0,2.0
choos,69.0,67.0,2.0,2.0
inabl,69.0,67.0,2.0,2.0
repres,69.0,67.0,2.0,2.0
drug,68.0,66.0,2.0,2.0
matthew,68.0,66.0,2.0,2.0
ought,68.0,66.0,2.0,2.0
peer,68.0,66.0,2.0,2.0
//plato.stanford.edu/entries/morality-definition/,67.0,65.0,2.0,2.0
e,67.0,65.0,2.0,2.0
size,67.0,65.0,2.0,2.0
after,66.0,64.0,2.0,2.0
contend,65.0,63.0,2.0,2.0
prescript,64.0,62.0,2.0,2.0
hypothes,63.0,61.0,2.0,2.0
someth,63.0,61.0,2.0,2.0
17,62.0,60.0,2.0,2.0
1977,61.0,59.0,2.0,2.0
well,61.0,59.0,2.0,2.0
youth,61.0,59.0,2.0,2.0
further,60.0,58.0,2.0,2.0
categor,59.0,57.0,2.0,2.0
label,59.0,57.0,2.0,2.0
success,59.0,57.0,2.0,2.0
themselv,59.0,57.0,2.0,2.0
2004,57.0,55.0,2.0,2.0
bond,57.0,55.0,2.0,2.0
european,57.0,55.0,2.0,2.0
buddhism,56.0,54.0,2.0,2.0
did,56.0,54.0,2.0,2.0
noam,56.0,54.0,2.0,2.0
8,55.0,53.0,2.0,2.0
fail,55.0,53.0,2.0,2.0
product,55.0,53.0,2.0,2.0
authorlink,54.0,52.0,2.0,2.0
charact,54.0,52.0,2.0,2.0
food,54.0,52.0,2.0,2.0
restrict,54.0,52.0,2.0,2.0
albrecht,53.0,51.0,2.0,2.0
favor,53.0,51.0,2.0,2.0
find,53.0,51.0,2.0,2.0
none,53.0,51.0,2.0,2.0
oppos,53.0,51.0,2.0,2.0
reproduct,53.0,51.0,2.0,2.0
deceti,52.0,50.0,2.0,2.0
research.,52.0,50.0,2.0,2.0
compar,51.0,49.0,2.0,2.0
cortex,51.0,49.0,2.0,2.0
offspr,51.0,49.0,2.0,2.0
test,51.0,49.0,2.0,2.0
challeng,50.0,48.0,2.0,2.0
damag,50.0,48.0,2.0,2.0
describ,50.0,48.0,2.0,2.0
particip,50.0,48.0,2.0,2.0
da,49.0,47.0,2.0,2.0
propos,49.0,47.0,2.0,2.0
answer,48.0,46.0,2.0,2.0
conclud,48.0,46.0,2.0,2.0
georg,47.0,45.0,2.0,2.0
later,47.0,45.0,2.0,2.0
rebecca,47.0,45.0,2.0,2.0
''religi,46.0,44.0,2.0,2.0
e.,46.0,44.0,2.0,2.0
involv,46.0,44.0,2.0,2.0
issn,46.0,44.0,2.0,2.0
public,46.0,44.0,2.0,2.0
stace,46.0,44.0,2.0,2.0
undermin,46.0,44.0,2.0,2.0
1522-5658,45.0,43.0,2.0,2.0
gregori,45.0,43.0,2.0,2.0
indiffer,45.0,43.0,2.0,2.0
martin,45.0,43.0,2.0,2.0
selfish,45.0,43.0,2.0,2.0
almost,44.0,42.0,2.0,2.0
divis,44.0,42.0,2.0,2.0
golden,44.0,42.0,2.0,2.0
maryland|year=2005|,43.0,41.0,2.0,2.0
prosoci,43.0,41.0,2.0,2.0
|location=baltimor,43.0,41.0,2.0,2.0
resourc,42.0,40.0,2.0,2.0
keep,41.0,39.0,2.0,2.0
al,40.0,38.0,2.0,2.0
v,40.0,38.0,2.0,2.0
vampir,40.0,38.0,2.0,2.0
|valu,40.0,42.0,-2.0,2.0
//moses.creighton.edu/jrs/2006/2006-1.html|,39.0,37.0,2.0,2.0
26,39.0,37.0,2.0,2.0
oblig,39.0,37.0,2.0,2.0
ann,38.0,36.0,2.0,2.0
earli,38.0,36.0,2.0,2.0
speak,38.0,36.0,2.0,2.0
vulner,38.0,36.0,2.0,2.0
wide,38.0,36.0,2.0,2.0
appear,37.0,35.0,2.0,2.0
commandments|ten,37.0,35.0,2.0,2.0
dernel,37.0,35.0,2.0,2.0
inclin,36.0,34.0,2.0,2.0
kerley,36.0,34.0,2.0,2.0
manag,36.0,34.0,2.0,2.0
sever,36.0,34.0,2.0,2.0
caesar,35.0,33.0,2.0,2.0
handicap,35.0,33.0,2.0,2.0
interact,35.0,33.0,2.0,2.0
kinship,35.0,33.0,2.0,2.0
el,34.0,32.0,2.0,2.0
instead,34.0,32.0,2.0,2.0
interpret,34.0,32.0,2.0,2.0
journal|,34.0,32.0,2.0,2.0
putnam,34.0,32.0,2.0,2.0
society|,34.0,32.0,2.0,2.0
thought,34.0,32.0,2.0,2.0
disambigu,33.0,31.0,2.0,2.0
disrupt,33.0,31.0,2.0,2.0
