pagename,average word length,length,number of backlinks,number of backlinks from ns 0,number of categories,number of links,number of revisions,number of revisions by IP,number of revisions by alive registered user,quality of the article,specialization,words
Epipolar geometry,5.31933508311,7223,0,0,3,20,139,48,91,3,0.1772,1143
Equilateral triangle,6.03375733855,14377,0,0,3,182,539,225,314,3,0.0766,2044
Erlangen program,5.97084548105,11955,0,0,7,91,149,18,131,4,0.4611,1715
Euclidean geometry,5.80263929619,46394,0,0,10,262,1676,849,827,4,-0.0027,6820
Finite geometry,5.32357357357,16846,0,0,2,119,143,15,128,3,0.4737,2664
Four-dimensional space,5.9368538698,24827,0,0,9,176,1911,824,1087,3,0.021,3579
Fractal,6.4703870387,41498,0,0,7,322,3282,1315,1967,4,0.0149,5555
Geometrization conjecture,5.46824305746,23525,0,0,6,67,309,60,249,4,0.3997,3637
Geometry,6.10538349615,34184,0,0,4,375,2514,1035,1479,3,0.0203,4811
Geometry of numbers,6.90738569754,6745,0,0,1,82,117,9,108,3,0.4653,853
Group action,4.52740197202,24105,570,448,5,148,507,124,383,4,0.2853,4361
Handedness,6.23815110277,30849,0,0,17,109,1330,479,851,3,0.074,4262
Hilbert's axioms,4.88702728578,12298,0,0,1,41,245,94,151,3,0.1379,2089
Hilbert's third problem,5.53444676409,6260,0,0,4,71,77,12,65,3,0.2985,958
Homogeneous coordinates,5.1161971831,20844,0,0,6,59,333,94,239,3,0.2624,3408
Hyperbola,5.13948087432,44941,0,0,5,124,901,308,593,4,0.1179,7320
Hyperbolic geometry,5.91545265349,26583,0,0,4,154,580,139,441,4,0.2797,3844
Hyperboloid,5.43667296786,6810,0,0,5,53,180,38,142,3,0.3567,1058
Information geometry,5.31135531136,17230,0,0,6,75,199,34,165,3,0.425,2730
Invariant (mathematics),5.50652741514,9968,0,0,3,114,142,24,118,3,0.3906,1532
Inversive geometry,5.44522144522,16590,0,0,1,87,318,49,269,3,0.4705,2574
Isometry,5.3536036036,5642,0,0,5,55,234,58,176,3,0.3198,888
Johnson solid,8.35320723684,22747,0,0,2,176,426,70,356,4,0.4367,2432
Kepler conjecture,5.99344427635,13868,0,0,7,68,262,73,189,4,0.2772,1983
Kepler–Poinsot polyhedron,6.53935185185,13028,0,0,3,103,296,36,260,4,0.5285,1728
Kite (geometry),6.17895400126,11393,0,0,4,89,553,202,351,3,0.1271,1587
Lattice (group),5.49894625922,12335,0,0,6,184,199,44,155,3,0.3515,1898
Leech lattice,5.6226340694,16795,0,0,5,99,149,21,128,3,0.4355,2536
Lie sphere geometry,5.00824402308,21864,0,0,3,71,87,8,79,4,0.3776,3639
Line (geometry),5.23357245337,21724,0,0,3,191,1058,408,650,4,0.0735,3485
Locus (mathematics),4.96605374823,4218,0,0,1,27,346,139,207,3,0.1148,707
Mathematical morphology,5.62311358221,16677,0,0,3,111,213,82,131,3,0.1366,2518
Mathematics,6.20358858435,50987,34910,15162,16,459,6127,1796,4331,4,0.0187,7078
Mathematics and fiber arts,6.93187066975,6869,0,0,3,125,81,2,79,3,0.4029,866
Matrix representation of conic sections,5.06080206986,4685,0,0,3,24,110,31,79,3,0.2275,773
Minkowski addition,6.33399602386,11067,0,0,10,183,155,38,117,3,0.2981,1509
Minkowski space,6.12805107022,18982,0,0,15,207,447,84,363,4,0.3867,2663
Minkowski's theorem,5.38540332907,4987,0,0,5,40,72,11,61,3,0.2867,781
Möbius transformation,5.55124040165,44365,0,0,9,175,542,115,427,4,0.3279,6772
Nine-point circle,5.5278436019,11019,0,0,2,59,287,86,201,3,0.2436,1688
Non-Euclidean geometry,5.96001390821,40034,0,0,1,365,897,355,542,4,0.0742,5752
Normal (geometry),4.93371212121,9399,0,0,3,74,214,57,157,3,0.2899,1584
Pappus's hexagon theorem,4.89705882353,9624,0,0,3,34,136,25,111,3,0.3681,1632
Parabola,5.24845434939,43458,0,0,5,162,2222,809,1413,3,0.0376,6955
Parallel (geometry),5.41618238713,14353,0,0,2,61,459,190,269,3,0.0843,2237
Parallelogram law,5.50677966102,3839,0,0,4,24,165,39,126,4,0.3128,590
Parallel postulate,5.62316660399,17611,0,0,4,72,382,128,254,3,0.1874,2659
Pascal's theorem,5.34788867562,13229,0,0,5,61,235,54,181,4,0.3481,2084
Penrose tiling,5.65213977228,33886,0,0,7,265,655,166,489,5,0.2427,5094
Pi,5.73648252977,69022,3249,637,12,394,8157,1734,6423,8,0.0219,10246
Platonic solid,5.62153777975,29883,0,0,4,242,1450,640,810,4,0.0269,4513
Point (geometry),6.08345534407,9676,0,0,3,184,433,156,277,3,0.1469,1366
Point groups in three dimensions,4.99395962486,37708,0,0,4,144,328,19,309,3,0.679,6291
Polygon,5.95571350465,25444,0,0,7,230,1653,589,1064,4,0.0593,3658
Polyhedron,6.1084082496,40326,0,0,4,329,1477,471,1006,4,0.0877,5673
Polytope,6.28303393214,18244,0,0,7,227,318,44,274,3,0.4978,2505
Pons asinorum,5.23869801085,10350,0,0,6,43,142,37,105,4,0.2767,1659
Projective geometry,5.66750342309,29217,0,0,3,217,373,94,279,4,0.2962,4382
Projective plane,4.98769771529,37477,0,0,4,103,303,58,245,3,0.4057,6259
Projective space,5.32110778443,25335,0,0,3,175,295,57,238,4,0.4019,4008
Ptolemy's theorem,5.43087681549,11955,0,0,5,31,383,81,302,3,0.3606,1859
Pythagorean theorem,5.54673482161,62757,0,0,20,262,5496,1848,3648,5,0.0166,9586
Pythagorean triple,5.15105485232,43734,0,0,5,135,2011,807,1204,4,0.0293,7110
Quadrilateral,5.7768389662,27270,0,0,5,135,1400,618,782,3,0.0288,4024
Quasicrystal,6.48073878628,28352,0,0,7,115,597,168,429,4,0.2145,3790
Ray tracing (graphics),5.43889716841,25923,322,216,11,101,806,305,501,4,0.0966,4026
Rectangle,6.12255466053,12379,0,0,3,102,1026,366,660,3,0.096,1738
Regular polytope,5.71471896482,33211,0,0,5,201,489,69,420,4,0.4717,4946
Rhombus,5.98650793651,8803,0,0,5,84,1482,736,746,3,0.0015,1260
Riemannian geometry,7.04228571429,14074,0,0,1,284,291,83,208,4,0.265,1750
Riemann sphere,5.40097600651,15740,0,0,6,105,224,47,177,4,0.3741,2459
Right triangle,5.49370125975,10825,0,0,3,47,306,99,207,3,0.2117,1667
Rotation (mathematics),5.7055596196,18333,0,0,11,168,428,134,294,3,0.2062,2734
Schläfli symbol,7.10797237916,12916,0,0,2,115,386,28,358,3,0.6494,1593
Shape,5.41779611078,10891,0,0,4,75,873,340,533,3,0.0811,1697
Similarity (geometry),5.60458452722,13830,0,0,2,85,462,129,333,3,0.2466,2094
Sphere,5.42421383648,20429,0,0,12,169,1564,675,889,4,0.0269,3180
Sphere packing,5.96194061062,16646,0,0,4,90,288,72,216,4,0.3171,2391
Spherical trigonometry,5.3843151171,17991,0,0,1,35,386,106,280,3,0.26,2818
Square,6.02602230483,11340,0,0,5,200,1413,603,810,3,0.035,1614
Squaring the circle,5.81176470588,20844,0,0,6,223,730,204,526,3,0.1974,3060
Star polygon,6.2466367713,9696,0,0,6,99,323,59,264,3,0.4177,1338
Steiner chain,5.29352302508,16810,0,0,3,36,142,4,138,4,0.5583,2671
Stereographic projection,5.81469792606,30230,0,0,7,225,413,52,361,4,0.5203,4436
Symmetry,6.32482932088,20385,0,0,3,219,1638,492,1146,3,0.0889,2783
Symmetry group,5.43093636834,12431,0,0,3,80,274,47,227,3,0.4395,1933
Symplectic geometry,6.65444546288,8351,0,0,1,148,116,31,85,3,0.2504,1091
Systolic geometry,5.43543717429,22228,0,0,2,91,361,37,324,4,0.5738,3454
Tangential quadrilateral,5.52443199502,20963,0,0,1,60,199,7,192,4,0.6404,3213
Taxicab geometry,5.7054631829,5646,0,0,6,59,328,104,224,4,0.216,842
Tessellation,5.97341359418,27803,0,0,4,322,1994,823,1171,3,0.0254,3987
Tetrahedron,6.26035502959,38037,0,0,8,408,1300,375,925,4,0.1262,5239
Thales' theorem,4.97216951297,9442,0,0,4,49,301,78,223,3,0.3003,1581
Topology,6.02532702477,25242,0,0,9,218,1358,444,914,4,0.0919,3593
Torus,5.30661040788,22420,0,0,4,164,668,198,470,4,0.1895,3555
Trapezoid,5.53241232731,12294,0,0,4,62,1617,746,871,3,0.0147,1882
Triangle,5.26921706071,52768,0,0,8,227,4529,2032,2497,4,0.0056,8417
Triangle inequality,5.21843003413,16398,0,0,5,58,372,117,255,4,0.2149,2637
Trigonometry,6.08773207135,19470,0,0,4,211,4216,2129,2087,3,-0.0006,2747
Uniform polyhedron,7.77227382181,25501,0,0,3,218,751,42,709,3,0.6772,2907
Voronoi diagram,5.7444329363,26047,363,282,10,321,539,148,391,3,0.2351,3862
Wallpaper group,5.64014358361,44396,0,0,5,310,660,95,565,3,0.4287,6686
Zonohedron,6.184,8980,0,0,3,76,125,9,116,4,0.4829,1250
